44:16:001:1	Timothy, ąįį Paul, ts'ą' Silas Haa Haazhii
44:16:001:0	Paul ts'ą' Silas haa chan Derbe, ts'ą' Lystra kwaiik'it k'eegii'oo. Izhik zhat dinjii ch'ihłee Jesus k'injigiighit Timothy oozhii gwich'įį. Vahan Jews nilįį ts'ą' Jesus k'injiighit nilįį. Viti' chan Greek nilįį. 
44:16:002:0	Lystra ts'ą' Iconium kwaiik'it gwizhit juu Jesus k'injigiighit nąįį datthak, “Łyaa Timothy dinjii nizįį nilįį,” ginyąą. 
44:16:003:0	Jii geh'an Paul, Timothy shaa hoozhi', yiindhan, yits'iheenjyaa eenjit. Tr'ookit yatthąį' kat khagwąht'uu ts'ą' yigwiiłkįį, nijin gwats'ą' gihee'al izhik łyaa Jews nąįį gwanlii geh'an. Ąįį nąįį datthak viti' Greek nilįį ts'ą' giiyaandaii geh'an. 
44:16:004:0	Nijin kwaiik'it gwa'an neegihii'oo, datthak juu Jesus k'injigiighit nąįį haa giginkhii. Tr'ihił'e', ąįįts'ą' ch'anjaa gwik'injiighit kįh dilk'ii nąįį, Jerusalem gwizhit dilk'ii nąįį Jews nilįį kwaa Jesus k'injigiighit nąįį, law giit'ahaahchy'aa giveenjit nizįį giłtsąįį. Ąįį t'ahoohchy'aa googaiinyą' eenjit gavaa gwagwaandak. 
44:16:002:1	Troas Kwaiik'it gwizhit Paul Gineiinlyaa K'it T'inchy'aa Haa Vats'ą' Gwigwiilkįį
44:16:005:0	Zhat juu tr'igiinkhii zheh nineedal nąįį datthak łyaa gook'injigwiighit ts'ą' gwandaa giint'aii gaadlit. Drin gwiteegwagwaanchy'aa gwandaa dinjii lęįį Jesus k'injigiighit nąįį gwilii. 
44:16:006:0	Asia nahkat gwizhit Ch'anky'aa Shroodiinyąą Gwandak Nizįį eegwagwahaandak gwats'ą' t'agavahthan kwaa. Jii geh'an Phrygia, Galatia nahkat gwizhit datthak k'eegaho'oo. 
44:16:007:0	Nijin Mysia nahkat geeghaih, khaiinjii k'eegii'oo dąį', Bithynia nahkat chan gwats'ą' tr'ahoo'oo, giindhan. Gąą izhik chan Ch'anky'aa Shroodiinyąą gwats'ą' t'agavahthan kwaa. 
44:16:008:0	Jii geh'an Mysia nahkat gwideetaa Troas kwaiik'it gwachoh gwats'ą' neegiin'oo. 
44:16:009:0	Izhik zhat tǫǫ Troas kwaiik'it gwizhit Paul gineiinlyaa k'it t'inchy'aa haa Macedonia nahkat gwats'an dinjii yęhdaa nadhat, yats'ą' ch'oodiikwat nah'in, “Macedonia nahkat gwizhit diits'ihinjyaa eenjit diits'ą' hinkhaii!” yahnyąą.  
44:16:003:1	Philippi Kwaiik'it gwizhit Tr'injaa Ch'ihłak, Lydia Oozhii, Jesus K'injiighit Dhidlit
44:16:010:0	Jii geh'an khants'ą' idishriineegaanjik, Macedonia nahkat gwats'ą' gihee'al eenjit. Shįį t'ee Luke ihłįį, jii danoiitł'oo ts'ą' gavaahoihshi' yiihthan. Zhat gwats'ą' Vit'eegwijyąhchy'aa diihił'e', Gwandak Nizįį zhat dinjii haa gwarahaandak eenjit ts'ą' gwik'it t'igwiizhik. 
44:16:011:0	Tr'ihchoo haa Troas kwaiik'it gwats'an Samothrace njuu kat gwats'ą' k'igwąą'ee tr'ahaajil. Gęhdaa drin zhit tr'ihchoo haa Neapolis kwaiik'it k'eeriidal. 
44:16:012:0	Izhik gwats'an nankak gwideetaa Philippi kwaiik'it gwachoh gwats'ą' tr'ahaajil. Ąįį kwaiik'it Rome gwich'in nąįį gwiłtsąįį. Łyaa Macedonia nahkat gwizhit kwaiik'it gwintsii gwanlii. Izhik gwizhit shriit'agwahkhyuk kwaa gwats'ą' tr'aak'į'. 
44:16:013:0	Nijin Jews nąįį Neegwaazhii Drin nigwiindhat dąį', kwaiik'it gwachoh gwats'an han teeghaii gwats'ą' tr'ahaajil. Izhik Jews nąįį khagigidiinjii eenjit gwits'ee gihiidal t'iginchy'aa, gooroonyąą. Ąįįtł'ęę datthak tr'iilk'įį, ts'ą' zhat tr'injaa nihłaa łigiiljil nąįį Gwandak Nizįį eenjit gavaa gwaraandak. 
44:16:014:0	Gootee gwats'an tr'injaa ch'ihłee Thyatira kwaiik'it gwats'an nilįį, Lydia oozhii. Gwach'aa (purple) daatł'oo, ąįį tr'ookwat gwahtsii, ąįį k'iighai' gweheendaii gaiigwahtsii. Vit'eegwijyąhchy'aa ts'ą' khagidiinjii nilįį. Deegwinyąą diinǫǫłk'įį, Paul deenyąą gwik'iighai' K'eegwaadhat k'injiighit dhidlit. 
44:16:004:1	Philippi Kwaiik'it gwizhit Paul ts'ą' Silas Haa Zhee Gwaazhrąįį Nagoorąąhchįį
