44:17:001:1	Paul ts'ą' Silas Haa Thessalonica gwizhit T'igiinchy'aa Dąį'
44:17:001:0	Paul ts'ą' Silas haa Amphipolis ąįįts'ą' Apollonia kwaiik'it gwachoh gwideetaa giin'oo k'eegii'oo dąį', Ąįįtł'ęę Thessalonica kwaiik'it gwachoh k'eegii'oo. Izhik zhat Jews nąįį tr'igiinkhii zheh goo'aii. 
44:17:002:0	Izhik Paul Jews nąįį tr'igiinkhii zheh gwats'ą' haazhii, nats'ąą gwehkįį khit dee'in chy'ąą gwik'it t'ii'in. Jews nąįį Neegwaazhii Drin tik gwagwaanchy'aa datthak zhat ninidik, Vit'eegwijyąhchy'aa viginjik danakhwatł'oo eech'ǫąąhtan eenjit. 
44:17:003:0	Gwadanakhwatł'oo gwizhit łyaa gwinzii, Christ khaiinjich'iheedhat, gwinyąą eenjit gavaa gwaandak. “Nijin niindhat tł'ęę, chan neegweheendaii, gwiinyą'. Jii Jesus, adan nilįį t'ee Christ nilįį t'inchy'aa veenjit nakhwaa gwaldak.” Paul gavahnyąą. 
44:17:004:0	Jews lat nąįį Paul ts'ą' Silas haa deeginyąą gook'injigighik ts'ą' datthak goohaa łagaajil, tr'injaa chil'ee lęįį nąįį ts'ą' Greek gwich'in nąįį haa datthak Vit'eegwijyąhchy'aa ts'ą' khagidiinjii gwiizhit gwik'injigiighit goodlit. 
44:17:005:0	Gaa zhat Jews lat nąįį, juu Jesus k'injigiighit kwaa nąįį deegii'in geenjit gootr'igii'ee ts'ą' goots'ą' shoo ginlii kwaa lęįį nąįį Jesus k'injigiighit gaadlit geh'an. Kwaiik'it gwachoh gwizhit dinjii tr'aanduu nąįį gwitr'it t'agwah'in kwaa ts'ą' zhyąą tąįį gwinjik niilzhii nąįį datthak khaihłan nigiinlii. Ąįįtł'ęę gwint'aii gootee giginkhii. Kwaiik'it gwich'in nąįį datthak gook'įį gwanlii giłtsąįį. Ąįįtł'ęę dinjii Jason oozhii vizheh gigiinghaa ts'ą' ginleegaanaii haa nihdeetreegwigwihiiłtik, Paul ts'ą' Silas haa kagantii t'igii'in. Kwaiik'it gwats'ą' k'eedeegwaadhat nąįį ts'ą' nagoogahahchyaa geenjit. 
44:17:006:0	Gąą nijin googwagwah'ąįį kwaa dąį', Jason chan ts'ą' juu Jesus k'injigiighit nąįį haa chagahaaluu. Ąįįtł'ęę kwaiik'it gwachoh k'eedeegwaadhat nąįį ts'ą' nagoogiinlii, ts'ą' gwintł'oo ginyąą haa gwint'aii gazhral, “Jii dinjii nąįį haa dząą gwats'ą' gahaa'oo łyaa gwintł'oo dinjii nąįį haa nigwigwii'ąįį. Kwaiik'it gwachoh gwa'an neegihii'oo datthak dinjii nąįį eenjit gwiizųų gwagwahtsii. Ąįįts'ą' juk diikwaiik'it chan k'eegii'oo. 
44:17:007:0	Jii dinjii Jason, nąįį haa gwigwich'įį ts'ą' gook'ąąhtii. Diik'eedeegwaadhat choh Caesar va-law łeegahnaii t'igii'in. Caesar diik'eedeegwaadhat t'inchy'aa kwaa. Dinjii, Jesus oozhii, ąįį diik'eedeegwaadhat (king) nilįį, ginyąą.” Jews juu Jesus k'injigiighit kwaa nąįį jyaa diginyąą. 
44:17:008:0	Dinjii zhat dilk'ii nąįį ts'ą' dinjii datthak gook'įį goodlit ts'ą' gwint'aii gazhral. 
44:17:002:1	Nijin Paul ts'ą' Silas Haa Berea Kwaiik'it T'igiinchy'aa Dąį'
44:17:009:0	Jason ts'ą' dinjii yaa t'inchy'aa nąįį haa larąą idigeenjit nigiinlii googiłtsąįį. “Nijin Paul ts'ą' Silas haa neegahoo'oo ji', nakhwalaraa nakhwantł'eeneereheelyaa,” googahnyąą. Ąįįtł'ęę Jason, ts'ą' juu yaa t'inchy'aa nąįį haa datthak ineegiinjik. 
44:17:010:0	Tǫǫ nagwaanąįį googwahkhan, juu zhat Jesus k'injigiighit nąįį Paul ts'ą' Silas haa Berea kwaiik'it gwats'ą' nagąąhchįį. Nijin zhat k'eegii'oo dąį', Jews nąįį tr'igiinkhii zheh gwats'ą' gahaa'oo. 
44:17:011:0	Izhik Jews t'inchy'aa nąįį Thessalonica Jews nąįį andaa ts'ą' ch'agoołk'įį. Łyaa Paul ts'ą' Silas haa goots'ą' Gwandak Nizįį haa giginkhii, shoo giinlii haa ch'agoołk'įį, łyaa Gwandak Nizįį tr'ootth'ak giindhan geh'an. Ąįįtł'ęę drin gwiteegwagwaanchy'aa K'eegwaadhat ginjik danahootł'oo ąįį agwagwaa'e', Paul łi'deegwidlii haa gwaandak t'inyąą ji', gaagoondaii, giindhan. 
44:17:012:0	Jews lęįį nąįį, ts'ą' Greek tr'injaa gwintsii veegoo'aii lęįį nąįį, ts'ą' Greek dinjii lęįį nąįį datthak haa Jesus k'injigiighit gaadlit. 
44:17:013:0	Nijin Jews Thessalonica kwaiik'it gwich'įį nąįį, Paul Vit'eegwijyąhchy'aa viginjik Berea kwaiik'it gwizhit chan eegwaandak, gwinyąą gwigwiitth'ak dąį', zhat gwats'ą' gahaajil. Dinjii lęįį nąįį dagats'ąįį nigiheelyaa, ąįį haa giits'ą' nich'itsahahthat eenjit. 
44:17:014:0	Gaa khants'ą' juu Jesus k'injigiighit nąįį Paul chųų choh vee shriit'agwahthee gwa'an gwats'ą' nigiiyąąhchįį. Silas, Timothy haa zhrįh Berea gaadii. 
44:17:003:1	Nijin Paul Athens Kwaiik'it T'inchy'aa Dąį'
44:17:015:0	Dinjii lat nąįį Paul haa gahaajil. Athens kwaiik'it gwachoh tr'ihchoo haa gwats'ą' datthak giiyaa niinjil. “Silas, Timothy haa khants'ą' dząą shats'ą' gihee'al. Jyaa dagavoohohnjyaa yuu.” gavahnyąą. Ąįįtł'ęę giiyiiłęęhoojil k'iinjik Berea kwaiik'it gwits'ee goohoojil. 
44:17:016:0	Paul Athens kwaiik'it gwachoh t'inchy'aa, izhik Silas, Timothy haa nool'in, gwiizhit łyaa gwintł'oo tr'igwidii, zhat kwaiik'it gwachoh dinjii nąįį ch'ik'itiltsį' łyaa lęįį gii'įį gwąąh'in geh'an. 
44:17:017:0	Ąįį geh'an Jews tr'igiinkhii zheh gwizhit Jews giinlii kwaa gaa Vit'eegwijyąhchy'aa ts'ą' khagidiinjii nąįį ts'ą' Jews nąįį haa gwintł'oo ts'ą' ginkhii. Gąą drin gwiteegwagwaanchy'aa chan kwaiik'it gwatł'an ch'arookwat zheh goodlii gwa'an ninidik. Izhik juu dinjii zhat gwits'eehiidal nąįį haa gwintł'oo ginkhii. 
44:17:018:0	Ąįįtł'ęę dinjii nąįį tr'igiiyoiidlii geh'an gwint'aii giidii ginkhii. Ąįį goolat nąįį dinjii Epicurus oozhii geech'ǫąąhtan k'injigijii. Goolat nąįį chan Stoic gwich'in nąįį geech'ǫąąhtan k'injigijii, “Jii juu dinjii dee zhyąą khit ginkhii, diinaa gwahaandak gwik'eegwandaii?” goolat nąįį nyąą.“Vit'eegwijyąhchy'aa ch'ijuk t'inchy'aa eegwaandak k'it t'inyąą.” goolat nąįį chan nyąą, “Jesus eenjit gavaa gwaandak ąįį dinjii niindhat nąįį neegwiindaii.” gavahnyąą geh'an. 
44:17:019:0	Ąįįts'ą' Paul goonjik ts'ą' kwaiik'it gwachoh gwats'ą' k'eedeegwaadhat nąįį Areopagus goozhii ąįį nąįį taih Mars kat łigiiljil nąįį ts'ą' nigiiyąąhchįį, ts'ą' jyaa nyąą, “Jii ginjik k'eejit haa geech'ǫąąhtan. Ąįį eenjit gwinzii diinaa gwandak, łyaa gaagoondaii gwiindhan. 
44:17:020:0	Jii jidii ch'ijuk t'inchy'aa geeginkhii, ąįį łyaa tth'aii hee gwehkįį tr'igwiitth'ak kwaa. Nats'ąą deegwinyąą t'igwinyąą łyaa gaagoondaii gwiindhan,” giiyahnyąą. 
44:17:021:0	(Athens gwich'in nąįį ts'ą' ch'adanh nahkat gwich'in nąįį haa, zhyąą drin gwiteegwagwaanchy'aa gwiriitth'ak kwaa geegiginkhii ts'ą' chan googoołk'įį haa gwizhrįh goohaa drin neegwiidhak nąįį t'inyąą.) 
44:17:022:0	Paul, Areopagus nąįį ts'ą' nadhat ts'ą' jyaa nyąą, “Athens Gwich'in ǫhłįį ts'ą' łyaa nihłehjuk datthak gwintł'oo gwik'injuhkhit nakhwał'in.”  
