44:3:001:1	Dinjii Neehidik Kwaa Shranaazhik
44:3:001:0	Ch'ihłan drin drintł'an 3 o'clock gwandaa gweedhaa dąį', Peter, John haa Kharigidiinjii Zheh gwats'ą' gahaa'oo. Jews nąįį drin gwiteegwagwaanchy'aa zhat nagwadhat dąį' gwizhit khagigidiinjii gwideek'it gogwaa'įį geenjit. 
44:3:002:0	Kharigidiinjii Zheh izhik gindeiinvyaa choh gwinzii viyiichy'a', ąįį giiyoozhri' ąh'įį. Drin gwiteegwagwaanchy'aa jii gindeiinvyaa choh geeghaih dinjii vagoodlit dąį' gwats'an neehidik kwaa zhat nineegahchik, ts'ą' dinjii nąįį ts'an laraa oodiheekwat geenjit zhat dhidii.  
44:3:003:0	Peter, ts'ą' John haa nihdeegaa'oo, goovah'in dąį', k'aiich'ii giiyintł'eehee'aa ji' eenjit goots'ą' ch'oodiikwat. 
44:3:004:0	Gwinzii giiyąąh'in tł'ęę “Diinąąh'in!” Peter yahnyąą. 
44:3:005:0	Ąįįts'ą' gwinzii gavąąh'in, laraa giits'an hahtsyaa ji' geenjit niindhan haa. 
44:3:006:0	“Larąą shi'įį kwaa. Gąą k'eegwiichy'aa neenjit t'ihishi'yaa, Jesus Christ Nazareth kwaiik'it gwats'an ahaa voozhri' k'iighai'. K'iidak ninkhee ts'ą' neehindik.” Peter jyaa yahnyąą. 
44:3:007:0	Shriits'ąįį yanli' oonjik ts'ą' ndak niheedhat geenjit yits'inyąą. Googwahkhan vakweechan ts'ą', vakwai' ts'an t'aih neegahoodlit. 
44:3:008:0	K'iidak nidhikhin ts'ą' zhat nadhat. Ąįįtł'ęę neehidik shoh ts'ą' naatłak. Kharigidiinjii Zheh gwizhit gavaa nihdeiinzhii. Neehidik ts'ą' naatłak gwizhit Vit'eegwijyąhchy'aa deehiił'ee. 
44:3:009:0	Zhat dinjii nąįį datthak neehidik ts'ą' Vit'eegwijyąhchy'aa deehiił'ee giiyąąh'in. 
44:3:002:1	Peter Kharigidiinjii Zheh gwizhit Gwaandak
44:3:010:0	Jii dinjii Kharigidiinjii Zheh gindeiinvyaa choh, ndaat'inchy'aa, geeghaih khit dhidii ts'ą' ch'oodiikwat chy'ąą t'inchy'aa łee, łyaa geegagoolii kwaa gooveenjit t'igwiizhik. 
44:3:011:0	Zhat Kharigidiinjii Zheh gwizhit gwadąįį Solomon charantąįį goozhii, izhik Peter, ts'ą' John haa nagadhat. Gavoontą', gooviłeehidii gitr'ii'ee. Zhat gwizhit dinjii nąįį datthak geegaroolii kwaa gooveenjit t'igwiizhik. Ąįįts'ą' dinjii nąįį datthak goots'ą' gal gihiłjil. 
44:3:012:0	Nijin Peter dinjii nąįį datthak zhat niinjil, gwąąh'in dąį', goots'ą' khaginkhee, “Israel gwich'in shalak nąįį ǫhłii, jaghaii jii t'igwiizhik łyaa geegohłii kwaa t'igwiizhik, geenjit aakin diinoo'įį? Jii t'igwiizhik, diit'aii akwat Vit'eegwijyąhchy'aa vik'iighai' tr'iinzii geh'an ąįį dinjii neehidik neeriłtsąįį t'igwii'in kwaa. 
44:3:013:0	Yeenii diitsii Abraham, Isaac, Jacob, haa Goovit'eegwijyąhchy'aa, ditsyaa Jesus ch'eegwąhndit gwintł'oo gwihil'ee yantł'eegwiin'ąįį, gaa ąįį gwidinjii k'eedeegwaadhat nąįį ts'ą' gwantł'ohchįį. Pilate vineeroonjii yuunyąą gaa nakhwan ąįį vanoohjii gatr'ǫǫh'ee. 
44:3:014:0	Łyaa shroodiinyąą nilįį ts'ą' Vit'eegwijyąhchy'aa vik'eegwahthat, gąą nakhwan vatr'ǫǫh'ee. Ąįįts'ą' ch'izhii dinjii diłkhwąįį ąįį yideek'it chanoozhi' vohnyąą. 
44:3:015:0	Jii geh'an Jesus t'ee dinjii nąįį gwandaii ts'an ąhtsii heelyaa, ąįį dhookhwąįį. Gąą Vit'eegwijyąhchy'aa niinjik nąįį tee gwats'an gwandaii neeyiłtsąįį. Jii datthak gwarąąh'ya', ąįį geenjit nakhwaagwaraandak. 
44:3:016:0	Jii dinjii shranaanzhik neeriłtsąįį jidii gooh'in ts'ą' gaakhwandaii t'ee Vigwik'injigwiighit ts'ą' Jesus vat'aii haa gwinzii neehidik neekhwadlit t'inchy'aa. Nakhwan datthak juk nǫh'in. 
44:3:017:0	“Shalak nąįį, nijin tr'iiłkhwąįį dhohtsąįį dąį', deekhwa'in t'akhwa'in, gaakhwandaii kwaa. Izhit gaashandaii. Nakhwak'eedeegwaadhat nąįį chan gwik'it t'inchy'aa. 
44:3:018:0	Deenaadąį' Vit'eegwijyąhchy'aa Eenjit Ginkhii nilįį nąįį k'iighai', “Va-Christ khaiinjich'iheedhat!” ginyąą. Jii k'iighai' Vit'eegwijyąhchy'aa nats'ąą ginkhe' datthak łi'deegwidlii goodlit. 
44:3:019:0	Nakhwateegwagwąąnchy'aa ts'ą' nakhwatr'agwaanduu gwats'an K'eegwaadhat ts'ą' łihts'eedǫǫ'ee. Ąįį ji', tr'agwaanduu t'akhwa'ya' datthak nakhweenjit oo'an gweheelyaa t'inchy'aa. 
44:3:020:0	K'eegwaadhat vats'an t'aih shroodiinyąą tr'ihee'yaa, ts'ą' Jesus, t'ee Messiah nilįį gwiteetr'ahchįį ąįį nakhwats'ą' nahahchyaa t'inchy'aa. 
44:3:021:0	Deenaa dąį' Vit'eegwijyąhchy'aa Eenjit Ginkhii shroodiinyąą nilįį nąįį k'iighai' jyaa diginyąą, “K'eegwiichy'aa datthak k'eejit neegwahahtsyaa gwats'ą' datthak Jesus zheekat t'iheechy'aa.” nyąą. 
44:3:022:0	Yeenaa dąį' Moses jyaa nyąą, ‘Nakhwak'eegwaadhat Vit'eegwijyąhchy'aa ch'ihłak yeenjit ginkhii nakhwats'ą' nahahchyaa t'inchy'aa, shįį chan shihił'e' gwik'it t'iheenjyaa t'inchy'aa. Nakhwatee gwats'an dinjii ch'ihłee heelyaa. Nats'ąą deenakhwahnyąą datthak oohoohky'aa gwizhrįh goo'aii, ąįįts'ą' deenyąą datthak gwik'it t'akhwa'yaa gwizhrįh goo'aii. 
44:3:023:0	Juu ch'oołk'įį kwaa ąįįts'ą' yik'eegwahthat kwaa nąįį gwanlii ji', ąįįt'ee Vit'eegwijyąhchy'aa vigii nilįį nąįį ts'an thok nagooveheelyaa. Ąįįts'ą' an giheelyaa.’ Jyaa Moses nyąą. 
44:3:024:0	Samuel vats'an gweedhaa ts'ą' juk drin zhit gwats'ą' datthak Vit'eegwijyąhchy'aa Eenjit Ginkhii nąįį datthak jyaa digiinyą' ts'ą' geegwagwaandak. 
44:3:025:0	Vit'eegwijyąhchy'aa, Yeenjit Ginkhii Nąįį k'iighai' deehee'yaa nyąą ąįį gwik'it t'ihee'yaa t'ee nakhweenjit t'oonchy'aa, ts'ą' Vit'eegwijyąhchy'aa, nakhwatsįį nąįį eenjit deehee'yaa nyąą ąįį gwik'it t'ihee'yaa, ąįį gwitee t'ohchy'aa. Vit'eegwijyąhchy'aa Abraham jyaa dahnyąą, ‘Nihzheeneedijii nąįį k'iighai' nankak gwich'in nąįį datthak Vit'eegwijyąhchy'aa goots'ą' gwinzii t'ihee'yaa.’ 
44:3:026:0	Vit'eegwijyąhchy'aa Didinji' igweełkįį ąįį nakhwan tr'ookit nakhwats'ą' niyąąhchįį, jyąhts'ą' gwik'iighai' nakhwats'iheenjyaa ts'ą' nakhwatr'agwaanduu akhagahohjyaa geenjit.”
