18:21:001:1	Job doo yá'ádaashóonii da'ít'įįhii yaa halne'
18:21:001:0	Ákohgo Job ánááhodoo'niidgo ání ,
18:21:002:0	Kodóó ánihidishníinii hazhó'ó deísółts'ą́ą'godíí bee hada'íínółníi doo .
18:21:003:0	Haa'íyee' nihich'į' hadeesdzih biniyé shadi'noh'aah , áko ałtso nihich'į' haasdzíi'go índa shá nináádahołt'i'go t'áá áko .
18:21:004:0	Da' shíísh diné bich'į' ák'e'eshdlí ? Ha'át'éegoshą' doo ha'ííníshníi da doo ?
18:21:005:0	T'óó shik'ee nihił adahayóigo aadę́ę́' dashinół'į́ , áádóó nihizéé' dádadinołnííh .
18:21:006:0	Nitsískeesgo k'asdą́ą́' bik'ee tsíńdísyisáádóó shitah anáhodi'niitłi' .
18:21:007:0	Ha'át'íísh biniyé diné doo yá'ádaashóonii dahinááádóó ayóó ádabóodziil nidahaleehgo są́ yaa da'iiłdįįh ?
18:21:008:0	Ba'áłchíní daniyéego dabinááł yee ák'indadikai dooleełii yaa nídahidiikááh , áádóó ba'áłchíní da'ahílchíihii dabinááł ákót'éego dahiná .
18:21:009:0	Dabighangóó doo bił daayéé'góó hazhó'ó hasht'edadít'éego kéédahat'į́índa Diyin God doo atíbíléeh da .
18:21:010:0	Dabidóola éí doo át'éhígóó bá nida'iichííh ; béégashii éí doo bitsą́ hada'ii'eeł da .
18:21:011:0	Dibé nidanilkaadii nahalingo ba'áłchíní tł'óó'góó yéé'éłnih , áko naanída'ílzhíísh .
18:21:012:0	Ásaa' yilghaałígíí índa tsin tł'óół bąąh daneelzhee'go bee nida'a'néii nideidiiniłgotsin bee í'dílzoołí yaa bił nidahoozhǫǫh łeh .
18:21:013:0	At'į́ yee ákidaadláago nidabííłka'áádóó jineesk'ołígíí nahalingo łeeh dabidii'nííł .
18:21:014:0	Éí bąą Diyin God ádeiłní , Nihits'á nínááh ; nik'ehgo dahonít'i'ii nihił béédahodoozįįłígíí doo daniidzin da .
18:21:015:0	Aláahgo Ayóó'ábóodziilii ha'át'íísh át'éego bich'į' nidahwiidláa doo ? Bich'į' sodadiilzingo ha'át'íísh nihá íidoodił ?
18:21:016:0	Jó , bidziilgo dah da'jíléhígíí éí doo bee hódahólníih da ; diné doo yá'ádaashóonii kót'éego dajinínígíí éí ts'ídá doo shídéét'i' da !
18:21:017:0	T'áá ahą́ą́h diné doo yá'ádaashóonii bits'ą́ą́' bee hool'iní dahiniltséés índa atídabi'dil'į́ ! Diyin God éísh báháchį'ii bik'ehgo adiniih neiłniih ?
18:21:018:0	T'áá ahą́ą́h níyol bidááhgóó tł'oh naadą́ą́' bitsǫz nihidíl'áhígi át'éego hoł nídahidiiyóół , índa azhool bił yóó'adahayółígíí nidahojílin !
18:21:019:0	Diné doo ákwii ájíít'įįdii Diyin God ha'áłchíní yá hasht'e'niyiinííł , dadohní . T'áá hó k'ééhodidoodlííł , áko hoł bééhózin doo .
18:21:020:0	Atídahodi'doolníłígíí háni'dii t'áá hó deizdoołtsééł , áádóó Aláahgo Ayóó'ábóodziilii t'óó báhádzidgo bibee atí'él'íinii jidoodlį́į́ł .
18:21:021:0	Jó , ákwíí hwee nínáádidooziłii hats'ą́ą́' nahjį' kólyaagodadziztsą́ą́dóó bik'ijį' ha'áłchíní doo baa hoł nááhójǫ́ǫ da doo .
18:21:022:0	Diyin God yá'ąąshdi dahólóonii yaa nídóot'įįłgoła'daásh ił ééhózinii bínabizhdínóołtįįł ?
18:21:023:0	Ła' t'ahdii hadziilgo hoł hasht'ehodít'éegoáádóó hwiih jílį́įgo dazdootsaał .
18:21:024:0	Be'abe' bee ída'azįįdínda biwolda daashzhoh .
18:21:025:0	Diné náánáła' ádił nitsidoodáałgo bił niiłch'iihgo dadootsaał . Yá'át'éehii ts'ídá t'áadoo yizlįh da dooleeł .
18:21:026:0	Éí diné t'áá áłah łeeh bidi'doo'niłgoch'osh bił dínóoyił .
18:21:027:0	Jó , nihintsíkees danilíinii shił bééhózinínda doo ákǫ́ǫ́ ádahodiilníił da , danohsingo shiyada'oohłeehígíí baa ákonisin .
18:21:028:0	Áko ádadohní , Háadiyee' naat'áanii bighan si'ą́ ? Háadiyee' diné doo yá'ádaashóonii níbaal yii' kéédahat'íinii naaznil ?
18:21:029:0	Da'nítiingóó diné deíkáhígíísh doo nidabídółkid da ? Índa yee nihił nídahoolne'ígíísh t'áadoo baa ákodanoozį́į' da ?
18:21:030:0	Éí diné doo yá'ádaashóonii atí'oolnííł bá áá bi'dilzįįh . T'óó báhádzidgo bee atí'él'íinii beidoołkáałjį' ats'ádabidi'doo'nił .
18:21:031:0	Éí ádáát'įįdígíí t'áá dabinii'jį' háísh yee bił hodoolnih ? Yaa naaskaii biniinaa háí k'éébididoodlííł ?
18:21:032:0	Łe'ii'níiłgi yiltééháádóó yóó'ábi'diil'įįhgo ła'da yik'i ha'ídées'į́į́' .
18:21:033:0	Honíts'aa'gi bisígíí bił ayóó áhoot'éego yóó'abi'didoolnííłgóóyiltéełgo diné t'áá át'é bikéé' nooyéeł łeh , índa bitsijį' nidahaaskaígíí doo jóołta' ánéelą́ą' da .
18:21:034:0	T'áadoo biniyéhígóó bee shich'į' yádaałti'ígíishą' hait'éego bee ha'íídéeshniił ? Aadę́ę́' bee shich'į' háádahisoohdzí'ígíí t'áá ałtso wooch'ííd t'éiyá ádaat'é .
