18:34:001:1	Iiláíhu éí Diyin God doo haa dayit'ée da , ní
18:34:001:0	Náá'áłdó' Iiláíhu ánáádoo'niidgo ání ,
18:34:002:0	Nihí hastóí hóyáanii danohłíinii , shizaad dayínółts'ą́ą́' ; nihí nihił éédahoozinii ádíshnínígíí deísółts'ą́ą́' .
18:34:003:0	Hazéé' bee ajilįhígi át'éego ajółts'ą́ą́' bee saad hoł nibééhwiizįįh .
18:34:004:0	Haa'íyee' t'áá ákwii áhát'į́ nidadidiit'ááł , índa nihitahgóó yá'át'éehii hólónígíí nihił béédahózin doo .
18:34:005:0	Jó , Job ájíní , T'áá ákogi ánísht'é , nidi Diyin God éí bee shá haz'áanii nahjį' niidiní'ą́ .
18:34:006:0	T'áá ákogi ánísht'éhígíí doo ákót'ée da , dishníigoósh shiyooch'íid doo ? Azhą́ bee haz'áanii doo neheshtíih da nidi , tséstíín diníshdlį́į́' .
18:34:007:0	Háí diné shį́įshą' Job nahojílin ? Éí tó jidlánígi át'éego nahat'i' jidlą́ ,
18:34:008:0	áádóó diné doo ákwii ádaaníiłii bił nijildeeh , índa diné doo yá'ádaashóonii bił jooldah .
18:34:009:0	Jó , Job ájíní , T'áá hó Diyin God bee ádił hojílzhóonii ts'ídá t'áadoo haa doodiłí da .
18:34:010:0	Éí bąą diné ak'idadi'yootįįhii dashíísółts'ą́ą́' ; Diyin God yee' doo yá'áshóonii ts'ídá doo ííléeh da , índa Aláahgo Ayóó'ábóodziilii éí doo ákwii é'ét'éii ts'ídá doo ííléeh da .
18:34:011:0	Jó , diné ájooníłígíí bik'ehgo hach'į' niná'doodlééł , áádóó ájít'éii bik'ehgo áho'dool'įįdígíí nibééhwiizįįh .
18:34:012:0	T'áá aaníí Diyin God nilíinii ts'ídá doo yá'áshóonii doo íidoolíił da , índa Aláahgo Ayóó'ábóodziilii éí t'áá ákogi át'éii ts'ídá doo łahgo ánáyoodlíił da .
18:34:013:0	Háísh nahasdzáán bee bóhólníihgo ábiilaa ? Doodaii' háísh nahasdzáán yaa áhályą́ągo ábiilaa ?
18:34:014:0	Diyin God éí kót'éego diné yaa tsídeezkéezgoáádóó t'áá bí biníłch'i índa biyol ách'į' kónáyiidlaago
18:34:015:0	nídídzih nináneel'ą́ąjį' t'áá łahjį' dínóonéełgodiné jílíinii łeezh nízhdoodleeł nít'éé' .
18:34:016:0	Bee ak'i'diitįįhii k'ad nee hólǫ́ǫgo ádíshnínígíí kǫ́ǫdí lą́ą yísíníłts'ą́ą́' ; shizaad hazhó'ó yísíníłts'ą́ą́' .
18:34:017:0	Da' t'áá ákogi át'éii jijoołáiísh hóhólníihgo hojoo'áał doo ? Aláahgo t'áá ákogi át'éii nilíiniísh t'áá bá nihodíí'ááł ?
18:34:018:0	Éí aláahgo naat'áanii nilíinii ííłní , T'áadoo bą́ą́h nílíní da , índa naat'áanii danilíinii ííłní , Doo yá'ádanohshǫ́ǫ da .
18:34:019:0	Éí naat'áanii dajílíinii doo aláahgo da'jílį́įgo haa nitsíkees da , índa diné bahojoobá'íii biláahgo diné ajit'íinii doo bił jílį́įgo haa nitsíkees da , háálá t'áá ádzíłtso Diyin God honaashnishii dajílį́ .
18:34:020:0	T'áadoo hodina'í dazhniné . Tł'é'ííłnihgo diné bitah dahoditłidgo abídeiłkááh . T'áadoo bi'deelchídígóó diné ayóó át'éii danilíinii ádaadįįł .
18:34:021:0	Diné ádajít'éii haisííd , índa dajíkááhgóó t'áá ałtso yiníł'į́ .
18:34:022:0	Chahałheeł índa anoonééł bichaha'oh bii' diné doo ákwii ádajooníiłiit'áá hó nídazhdidoot'į́įłgi t'áá há ádin .
