18:38:001:1	Bóhólníihii éí Job doo hoł ééhózin daígíí yigha'dit'ááh
18:38:001:0	Ákohgo nááts'ó'oołdísii biyi'dę́ę́' Bóhólníihii éí Job yich'į' haadzíi'go ání ,
18:38:002:0	Háíyee' saad doo bił bééhózingóó na'ak'íyáti' éí doo béédahózingóó áyoolííł ?
18:38:003:0	Diné ninísáanii nahalingo k'ad áká nílzis ; nanídídéeshkiłgo bee shił hodíílnih .
18:38:004:0	Nahasdzáán niłdzilgo áshłaa yę́ędą́ą́'shą' háadi nanináá nít'éé' ? Bik'idi'nitą́ągo bee shił hólne' .
18:38:005:0	Nił bééhózingo háí nahasdzáán yída'nééł'ąąd ? Nahasdzáán áníłtso dooleełgi háí yí'nééł'ąąd ?
18:38:006:0	Ha'át'íí nahasdzáán bee niłdzilgo dah si'ą́ ? Éí doodaii' háí tsé bee naaná'ástł'inii niiní'ą́ ?
18:38:007:0	Íídą́ą́' hayoołkááł sǫ' dahataałgoDiyin God bidiyingo nidaal'a'í t'áá íiyisí bił dahózhǫ́ǫgo dahóótáál .
18:38:008:0	Nahasdzáán biishch'id bii'dę́ę́' tónteel deeshchoshgoshą'háí t'ą́ą́' áyósin dooleełgo bidáń'da'ditį́įhii yich'ą́ą́h dádeideeztą́ ?
18:38:009:0	K'os éí tónteel bi'ée'goínda chahałheeł bik'ídeesdizgo áshłaago
18:38:010:0	índa tónteel nidahaazyį́į dooleełjį' bá haasdzíi'go dáń'da'dilkałínda bich'ą́ą́h dah nída'atį́įhii ákǫ́ǫ́ nihínilgo
18:38:011:0	ábidííniid , Kónízahjį' nisooyį́į doo ; bilááhgóó éí dooda , índa wołk'oołígíí éí kónízahjį' wołk'ooł doo .
18:38:012:0	Job ni' dizhchį́į́dóó wóshdę́ę́' , K'ad haidoołkááł , dííníniidísh ? Índa hwiidool'įįłígíísh bił bééhózingo íinilaa ?
18:38:013:0	Áko nahasdzáán nidahonees'ą́ąjį' diné doo yá'ádaashóonii t'áá náhool'įįhbik'eh nahasdzáán bił néiga'go náábidii'nił doo .
18:38:014:0	Hashtł'ish bik'ini'ít'ánígi át'éegoínda éé' naashch'ąą' nahalingo nahasdzáán bikáá' hool'įįhgo ééhoozįįh .
18:38:015:0	Diné doo yá'ádaashóonii bá adinídínígíí t'ą́ą́' kóolzin , áádóó bigaan yee ádaa dadzódlíhígíí bits'ą́ą́' dahaatííh .
18:38:016:0	Tónteel bitł'áahdi tó hadaazlį́į́góósh nisíníyá ? Índa tónteel bitł'áahdi doo dahoot'íní góyaásh nisíníyá ?
18:38:017:0	Da' aniné bidáń'dítį́hí t'áásh nił ííshją́ą́ ályaa ? Áádóó aniné bichaha'oh bidáń'dítį́hí t'áásh yiniłtsą́ ?
18:38:018:0	Nahasdzáán áníłtsooígíísh t'áá nił bééhoozin ? Díí t'áá ałtso nił bééhózingo bee shił hólne' .
18:38:019:0	Háadi lá adinídíín bighangóó atiin ? Háadi lá chahałheeł bá haz'ą́ ?
18:38:020:0	Áko bá nahós'a'jį' daats'í ninádííjih , índa bighangóó atiinígíí daats'í nił bééhózin doo .
18:38:021:0	Nił bééhózin lą́ą , háálá íídą́ą́' ni'dizhchį́áádóó t'óó ahayóí niiską́ !
18:38:022:0	Yas bá hooghan góne'ésh t'áá yah ííníyá ? Éí doodaii' níló bá hooghanísh t'áá yiniłtsą́ ?
18:38:023:0	Éíyee' ach'į' nahwii'ná áádóó ałk'éé dajiijahínda anaa' náhádleeh biniyé áá sésįįd ?
18:38:024:0	Ha'át'íí honít'i'iishą' bee ałts'á'diidlaad ? Doodaii' ha'át'íí honít'i'iishą' bee ha'a'aahdę́ę́' níyol ni' bikáá'góó tanáyooghas ?
18:38:025:0	Ayóó át'éego nidahałtingo háishą' tó yíląąd yá na'azgeed , doodaii' háishą' éí atsiniltł'ish anáháta'go bee da'di'níigo áyiilaa ?
18:38:026:0	Áko kéyahgóó diné doo kéédahat'į́įgi nahałtin doo , áádóó honoojíígóó diné doo ła' kééhat'į́įgi nahałtin doo ,
18:38:027:0	áádóó náhodiiniichii'go doo naagháhígóó haz'ánígi kéyah bił hózhǫ́ǫ doo , índa ákwii ch'il hadínóot'į́į́ł biniyé ákǫ́ǫ́ nídahodiłtį́į́h .
18:38:028:0	Níłtsą́ą́sh bizhé'é hólǫ́ ? Índa dahtoo' nidahidilch'ą́łígíísh háí bá bi'dizhchį́ ?
18:38:029:0	Háishą' biishch'id bii'dę́ę́' tin hazlį́į́'áádóó wódahdę́ę́' shooígíí éí háí bishchį́ ?
18:38:030:0	Tó éí tsé nahalingo yitł'is , áko tónteel bikáá'góó hatį́į́h .
18:38:031:0	Dilyéhé t'áá ahídahidííłtł'óołgoósh bíninil'ą́ ? Doodaii' t'áá bá níhánígóó sǫ' náánáshjaa'ígíí éí ałch'į' kódabósinígíísh t'áá k'e'díí'ałgo bíninil'ą́ ?
18:38:032:0	T'áá ahééhwiidááh bik'eh sǫ' ałkéé' deíkááh íínísin doogoósh bíninil'ą́ ? Doodaii' náhookǫs índa t'áá bá níhánígóó sǫ' náánáshjaa'ígíísh ałkéé' deíkááh íínísin doogoósh bíninil'ą́ ?
18:38:033:0	Yót'ááh hiníláii bibik'eh hoogáałiísh nił bééhózin ? Nihokáa'giísh t'áá éí bee bídahólnííh ádíílíiłgo bíninil'ą́ ?
18:38:034:0	K'os bich'į' yéego háínídzíi'goósht'óó ahayóí nee nahodoołtį́į́ł ?
18:38:035:0	Atsiniltł'ish anídahata' ádíílíiłgo , Kǫ́ǫ́ lá honiidlǫ́ ni , dandidooniiłgo ádíílíłígíísh bíninil'ą́ ?
18:38:036:0	Háí éí hódzą́ iih yiyíílá ? Doodaii' háí éí ak'idi'yiitįįh ajéí yeidiní'ą́ ?
18:38:037:0	Háísh hóyą́ągo k'os yídóołtahgo yíneel'ą́ ? Háísh wódahdi tó abid yadeidiyooziłgo yíneel'ą́ ?
18:38:038:0	Łeezh dibahí nilk'įhgo nitł'iz yileehgoáádóó hashtł'ish t'áá íiyisí ahídadiiłgą́ąhgo bik'ijį' háísh tó abid yadeidiyooziłgo yíneel'ą́ ?
18:38:039:0	Náshdóítsoh bitsiijį' daditł'ooígíí yidoolghałii bá hadíílzhahgoósh bíninil'ą́ ? Doodaii' biyázhí nídabidínííłchałgoósh bíninil'ą́ ?
18:38:040:0	Éí bi'áán góne' shijée'go , doodaii' nidant'ingo bimá yiba' shijée'go nídabidínííłchałgoósh bíninil'ą́ ?
18:38:041:0	Ch'iyáán ádinígíí biniinaa gáagii biyázhí naa nídeít'áahgoDiyin God yich'į' daachago háísh ya'doołtsoł ?
