18:11:001:1	Zófar éí Job doo ákwii áát'įįd yee yik'íhá'ááh
18:11:001:0	Ákohgo Néíyama hoolyéédę́ę́' Zófar wolyéii ánááhodoo'niidgo ání ,
18:11:002:0	Diné akónéelą́ą'go yáłti'goósh bich'į' saad doo nát'ą́ą́' ninádoot'áał da nít'éé' ? Índa diné ayóo yáłti'iísh , T'áá ákogi ánít'é , bidi'níi doo ?
18:11:003:0	Ha'díłch'ałgoósh diné yik'ee dahidiiłheeł doo ? Índa t'óó ánahółt'i'goósh diné ła' doo ádaa yánínídzingo ándoolíił da ?
18:11:004:0	Jó , ádíní , Na'nishtinígíí ts'ídá t'áadoo bee bąąh dah haz'ání daáádóó ninááł t'áá íiyisí yá'ánísht'ééh .
18:11:005:0	Dooládó' Diyin God nich'į' yáołti' laanaa nisin , áádóó nik'ijį' hadoodzihgo
18:11:006:0	t'áá bí t'éiyá bee hódzáanii ááhyiłníinii ahą́ą́h nániiláago nił ííshją́ą́ áyólééh laanaa . Éí bąą díí baa ákoniizįįh : Diyin God doo ákwii ánít'ínígíí biniinaa atínídoolííł nít'é'ígíí t'áá bi'oh góne' atíníł'į́ .
18:11:007:0	Da' hazhó'ó naniłkaahgo Diyin God át'éiísh nił bééhodoozįįł ? Aláahgo Ayóó'ábóodziilii nabik'ítsíníłkeesgo bił nidahonees'ą́ą́góósh nił bééhodoozįįł ?
18:11:008:0	Éíyee' yádiłhił biláahdi hólóonii óolyé ; nishą' éí ha'át'íí bíninil'ą́ ? Áádóó ch'į́įdiitah bilááh góyaa nidi ayóó át'é ; nishą' , ha'át'éego nił bééhózin doo ?
18:11:009:0	Át'éiigi nahasdzáán bilááhgóó áníłnééz , áádóó tónteel áníłtélígíí bilááh áníłtéél .
18:11:010:0	Diyin God niiłtsoodgo yah anííłt'e'go naa nídóot'įįłjį' aníílóozgoháishą' bidínóołtł'ah ?
18:11:011:0	Jó , Diyin God éí diné t'áadoo biniyéhígóó nidaakaii yééhósin ; doo ákwii é'ét'éii ałdó' yiyiiłtséehgo yiníł'į́ . Da' éísh doo yaa nitsíkees da doo ?
18:11:012:0	Télii ałchinii biyázhí doo át'íínígóó diné nilį́įgo yichíihgo doo bohónéedzą́ą da ; éigi át'éego diné doo áhályáanii doo hodooyąął da .
18:11:013:0	Nijéí bee yá'át'éehgo tsíńdííníkéezgoáádóó Diyin God bich'į'go dah díílnihgo
18:11:014:0	doo ákwii ádaat'éii nii' hólǫ́ǫ́ ládą́ą́' , éí doo deeghánígóó áts'ádinít'aah , áádóó t'ááká doo yá'ádaashóonii nighangi hólóníi la' .
18:11:015:0	Áko lá índa t'áá aaníí t'áadoo haada níínílniní de ádííníił ni , áádóó doo ách'į' na'íínídlíígóó doo nił yée' da doo .
18:11:016:0	Háálá nich'į' nahwiiłnánígíí beidiyíínah ; tó íína'ígíí nahalingo doo béénílniih da doo .
18:11:017:0	Áádóó ałné'é'áahgo hool'inígíí bilááh át'éego adinídííngóó hinínáa doo ; bik'ee nił chahałheełígíí abínígo nee ha'íí'ánígíigi át'ée doo .
18:11:018:0	Áko nidziih doo , háálá ná chohoo'į́ hólǫ́ ; t'áá aaníí ánaagóó ha'ísíid doo índa hasih haz'ą́ągi háánílyį́įh doo .
18:11:019:0	Áádóó nínítį́įgo ła'da doo tsíńdidoołhis da , áádóó lą'í shich'oníníi doo daaníigo nídanookąąh doo .
18:11:020:0	Diné doo yá'ádaashóonii doo da'oo'į́į da dadooleeł , índa t'áá ha'át'éegoda ts'ídá doo yisdádahizhdookah da , áádóó diné ádazhdoodįįłígíí bee hoł chodahoo'į́ .
