18:42:001:1	Job ádaa hoolne' áádóó nábidi'niidzį́į́'
18:42:001:0	Ákohgo Job éí Bóhólníihii ánéidoo'niidgo ání ,
18:42:002:0	T'áá ádeeshłííł nínízinígíí t'áá ałtso áálíiłgo bíninil'ą́ągo shił bééhózinínda nitsáhákees doo nits'ąąh nazhnóoł'į́į́' át'ée da .
18:42:003:0	Háíyee' saad t'áadoo bił bééhóziní kót'éego níinii doo bééhózingóó áyoolííł ? Éí bąą t'áadoo le'é shá ayóó ánoolningo doo shił bééhózinígííáádóó doo bik'idiishtįįhígíí bee haasdzíí' lá .
18:42:004:0	Shá didííts'į́łígíí baa nánooshkąąhgo hadeesdzih ; nanídídéeshkił áádóó shił náhodíílnih .
18:42:005:0	T'óó jaa'eego naa hodiists'a'go hoolzhiizh , nidi k'ad shináá' bee ninísh'į́ ;
18:42:006:0	éí bąą t'óó shaa'ihgo índa łeezh dibahí áádóó łeeshch'iih ádééhésjáahgoDiyin God bich'į' łahgo át'éego tsíndíkééz .
18:42:007:0	Kót'éego Bóhólníihii éí Job yich'į' hahaasdzíí'dóó bik'ijį' Bóhólníihii éí Tííman kin haal'áádóó diné Élifaz wolyéii ííłní , Ni índa nik'is nidilt'éego doo ákót'éégóó shá hadahisoohdzí'ígíí biniinaa t'óó báhádzidgo shibee atí'él'íinii bee nihich'į' bił tsííkééz , háálá shá naal'a'í Job éí t'áá ákogi át'éego shá hahasdzíi'gi át'éego t'áadoo shá hadasoohdzíi' da .
18:42:008:0	Éí bąą dóola tsosts'idgo índa deenásts'aa' tsosts'idgo shá naal'a'í Job sidáhígóó dadínóohyoł ; áadi shich'į' didlidgo nááhániihii ádá náádahidoołnih , áádóó shá naal'a'í Job éí nihá sodidoolzįįłgo bisodizin dínéesįįł , áko shich'į' doo ákǫ́ǫ́ ádaot'įįdii biniinaa doo atínihideeshłíił da . Jó , doo ákót'éégóó shá hadahisoohdzíí' , nidi shá naal'a'í Job éí t'áá ákogi át'éego shá hahaasdzíí' .
18:42:002:1	Job t'áá ałtsojį' hadaałt'é ánábi'diilyaa
18:42:009:0	Áko Tííman kin haal'áádóó diné Élifaz wolyéii áádóó Shúwah dine'é Bíldad wolyéii índa Néíyama hoolyéédę́ę́' diné Zófar wolyéii dah diikaigo Bóhólníihii ábidííniidígi ádaadzaa ; áadi Bóhólníihii éí Job bisodizin yá yidiizts'ą́ą́' .
18:42:010:0	Áko Job bik'isóó danilíinii yá sodoolzingo Bóhólníihii hadaałt'é ánáhoodlaa áádóó t'áá ałtsoní yee hak'ináádzísdli' ; áłtséédą́ą́' ajit'į́į́ nít'éé' yę́ę biláahgo naakidi ahą́ą́h nániidlá bíighahgo ajit'į́įgo áhoolaa .
18:42:011:0	Áko hánaaíké áádóó hatsilíké áádóó halahkéí danilíinii índa t'ah doo hąąh dahoo'aah yę́ędą́ą́' hwéédahósinii éí t'áá ałtso haa haaskaigo haghan góne' hoł da'ííyą́ą́' , áádóó Bóhólníihii bíniik'ehgo doo ákǫ́ǫ́ áho'dool'įįdii biniinaa hak'édí daazlį́į́' , áádóó hada'aho'ayoosne' , áádóó t'ááłá'í nítínígo béeso índa yoostsah óola bee ályaii haa dayiiznil .
18:42:012:0	Áádóó Job ániid naagháádą́ą́' Bóhólníihii bik'ijidlíí nít'éé' yę́ę bilááh át'éego náás silį́į'di Bóhólníihii bik'ináádzísdli' : dį́į́'tsáadahdi mííl dibé há nanilkaad nít'éé' , ghą́ą́'ask'idii éí hastą́ądi mííl nít'éé' , béégashii ahąąh naazį́įgo bee nidahwiildlaadii éí t'ááłáhídi mííl índa téliitsa'ii éí t'ááłáhídi mííl .
18:42:013:0	Áádóó biye'ké tsosts'id índa bitsi'ké táá' nááhásdlį́į́' .
18:42:014:0	Bitsi' átséhígíí Jiimáíma yee yiyíízhi' , naaki góne'ígíí éí Kezáíya yee yiyíízhi' áádóó táá' góne'ígíí éí Kéren-hápak yee yiyíízhi' .
18:42:015:0	Áko éí kéyah t'áá náhwiist'ą́ą́ nít'éé' bikáá'góó Job bitsi'ké ayóó ádanóolninígi át'éego t'áadoo asdzání ła' ayóó ánáádanóolniní da , áko hazhé'é éí hánaaíké kéédahat'į́į́góó bikédaayahígíí łahjį' hwíí' dadooleeł biniyé há da'deezoh .
18:42:016:0	Áádóó bik'ijį' Job t'ááłáhídi neeznádiindóó ba'aan dízdiin binínáánááhai , áko haye' danilíinii dadziiłtsą́ áádóó hanálíké ałdó' dadziiłtsą́ ; t'áá ákót'éego dį́įdi ahą́ą́h ná'ííchíinii dadziiłtsą́ .
18:42:017:0	Áádóó Job t'áá íiyisí haastihgo daaztsą́ .
