18:7:001:1	Job éí Diyin God yich'į' saad hółǫ́ǫgo yáłti'
18:7:001:0	Nihokáa'gi dine'ésh doo naalnishgo bee bá haz'ą́ą da ? Bíyoołkáłígíísh ałdó' doo adeenáago naalnishígi át'ée da ?
18:7:002:0	Naalte' nilíinii chaha'oh t'áá íiyisí yídin nilínígi át'éegoáádóó adeenáago naalnishí bich'į' nidoolyéełii nayólíhígíí nahalingo ,
18:7:003:0	haa shį́į́ nízádígóó t'áadoo dabiniyéhíii shaa deet'ą́índa ti'hooshníihgo niyiiłkahígíí ałdó' shaa deet'ą́ .
18:7:004:0	Nishtéehgo , Hahgo lá nídideeshnah lá , dishníi łeh , nidi nízaadgóó iiłkáahgo hááhgóó shį́į́ ła' ałyóiijį' náheeshghałgo haiłkááh .
18:7:005:0	Éé' dziztį́ nahalingo shits'íís éí ch'osh bik'é'ésxoł áádóó łeezh dibahí bee dáátł'is ; shikáá' niná'ákǫs nidi t'áá ákǫ́ǫ́ náánáshch'ozh łeh .
18:7:006:0	Atł'ohí atł'óogo bee adzooí tsxį́įłgo choyooł'ínígíí nahalingo shíyoołkááł , áko t'áá ákwíí jį́ t'áadoo bee ił chohoo'ínígóó i'ii'aah .
18:7:007:0	Jó , béédaałniih , t'ááłáhídi ha'oodzolígi áníłtsogo hinishná ; yá'át'éehii ts'ídá doo néideestséeł da .
18:7:008:0	Shizhníł'íinii doo nááshiizhdoołtséeł da ; t'áá dashinół'į́įgo doo shééhodoozįįł da .
18:7:009:0	K'os ádįįhígi át'éegodiné yóó'ábi'diilyaadę́ę́' doo háádoodáał da .
18:7:010:0	Bighanjį' doo yah anídoodáał da , áádóó kééhat'ínígi baa dayoonah .
18:7:011:0	Éí bąą hadeesdzihígíí doo bich'į' baa nishchį' da doo ; t'áá íiyisí shich'į' nahwii'nánígíí biyi'dóó hahideesdzih ; shii' sizíinii bił niiłch'iihgo saad honishłǫ́ǫgo hahideesdzih .
18:7:012:0	Tónteel nishłį́įgo , doodaii' tónteel bii'góó łóó' ayóó áníldíilii nishłį́įgoóshhashisíid dooleełii nináníłtééh ?
18:7:013:0	Shiyaateeł lą́ą bikáá'góó hoolzhólígi dínéeshtéeł ni , doodaii' shibik'i dah antéhí bikáá'góó hoolzhólígi shił hodínóok'eeł ni , dííniidgo
18:7:014:0	bik'ee nídideeshgąshii baa nashiyíseeł , índa shik'iidoolchíiłii shił át'į́įgo ánáshiinil'įįh .
18:7:015:0	T'óó dashi'diidlo'go dadeestsaałjígo nidideesh'ááł ; iiná biláahgo aniné nisin .
18:7:016:0	Hinishnánígíí jooshłxá , doo hool'áágóó hinishnáa da doo , t'áadoo shaa nánít'íní ; t'áadoo biniyéhígóó yee' shíyoołkááł .
18:7:017:0	Dinéshą' ha'át'íí át'éego ayóó át'éii nilį́įgo íínísináádóó baa nitsíníkees
18:7:018:0	áádóó t'áá ákwíí ábíní baa ninánítaahínda t'óó náhodi'naahgo bee bééhózin dooígíí bee naniłkaah ?
18:7:019:0	Haa nízáágóoshą' t'áadoo shits'ą́ąjį' hanighaałí shiníníł'į́į doo , índa shizhéé' iishneeh biná t'áadoo shaa nánít'íní doo ?
18:7:020:0	Diné haisíidii nílíinii , ádił asésiihgo haash nishłééh ? Ha'át'íísh biniyé shííníłt'óoh dooleełgo áshiinilaa , áko t'áá shí ádá hééł nísísdlį́į́' ?
18:7:021:0	Ha'át'éegoshą' bee haz'áanii k'éhééshtíihii doo shá k'éé'íłchǫǫh da , índa ha'át'éegoshą' doo ákwii áát'įįdii doo shá nahjį' kóníléeh da ? K'ad yóó'áshi'diilyaago łeeyi' sétį́į doo , áko abínígo há shidíní'į́į' doo , nidi áníshdin doo .
