18:8:001:1	Bíldad éí , Diyin God áníinii doo haada yit'ée da , ní
18:8:001:0	Áko Shúwah dine'é Bíldad wolyéii ánááhodoo'niidgo ání ,
18:8:002:0	Haa nízáágóoshą' kót'éego yááłtih doo ? Haa nízáágóoshą' ayóó át'éego níyol nahalingo yáníłti' ?
18:8:003:0	Da' Diyin God yee nihodiiz'áaniísh łahgo át'éego ánáyoodlííł ? Da' Aláahgo Ayóó'ábóodziilii doo haada yit'éiísh łahgo át'éego ánáyoodlííł ?
18:8:004:0	Na'áłchíní éí Diyin God yich'į' ádił da'asiihgobee haz'áanii k'ídeizti'go biniinaa yóó'ahodíí'ą́ .
18:8:005:0	Diyin God hánít'į́įgoáádóó Aláahgo Ayóó'ábóodziilii néinikąąhgo
18:8:006:0	nichǫ́'ígíí nii' ádingo índa t'áadoo bee nik'íhót'ahígóó t'áá aaníí naa ákodínóozįįłáádóó t'áá ákogi ánít'į́įgo kééhót'į́į dooleełgi naa hodidoo'ááł .
18:8:007:0	Áádóó t'óó dah adinilá yę́ędą́ą́' áłch'į́į́dí nít'éé' nidi , t'áá íiyisí bidziilgo dah ííléeł dooleeł .
18:8:008:0	Nánooshkąąh , hoolzhiizhdę́ę́' da'ahílchíihii bína'ídíłkid , áko dabizhé'é yę́ę yídahooł'ą́'ígíí baa nitsíníkees .
18:8:009:0	( Jó , adą́ą́dą́ą́' índa dahosiidlį́į́' nahalingo t'áadoo nihił béédahóziní da , háálá nihokáa'gi nihíyoołkáłígíí éí chaha'oh ahildóóh nahalin . )
18:8:010:0	Yik'ida'diitánígíí yee yádaałti'gonidaninitingo yee nił dahalne' doo .
18:8:011:0	T'áá tó ádingiísh teeł nidanise' łeh ? Tó ádingiísh lók'aa' nidanit'ą' łeh ?
18:8:012:0	T'ah doo dahagééshgóó danéesée nidi , ch'il náánáła' nidanise'ígíí t'áá yítséedi daniiłnah .
18:8:013:0	Diyin God yaa dayoonahígíí t'áá ałtso ákót'éego bá dahonít'i' , áko Diyin God doo yinízinii ił chohoo'į́ bee ádoodįįł .
18:8:014:0	Bee bił chohoo'íinii k'ídla' . Na'ashjé'ii bitł'óól k'ídla'ígi át'įįh .
18:8:015:0	Bikin yíniitééh nidi bikin naa anika' ; hanáá'átł'į́į́h nidi doo bee nááhodi'naah da .
18:8:016:0	Shą́ą́'góó nooséełgoáádóó bits'á iitł'ohígíí bidá'ák'ehgóó tanoosééh .
18:8:017:0	Behétł'óól éí tsé ałk'i yadadiitł'ingóó tanoosééh , áádóó tsétahgi kééhat'į́į łeh .
18:8:018:0	Éí bikéyahdóó nahjį' kóbi'diilyaago , Éí kéyah doo shídíínít'i'góó ts'ídá t'áadoo nééhosésįįd da , hałní nahalin doo .
18:8:019:0	Jó , kót'éego éí bił hózhǫ́ǫgo yigááł nít'éé' , nidi łeezh bits'ą́ą́dóó náánáła' danéeséeh doo .
18:8:020:0	Jó , diné t'áadoo bee bik'íhót'ahígóó naagháii éí Diyin God doo yóó'abididoo'áał da , índa doo yá'áshónígi ádaat'ínígíí Diyin God ts'ídá doo háká adoolwoł da .
18:8:021:0	T'áá íiyisí nihoyíníihgoínda yáníłti'go nił nihoozhǫǫhgo áńdoolííł .
18:8:022:0	Áádóó nik'ee dazhdiniihii éí baa yáhásinii daha'ée' doo , índa diné doo yá'áshóonii biníbaal doo náánást'ą́ą da doo .
