18:3:001:1	Job bi'dizhchínígíí yąąh bíni'
18:3:001:0	Kódzaadóó bik'ijį' Job bi'dizhchínígíí yiyéédzíí' .
18:3:002:0	Áádóó Job ádííniid ,
18:3:003:0	Háni' jį́ biyi' shi'dizhchíinii bił yóó'ahaghááh ; éí bitł'éé' , Diné ła' bó'ootsą́ , ha'nínígíí doo bééhániih da doo .
18:3:004:0	Éí jínígíí háni' bił chahałheeł le' ; éí wódahdę́ę́' Diyin God yaa ákonoozįįh lágo , bik'i doodlaad lágo ;
18:3:005:0	Jį́ biyi' shi'dizhchínígíí háni'chahałheeł índa anoonééł bichaha'oh biishį́į́h ; háni' k'os bik'iilzhood ; háni' chahałheeł bik'ee ił yée'ii yileeh .
18:3:006:0	Éí bitł'éé' háni' chahałheeł bik'iildóóh ; éí nináháhááhgóó yoołkáałii bitahgi bił óolta' lágoínda náhidizíídgóó bitah oolts'ííd lágo .
18:3:007:0	Jó , éí bitł'éé' doo bí'ootsą́ą da le' ; éí bitł'éédą́ą́' t'áadoo diné bił dahózhóní le' .
18:3:008:0	Liiváíyathan yił hadahodínóołchał yiniyé hasht'e'ádadiilyaiiéí jínígíí hóyée'go yá hadaadziih .
18:3:009:0	K'adę́ę haiłkaahgo sǫ' haakahígíí bíni' bi ł chahoołheeł ; háni' hwiidool'įįłígíí nayólí , nidi t'ááká bee hool'įįh yíila' , áádóó háni' doo bik'ijį' ha'doo'áał da ,
18:3:010:0	háálá shimá biishch'id t'áadoo déidiiłtsood daínda shich'į' nahwii'náanii t'áadoo shits'ąą néidees'į́į' da .
18:3:011:0	Ha'át'éegoshą' t' óó shi'dizhchį́ yę́ędą́ą́' t'áadoo dasétsą́ą da ? Ha'át'éegoshą' t'óó háítłizh yę́ędą́ą́' shii' sizíinii t'áadoo shii' haalwod da ?
18:3:012:0	Ha'át'íishą' biniyé agod bita'dę́ę́' hashi'dooltį́ ? Índa ha'át'íishą' biniyé abe' yíłt'óód ?
18:3:013:0	Dasétsą́ągo la' yóó'áshi'diilyaago doo íits'a'í da doo nít'éé' ; dasétsą́ą́jígo la' hanáshyį́įh doo nít'éé' ;
18:3:014:0	nihokáá'góó aláahgo naat'áanii danilį́ yę́ęáádóó diné na'ak'íyádaałti' yę́ę éí kin hadaas'áago áńdahoodlaa yę́ę ,
18:3:015:0	doodaii' naat'áanii danilíinii óola bee dahólóonii dabighan góne'béésh łigaii hadeideesbįįd yę́ę la' bił háádaashyį́įh doo nít'éé' .
18:3:016:0	Éí doodaii' awéé' t'óó atsą́ háá'éelgo yóó'ályaiit'áadoo deezghalii nahonishłin doo nít'éé' .
18:3:017:0	Áadi diné doo yá'ádaashóonii yę́ę doo ach'į' nidahwiiłnáa da ; áadi diné ch'ééh dadeeskaii yę́ę t'óó háádaalyį́į́h .
18:3:018:0	Áadi lą́ą awáalyaaí danilíinii bide ádahósin yę́ędoo nídeididoots'į́į́łgóó t'óó ałk'i dah neisłá .
18:3:019:0	Diné ayáhígo ádaat'é yę́ę áádóó ayóó ádaat'é yę́ę áadi łeeyi' shijéé' , áádóó naalte' jílíinii hananit'a'í doo hwee ádíhólníih da .
18:3:020:0	Ha'át'íí lá biniyé diné ti'hooníihii bá adinídíingo ályaa láínda ha'át'íí lá biniyé diné bił niiłch'iihii iiná baa deet'ą́ą́ lá ?
18:3:021:0	Éí dadzótsaah laanaa nízin , nidi doo daotsaah át'ée da índa yódí yinées'į́į'go yíka'ageedígíí bilááh át'éego aniné hát'į́ ;
18:3:022:0	éí t'áá íiyisí bił nidahoozhǫǫhgo yóó'ádabi'diilyaago bił dahózhǫ́ǫ doo .
18:3:023:0	Diné deeyáágóó bił ch'aa óolzinii Diyin God biná'ást'i'ii ha'át'íí biniyé bik'i diidíín ?
18:3:024:0	Yínííł nishłį́įgo adeeshį́į́ł yę́ę t'óó atínídinishdleeh , áádóó tó ch'ínílį́ nahalingo dinish'ní .
18:3:025:0	Háálá ayóó át'éego bik'ee shił yée'ii shik'i hoole'áádóó binásdzidígíí shich'į' áánííł .
18:3:026:0	Doo shił hasht'ehodít'ée da áádóó doo hanáshyį́įh daínda doo dííníshyéel da , nidi shich'į' náhodii'nááh .
