18:14:001:1	Job éí iiná áłts'íísígo yaa nitsíkees
18:14:001:0	Diné éí asdzání bishchínígíí éí ne'ełdįįhjį' bich'į' nahwii'náa łeh , índa doo lą'í biiłkaah da .
18:14:002:0	Ch'ilátah hózhóón nahalingo jidínísééh áádóó jiniiłnah . Chaha'oh tsxį́įłgo eeldooígíí nahalingo hoł yóó'ahaghááh , áko doo náájii'náa da łeh .
18:14:003:0	Diné ákót'éiísh níníł'į́įgoaa dahwiinít'į́įgi shaa nídíít'įįł ?
18:14:004:0	Háísh ha'át'íhída t'óó baa'ihii bits'ą́ą́dóó yá'át'éehgo ánéidoodlííł ? T'áadoo yíneel'ání da .
18:14:005:0	Ákwíí hwiidoołkáłígíí t'áá íídą́ą́' bee nihoot'ą́ągoákwíí hwee nídidooziłígíí bee nihwííní'ą́ ; éí bilááhgóó ts'ídá doo jiináa da dooleełgo bee hosíníł'ą́ .
18:14:006:0	Adeenáago naalnishgo bee e'e'áhígi át'éegobił yee hwiih silį́į'jį' bíni' hanályį́į́h .
18:14:007:0	Tsin k'élne' nidi hanáádínóoséełgo bá chohoo'į́ , áko hanáádínóoséłígíí doo dínóotł'ahgóó nooséeł doo .
18:14:008:0	Azhą́ behétł'óól łeeyi'di hadaatih nidi , índa tsehégod íí'áii dííłdzid nidi ,
18:14:009:0	tó bił nehekaahgo néidootsoháádóó bits'áoz'a' náhodoodleełgo dootł'izhgo náánooséeł doo .
18:14:010:0	Nidi diné éí daaztsą́ągo yóó'ábi'diil'įįh , áádóó áadi hodi'niiłdzi' . T'áá aaníí diné haayołgo háadi éí nááhódlǫ́ǫ łeh ?
18:14:011:0	Tónteel bits'ą́ą́dóó tó yót'áahjį' ahwiilehígi át'éegoínda tooh ádįįhgo náháltsihígíigi át'éego
18:14:012:0	t'áá ákót'éego yádiłhił ásdįįdjį'diné noonéełii doo náádidoojah da , índa doo ch'éédabidoosiłí da .
18:14:013:0	Łeeh ho'dii'níiłdi náshidóół'į́į́ł laanaa ; t'óó báhádzidgo bee atí'éł'íinii eeldojį' náshidóół'į́į́ł laanaa ; shá nihodíí'áałgo shéédíílnih laanaa !
18:14:014:0	Diné daaztsą́ągo áádóósh nááhí'náa doo ? Łahgo áshidi'doolníłígíí biba' ánísht'éego naashnishgo shíyoołkáał doo .
18:14:015:0	Shíká ádííníniidgo nich'į' áńdideesh'niił ; binishínílnishii bídin nílį́į doo .
18:14:016:0	K'ad nihidishtaałígíí baa híínídáagoádił ni'iisíhígíísh doo hanisíid da ?
18:14:017:0	Bee haz'áanii héti'ii azis bii' dá'deestł'ǫ́ , áádóó doo ákwii áát'įįdii bidáń'da'díłkad .
18:14:018:0	Dził ałtso naa'iizhoshgo hodiilkǫǫhínda tsé éí nahjį' ahinika' .
18:14:019:0	Tó éí tsé nidayiisháásh ; t'áá íiyisí nahałtį́įhgo łeezh ayiił'eeł ; t'áá ákót'éego diné bee bił chohoo'ínígíí ááłdįįł .
18:14:020:0	Hool'áágóó diné bik'eh dídlį́ áádóó daniné , áko binii'jį' łahgo ánoolningo íinił'įįh , áádóó dahodiileeh .
18:14:021:0	Biye'ké ił nilíinii daaleeh , nidi doo hoł bééhózin da ; biye'ké éí a'ohgo ádabi'diil'įįh , nidi t'áadoo hoł bééhoozįįh da .
18:14:022:0	T'áá hó hats'ísígíí t'éiyá neezgaigo baa ákoznízin łeh , índa t'áá hó yínííł jílį́įgo ádaa atínízhdindleeh łeh .
