18:6:001:1	Job bik'isóó yich'ahóóshkeed
18:6:001:0	Áádóó Job ánááhodoo'niidgo ání ,
18:6:002:0	Bik'ee yínííł ánísht'éii áádóó shide áhoodzaii beedah ní'diidlohí bikáá' dahó'nííł laanaa !
18:6:003:0	Áadi lá índa tónteel bibąąhgóó séí yíl'áhígíí biláahgo áníłdáas doo ni ; díí lá biniinaa t'áá na'níle'dii hahásdzíi' ni .
18:6:004:0	Háálá t'áá ałtsogóó Aláahgo Ayóó'ábóodziilii ahishiiłkáahgo k'aa' shinídaaz'á ; k'aa' bits'ą́ą́dóó báhádzidgo agháanii shitah hólǫ́ ; Diyin God bits'ą́ą́dóó bik'eda'íyée'ii shik'ijį' yideest'i' .
18:6:005:0	Télii ał chiniísh ałchozhgo áníi łeh ? Béégashiísh ałchozhgo áníi łeh ?
18:6:006:0	Ch'iyáán doo haalniihiísh áshįįh t'áágééd doodį́į́ł ? Doodaii' ayęęzhii dzists'ilgo tó háánahígíísh halniih łeh ?
18:6:007:0	Ch'iyáán kódaat'éii doo nisxin da ; ch'iyáán kódaat'éii ná shiigha' .
18:6:008:0	Bídin nishłínígíí shee hóle' laanaa , índa Diyin God bííníshkeedígíí sheidó'ááł laanaa !
18:6:009:0	Diyin God bił hóshǫ́ǫgo t'óó shiyółhééł laanaa , áádóó k'ídólchíidgo áshółdįįh laanaa !
18:6:010:0	Kót'éego lą́ą atíshi'dil'ínígíí bii' shik'ihata'go t'áá íiyisí shił hózhǫ́ǫ dooleeł , háálá Diyin nilíinii bizaad t'ah doo bits'ą́ą́jí haasdziih da .
18:6:011:0	Ha'át'íishą' bee shidziilgo shił chohoo'į́į doo ? Haash yit'éego ni'deeshdįįł , áko t'áá náásgóó nááhinishnáa doo ?
18:6:012:0	Tsé dabidziilii nahalingoósh shidziil ? Da' shits'íísísh béésh łitsoii bee ályaa ?
18:6:013:0	Bee ádíká anídeeshwołiísh shii' ádin ? Hódzą́ t'áá át'é shits'á deet'ą́ .
18:6:014:0	Ła' hak'is atíbi'dil'į́įgo hoł bahojoobá'í doo nít'éé' , áko Aláahgo Ayóó'ábóodziilii dílzinii doo yóó'iididoo'áał da .
18:6:015:0	Nidi dabikoohgóó tó ch'ídadziisxaalígit'áá áko nídahaltsihígi át'éego shik'isóó danilíinii t'óó shinda'alo' ;
18:6:016:0	éí nahaz'ą́ą́góó tin bee deijį́į́' ; éí kódahoot'éégóó yas doo daat'į́į da ;
18:6:017:0	ch'ínáłdohgo ádaadįįh , t'áá íiyisí ch'ínáłdohgo háájí shį́į́ daaleeh .
18:6:018:0	Nidahoneeshtł'iizhgóó t'áá áajį' doo béédahoozįįh dago ádin łeh .
18:6:019:0	Tííma dine'é ch'aa deínéhígíí tó hádeidéez'į́į́' łeh ; Shííba dine'é ch'aa deínéhígíí tó yik'ídadookahígíí nidayólíigo nidantáa łeh .
18:6:020:0	Tó nidayólíhígi daakahgo tó ádingo bichohoo'į́ ádaadįįh , áádóó t'óó bił dahaada łeh .
18:6:021:0	Áko k'ad , éigi át'éego nihí shich'į' ákódaohdzaa ; bee atíshi'dil'ínígíí danół'į́į'go shéédaołdzid .
18:6:022:0	Ła' sha'nohłé , doodaii' , Woht'ínígíí ła' shá ninohłé , nihidishní haniih ?
18:6:023:0	Éí doodaii' , Ana'í nilíinii bílák'eedę́ę́' yisdáshółteeh , doodaii' , Diné shich'į' nidahwiiłnáanii bich'į' shik'é niná'nóhdlé , nihidishní haniih ?
18:6:024:0	Nidashinohtingo dííníshxéel dooleeł ; asésiihígíí shił ííshją́ą́ ádaahłéehgo bik'idideeshtį́į́ł .
18:6:025:0	Saad t'áá ákogi ádaat'éii ayóo dabidziil , nidi shighada'doht'áhígíí ha'át'íí ła'yidoolííł ?
18:6:026:0	Bik'e'íyée'ii bik'ee bąąh nahóókaadii bizaad níyolígi át'éegoniyájiiłtéhígíí hasht'éédadiilnííłísh danohsin ?
18:6:027:0	T'áá aaníí , áłchíní bizhé'é ádaadinii nidi nihíí' dadooleeł biniyé yááda'oołniih , índa nihik'is nilíinii nidi łídaohcháázh .
18:6:028:0	Éí bąą k'ad , nihił yá'ádaat'éehgo aadę́ę́' dashinół'į́ ; t'áá nihinii'jį' doo nihidínéesh'ah da .
18:6:029:0	Nánihooshkąąh , łahgo át'éego tsíńdadohkeesgo t'áadoo doo ákót'éégóó nida'ayohsíhí . T'áá aaníí łahgo át'éego tsíńdadohkeesgo t'ahdii yee' t'áá ákogi ánísht'é .
18:6:030:0	Doo ákǫ́ǫ́ yájíłti' daásh dashíínóhní ? Ch'iyáán yishłįhígi át'éego doo yá'ádaat'éehiísh doo baa ákoznízin da , dashíínóhní ?
