18:20:001:1	Zófar éí doo yá'ádaashóonii ádabidi'doolníłígíí yaa halne'
18:20:001:0	Ákohgo Néíyama hoolyéédę́ę́' Zófar wolyéii ánááhodoo'niidgo ání ,
18:20:002:0	Shintsíkees yíląądígíí biniinaatsį́įłgo nich'į' hááhideesdzih nisin .
18:20:003:0	Eii ádínínígíí yínísts'ą́ą'gobik'i'diitą́ągo bąąh shíni'go bąą nich'į' hááhideesdzih nisin .
18:20:004:0	Da' díísh doo nił bééhózin da ? Ałk'idą́ą́' nahasdzáán bikáa'gi diné niiltį́į́dóó wóshdę́ę́'
18:20:005:0	diné doo yá'áshóonii t'óó kónígháníjį' ak'idiyaa danilį́ , áádóó t'óó áhodil'íinii yee bił hózhónígíí t'óó deiltse' .
18:20:006:0	Azhą́ yádił hił yaa ninísą́ą nidi , azhą́ k'os yaa ninísą́ągo bitsiits'iin yee yéhé'náah nidi ,
18:20:007:0	t'áá hó hachaan nahalingo hool'áágóó ázhdoodįįł , diné dahoo'į́į́ nít'ée'ii , Háájí lá ííyá ? dahałníi dooleeł .
18:20:008:0	Ałtso nidziizyeel nahalingo yóó'ajoot'a' doo , áádóó t'áadoo bee hwénáhoodzį́'í da doo . T'áá aaníí , tł'ée'go ił áhoodzaaígi át'éego yóó'ahodí'nóolchééł .
18:20:009:0	Hoołtsáanii éí doo nááhwiidooltséeł da , índa kééhojit'į́į́ nít'é'ígi doo nááhoot'į́į da doo .
18:20:010:0	Ha'áłchíní éí diné baa dahojoobá'íígíí yił dahóshǫ́ǫ doo biniyébich'į' hanaalye'é ninádeidiyoodleeł .
18:20:011:0	Ániid na'adáhígi át'éego adiih áhát'į́į nidi , yóó'áhodi'doolnííł .
18:20:012:0	Azhą́ doo yá'áshóonii bizéé' neił'aałgo bił ayóó áhóolką́ą́' lá nidi , azhą́ bitsoo' biyaa góne' nínéidił'į́į́h lá nidi ,
18:20:013:0	azhą́ doo t'áá k'ad haidííł'aalgóót'áá bizéé' si'ą́ągo áyósin lá nidi ,
18:20:014:0	jííyą́'ígíí hatsą́ądi dadíík'ǫshgotł'iish báhádzidii bik'aasda' bik'e'ashch'íi'go bik'e'íyée'ii át'é .
18:20:015:0	At'į́ aníjiilnah yę́ę éí béézhdoolkoh ; Diyin God éí hagháidooził .
18:20:016:0	Tł'iish báhádzidii bik'aasda' hahizdoots'ǫs ; na'ashǫ́'ii báhádzidii bik'aasda' hodiyoołhééł .
18:20:017:0	Tooh danílį́įgo doo yizdoołtséeł da ; tsés'ná bitł'izh áádóó abe' neesk'įhgo bił danílį́įgo doo yizdoołtséeł da .
18:20:018:0	Bik'é nijishnishii ninázhdidoo'áałgo doo bee ákizhdoodlaał da ; hanaalye'é hwee hazlį́į'ii ninázhdoodléełgot'áadoo baa hoł ninááhoozhǫǫhí da doo .
18:20:019:0	Háálá diné badahojoobá'íígíí bide áhojósin nít'éé' áádóó yóó'azhdíí'ą́ ; kin t'áadoo ájiilaii t'áá na'níle'dii diné bighazhdeet'ą́ .
18:20:020:0	T'áá aaníí doo hwiih jileehígíí biniinaabídin jílíinii doo ła' ni'áádziihsįįh da .
18:20:021:0	Ałtso ayį́įhgo doo ła' ch'íníłnah da ; éí bąą dah ajooléełii doo didoonaał da .
18:20:022:0	Azhą́ adzist'įįdgo t'áadoo bídin náájídlínígóó jideeyáa nidi ts'ídá nahontł'aaígi át'éego hóyoołáałgo ahwíidoołkááł , áádóó bee ach'į' nidahwii'náanii t'áá ałtso hak'i hwiidooleeł .
18:20:023:0	K'adę́ę hwiih jileehgoDiyin God t'áá bí t'óó báhádzidgo yee atí'éł'íinii yee atíhodoolííłáádóó t'ah ajiyą́ągo hak'ijį' naałtin nahalingo íidoolííł .
18:20:024:0	Béésh bee ana'al'íinii bik'ee dashdínóochééł , nidi ałtį́į́' béésh łitsoii bee ályaii bee hagházdoolkah .
18:20:025:0	K'aa' t'áá nááseego hayi'dę́ę́' haatą́ ; t'áá aaníí k'aabéésh hatł'izh bii'dę́ę'go haatą́ ; bi'diskahígíí bił niníyéé' .
18:20:026:0	Chahałheełgi hayódí bá hasht'ehoolyaa ; kǫ' doo nánílzołii ahodidoołk'ą́ą́ł ; haníbaal góne' dadzidziihii adazhdidook'ą́ą́ł .
18:20:027:0	Doo ákǫ́ǫ́ ájíít'įįdii yá'ąąshdę́ę́' hats'ą́ą́' báádi'dooltsos ; nahasdzáán hach'į' nídidoodááł .
18:20:028:0	Haghandóó danilíinii k'ee'ąą dínéest'áanii dah nídahidiildéeh doo , índa Diyin God t'óó báhádzidgo atí'doolííł bijį́įdi hanaalye'é doo bééhodoozįįł da .
18:20:029:0	Kót'éego diné doo yá'ájíshóonii Diyin God hach'į' niidoolééł , áádóó Diyin God díí yee há nihodiní'ą́ .
