18:10:001:1	Job bił áhoot'éhígíí yik'ee chanahałe'
18:10:001:0	Shii' sizíinii she'iina' yijoosłxáá' ; t'áá shí ádaa saad honishłónígíí doo t'áá áásésįįd da ; shii' sizíinii bił niiłch'iihgo hahideesdzih .
18:10:002:0	Diyin God ábidideeshniił , Doo shá nihodíí'áał da . Ha'át'íí biniyé doo ákǫ́ǫ́ shik'ijį' ánít'é ? Bee shił hólne' .
18:10:003:0	Diné bide áhwíínísingo áádóó binishínílnishígíí ni'į́įgoínda diné doo yá'ádaashóonii yindaha'áii bich'ijí nílį́įgoósh nił yá'át'ééh ?
18:10:004:0	Ats'íís k'ehgoósh nináá' hólǫ́ ? Doodaii' diné oo'ínígi át'éegoósh ííní'į́ ?
18:10:005:0	Diné bíyoołkáłígi át'éegoósh níyoołkááł ? Índa diné bee nináháháhígi át'éegoósh nee nináháhááh ;
18:10:006:0	biniinaa doo ákwii áát'įįdii naniłkaaháádóó ádił asésiihígíí hazhó'ó hanisííd ?
18:10:007:0	Ákondi diné doo yá'áshóonii doo nishłį́į́góó nił bééhózináádóó doo nigha'ódléłí da .
18:10:008:0	T'áá sézį́į́ nít'éé' shits'áoz'a' dahólǫ́ǫgo áshiinilaa , nidi tíhodideeshłííł shííní'ní .
18:10:009:0	Nánooshkąąh , hashtł'ish bee áshiinilaaígíí béénílnííh . Da' ákoósh łeezh dibahí ánáshídléeh doo ?
18:10:010:0	Abe' yajiiziid nahalingo yashiiniziid , áádóó géeso ályaaígi át'éego áshiinilaa .
18:10:011:0	Shikágí shits'íís bik'i nííníłkaad , áádóó ts'in bee ahą́ą́h dashidínínilgo ats'id bee ahídadiniłkad .
18:10:012:0	Hinishnáago índa shichoha'níigo shaa nitsíníkeesgo áshíínísin nít'éé' ; shiníłch'i baa áhólyánígíí bee kónízahgóó hinishná .
18:10:013:0	Nidi díí nijéí bii' nídadííníł'į́į́' , áko díí biniyé ánít'íinii shił bééhózin ;
18:10:014:0	éí ádił ni'iisíihgo shaa ákonínízin , áádóó doo ákwii áát'įįdii doo shá nahjį' kwáálíił da .
18:10:015:0	Doo yá'áshóonii nishłį́įgo hatihíláane'go shá haz'ą́ ; t'áá ákogi ánísht'éego doo de dah dínéesht'áał da . Atíshi'dool'įįdígíí bąą t'óó shił haada ; éí bąą ti'hoosh'níihgo sídáhígíí níníł'į́ .
18:10:016:0	Jó , shide ádzaago nááshdóítsoh bitsiijį' daditł'ooii naalzheeh nahalingo shíkanítááádóó t'óó bida'ayóii bee shik'ijį' nanilnish .
18:10:017:0	Ná dahalne'í shik'ijį' danilį́įgo ánáádlííł , áádóó shik'ijį' nánáháchįįhígíí t'óó hoonaał ; ana'í ániidiígíí shich'į' ałnááhíí'nił .
18:10:018:0	Ha'át'íishą' biniyé shi'dizhchį́ ? T'áadoo ła'da shiiłtséhé t'óó dasétsą́ą laanaa nisin .
18:10:019:0	T'áadoo hosélį́į́'góó t'óó áníshdin doo nít'éé' ; t'óó shi'dizhchį́į́dóó łeshi'dooltį́į doo nít'éé' .
18:10:020:0	Doo lą'í shiidoołkáał da ; t'áadoo yee' shaa nánít'íní , áko ha'íídéeshniiłgo háádeeshyįh nisin ;
18:10:021:0	t'ah doo dah nídiishdááhdą́ą́' háádeeshyįh ; áadi índa doo nídeeshdááłgóó kéyah chahałheeł bii'góó áádóó anoonééł chaha'oh bii'góó deeshłeeł .
18:10:022:0	Éí kéyah hodiłhiłii ts'ídá hodiłhiłgo hazhóodii át'é , áádóó anoonééł chaha'oh bii' t'áá ałtsoní ił ałtaa nás'nil , índa áadi adinídíinii chahałheełígíigi át'é .
