18:17:001:0	Áá hosist'įįd ; doo nááshiidoolkáałjį' baa hoolzhiizh ; yóó'áshidi'doolníiłgi shá hasht'ehoolyaa .
18:17:002:0	Shá nidahałt'i'iísh doo shináhookah da , índa shá nídahałchįįhiísh doo áłahjį' yish'į́į da ?
18:17:003:0	Bee shá nihwííní'ánígíí shá bi'ílééh . Háísh éí shá ąąh ni'ídidooltééł ?
18:17:004:0	Ak'ida'didootį́įłii bintsíkees bidáda'dííníłkaal ; éí bąą t'áadoo ayóó át'éii danilį́įgo íínísiní .
18:17:005:0	Diné ła' bik'isóó yich'į' doo t'áá aaníígóó yáłti'ígíít'áá éí diné ba'áłchíní doo da'oo'į́į da dooleeł .
18:17:006:0	Diné bitahgóó baa niyá'áho'diti'ii nishłį́įgo áshiilaa ; diné shik'ijį' dadizhah .
18:17:007:0	Yínííł nishłínígíí bik'ee doo eesh'į́į da yishłeeł ; chaha'oh iildóhígi át'éego t'áá íiyisí shííts'iiní .
18:17:008:0	Diné t'áá ákogi ádaaníiłii díí bik'ee t'óó bił adahayóí , diné t'áadoo át'éhígóó naagháii éí Diyin God doo deidósinii yich'į' ádá náhálchįįh .
18:17:009:0	Diné t'áá ákogi át'éii yik'ehgo yigáałii t'áá ákót'éego t'éí naaghá , áádóó diné yá'át'éehgo hináanii bidziil yileełgo bidziil í'diil'įįh .
18:17:010:0	Haa'íyee' aadę́ę́' shich'į' nináánóhkááh ; nihitahgi diné hóyáanii doo ła' bik'ésháah da .
18:17:011:0	K'adę́ę ashííłkaah ; biniyé ásht'íinii t'áá éí bíká shił chohoo'íiniit'áadoo nídaasdlį́'í da .
18:17:012:0	Tł'éé' éí jį́ , deiłní , chahałheeł hólónígíí biniinaa adinídínígíí doo sih da .
18:17:013:0	Łeeh shidi'dooltéełgi biba' ánísht'éegoáadi chahałheełgi ashhosh doo .
18:17:014:0	Yóó'áshidi'doolníiłgi haz'ánígíí ábidishní , Shizhé'é nílį́ , áádóó ch'osh ábidishní , Shimá áádóó shilah nohłį́ .
18:17:015:0	Háadishą' shá chohoo'į́ ? Jó , shá chohoo'į́įgo háishą' yoo'į́į doo ?
18:17:016:0	Łeeh hwii'nííłgóó sélį́į'go t'áásh shił chohoo'į́įgoákǫ́ǫ́ hanáshyį́įh doo .
