18:12:001:1	Job éí Diyin God yee bidziilii áádóó bee hódzą́ hólǫ́ , ní
18:12:001:0	Áko Job ánááhodoo'niidgo ání ,
18:12:002:0	T'áá aaníí nihí t'éiyá diné danohłį́ , índa dasinoonáago hódzą́ t'áá nihił ádoodįįł .
18:12:003:0	T'áá nihígi át'éego ak'idi'yiishtįįh ; doo nihi'ohgo ánísht'ée da . T'áá aaníí , háishą' díigi ádaat'éhígíí doo bił bééhózin da ?
18:12:004:0	Diné yił kééhat'íinii t'óó bá nahałt'i'ii nahonish łingoDiyin God bich'į' sonídíszįįhgo shich'į' éénáhoosįįh ; diné t'áá ákwii át'éii , éí t'áá ákóne' át'éii yee' nilį́įgo , éí t'óó baa oodloh .
18:12:005:0	Doo bide ádahoot'éhígíí éí ach'į' nahwii'ná dei'į́įgot'áá chą́ą́h dadigeehgo deíkáahii t'éí bich'į' ákódahoonííł danízin .
18:12:006:0	Diné aghada'ii'níiłii biníbaal hazhó'ó hasht'e'sinil ; Diyin God yá nídahałchįįhii t'áadoo beinít'ínígóó kéédahat'į́ ; éí bílák'ee naazláii t'éí shidiyin át'é danízin .
18:12:007:0	Nidi nidaaldlooshii nideídółkid ; éí nidanihinitin doo ; tsídii wódahgo naaldeehii nideídółkid ; éí nihił dahodoolnih .
18:12:008:0	Éí doodaii' nahasdzáán nideídółkid ; éí nanihinitin doo , áádóó tónteel bii' łóó' naaldeehígíí nihił dahodoolnih .
18:12:009:0	Díí bitaa'iisíłta'ígíí t'áá ałtso háidíígíishą'Bóhólníihii ádayiilaago doo hoł bééhózin da ?
18:12:010:0	Hiná nináneel'ą́ąjį' yee hináanii Bóhólníihii bílák'ee silá , índa nihokáá' dine'é t'áá ałtso yee nídídzihii dah yoolééł .
18:12:011:0	Ch'iyáán jilįhígi át'éego ajaa' bee saad dzółts'ą́'ígíí bééhodzoosįįh .
18:12:012:0	Diné náás daazlį́į'ii dahóyą́ , áádóó diné lą'í dabiiskáanii lą'ígóó ak'idadi'yiitįįh .
18:12:013:0	Diyin God t'áá íiyisí hóyą́ , índa ayóó ábóodziil ; éí na'ak'íyáłti' áádóó t'áá íiyisí ak'idi'yiitįįh .
18:12:014:0	Jó , diné ła' hałchǫǫhgo t'áadoo háázhdódle' át'éégóó áyiił'įįh ; diné yidá'díłkałgo t'áadoo bee ąą ánáolne'ígóó áyiił'įįh .
18:12:015:0	Tó t'ą́ą́' kóyósingo kéyah náltsih ; tó yidichi'go kéyah bikáá'góó tó nídaadląąh .
18:12:016:0	Bí t'éí ayóó ábóodziil , áádóó t'áá íiyisí hóyą́ ; diné bi'deesdlo'ii áádóó diné bina'adlo'ii t'áá áłah Diyin God yíí' nilį́ .
18:12:017:0	Diné na'ak'íyádaałti'ii t'áá ákohígo ayii'éésh ; ánihwii'aahii doo dahóyą́ą́góó ádeile' .
18:12:018:0	Aláahgo naat'áanii danilíinii yee ade ádahósinii k'ééda'i'a' , áádóó biníí' gónaa yinída'ast'i' .
18:12:019:0	Náá'iiłniihii danilíinii bąąh da'éébį́į'go ayii'éésh ; diné ayóó ádaat'éii danilínígíí nahjį' hááyii'nííł .
18:12:020:0	Diné baa dahodzódlíii doo yádaałti'góó ádeile' ; hadaastihii yik'idadi'yiitįįhii yił ch'aa ádeile' .
18:12:021:0	Aghádahideezíinii t'óó yeidloh ; ayóó ádaat'éii dabidziilii doo dabidziilgóó ádeile' .
18:12:022:0	Chahałheełdę́ę́' t'áá íiyisí doo daat'íinii ííshją́ą́ áyoolííł , áádóó hoot'į́įjį' anoonééł bichaha'oh yik'i di'yiiłdlaad .
18:12:023:0	Ał'ąą dine'é ayóó ádabóodziilgo ííł'į́ , áádóó atíyoolíiłgo áyoołdįįł ; ał'ąą dine'é ayóó ádaat'éego áyiił'įįh , áádóó doo dabidziilgóó ánáyoodlííł .
18:12:024:0	Nihokáá'góó aláahgo bídahólníihii bijéí yee yik'idadi'yiitįįhígíí yits'éidii'aahgohonoojíidi atiin ádindi tádadikáahgo áyoolííł .
18:12:025:0	Adinídíín t'áágééd chahałheełgóó nidadidza' ; diné oodlą́ą'go na'nit'iígíí nahalingo nida'nit'igo áyoolííł .
