18:36:001:1	Iiláíhu éí Diyin God yee ayóó át'éii yaa haniih
18:36:001:0	Áádóó Iiláíhu t'áá yááłtihgo ání ,
18:36:002:0	T'áá áłts'íísígo ha'íínílní ; łahgo nił ííshją́ą́ ánááháshdlééh , áko Diyin God bá saad bee hahideesdzihígíí t'ahdii ła' shee hólǫ́ .
18:36:003:0	Doo nádiinághánídę́ę́' shił bééhoozinígíí éí k'ad baa hodeeshnihgoÁshiilaii t'áá ákogi át'éii nilį́įgo ííshjání ádeeshłííł .
18:36:004:0	Háálá shizaad t'áá aaníí doo wooch'ííd ádaat'ée da ; t'áá ałtsojį' bił ééhózinii kǫ́ǫ́ nihił hólǫ́ .
18:36:005:0	Jó , Diyin God ayóó át'éii nilį́ , índa ła'da doo yi'į́į da ; bidziilii índa hódzą́ yee ayóó át'é .
18:36:006:0	Diné doo yá'ádaashóonii doo t'áá dahináago áyósin da , nidi diné badahojoobá'íii éí t'áá ákogi ádaat'éii yeidii'aah .
18:36:007:0	Doo áá hoot'įįhgóó diné t'áá ákogi ádaaníiłii yik'i déez'į́į́' ; aláahgo naat'áanii danilíinii bikáá'dóó nahat'áii yikáá' dah náhidinoobįįłiihool'áágóó yił dah naháaztą́ągo ayóó át'éii nidahaleeh .
18:36:008:0	Áádóó béésh da'ahólzha'íbee dah dabi'diistł'ǫ́ǫgoínda ach'į' nahwii'ná bitł'óólyiih hekáahgo
18:36:009:0	áadi índa baa nidajikaígíí áádóó bee haz'áanii k'ídajizti'ii bee ádaa daha'niihígíí yee hoł halne' .
18:36:010:0	Índa bínahodí'nóoltįįłii dadzíists'ą́ą'go áhooł'įįh , áádóó , Doo ákwii ádaot'ínígíí bits'áhóhkááh , yiłniih .
18:36:011:0	Bik'eh dahojíł'į́įgo áádóó bá nidajil'a'goyá'át'éehgo ahódeidoołkááł , áádóó hoł dahoneenigo ałtso hwee nídahidoohah .
18:36:012:0	Doo ak'eh dahojíł'į́į́góogo t'óó diltłish bee nidahodi'dootsiłáádóó t'áadoo hoł béédahózinígóó dazhdínóonééł .
18:36:013:0	Bijéí yee doo Diyin God yik'eh ádaat'éii éí t'óó báhádzidgo bee atí'oolnííł ade ádayooliił ; Diyin God atíbiił'įįhgo doo yich'į' sodadilzin da łeh .
18:36:014:0	T'áá ániid nidaakaigo daninéínda t'óó baa'ihígi áda'ahil'į́įgo nida'iiłdįįh .
18:36:015:0	Badahojoobá'íii bich'į' nidahwii'náago yisdáyiinííł , áádóó bide ádahólzinígíí binahjį' da'íists'ą́ą'go áyósin .
18:36:016:0	T'įįhdígo haz'ą́ ade áhósindę́ę́' hóteelgo haz'ą́ ; diné doo ade áhólzinjį' nił íí'áázh , áádóó nibikáá' adání bikáa'gi ch'iyáán bee áda'azįįdgo áyiilaa .
18:36:017:0	Nidi diné doo yá'áshóonii bee baa náhódóot'įįłii bee ná bihoolyaa ; aa hwiinít'į́ índa t'áá ákogi át'éii bik'ehgo nénálkáá' .
18:36:018:0	T'óó báhádzidgo atídoolíłígíí bits'ąą ádaa áhólyą́ , áko anoonééł doo yee nahjį' kóndoolíił da . T'óó ahayóí nik'é niilyáa nidi , doo bee yisdádíínáał da .
18:36:019:0	Da' nit'ínígíísh t'áá íiyisí ná ílį́įgo yaa nitsíkees dooleeł ? Nidaga' , óola dooda , bee adziilii nidi t'áá ałtso doo ílį́į da .
18:36:020:0	Diné áádįįłgo ákót'éegotł'é'ígíí éí t'áadoo bídin nílíní .
18:36:021:0	Ádaa áhólyą́ ; doo ákwii ánáánáo'nééh lágo ; jó , ach'į' nahwii'ná bitsásk'ehgi doo ákwii át'éii nidííní'ą́ą́ nít'éé' .
18:36:022:0	Jó , Diyin God bibee adziilii yee ts'ídá aláahgo ayóó át'é ; Diyin God na'nitinígi át'éego háísh ła' ákót'éego nazh'nitin ?
18:36:023:0	Diyin God doo ła' , Kónínééh , biłníní da . Áádóó doo ła' , Doo ákwii át'éii íinilaa , biłníní da .
18:36:024:0	Shą́ą́' , Diyin God binaanish bee diné baa dahaniihgodahótálígíí éí bee Diyin God baa hóniih .
18:36:025:0	Nihokáá' dine'é t'áá ałtso Diyin God ááníłígíí deiníł'į́ ; doo bit'ááh jóya' át'éégóó deiníł'į́ .
18:36:026:0	Jó , Diyin God ts'ídá aláahdi át'éii nilį́ áádóó át'éii doo t'áá át'é nihił bééhózin da , áádóó naalkaahgo ákwíí binááhaígíí hoł béédahodoozįįłgo doo bídajíighah da .
18:36:027:0	Háálá nihokáá'dóó siil dah nídiildohgo ííł'į́ , áádóó t'áá éí siil níłtsą́ nináhádleehgo naałtingo ííł'į́ .
18:36:028:0	K'os bits'ą́ą́dóó nihokáá' dine'é bik'ijį' lą'í nídahodiłtį́įhgo ííł'į́ .
18:36:029:0	K'os nídiilkǫǫhígíí índa yót'áahdi adi'nínígíí ła'da doo yik'idiitįįh da .
18:36:030:0	Jó , t'áá bí binaagóó nida'dilch'ilgo ííł'į́áádóó tónteel biyaadi haz'ánígíí bik'i ditą́ągo ííł'į́ .
18:36:031:0	Jó , diné yá nihwii'aahínda ch'iyáán t'óó ahayóí yeidiyii'aah .
18:36:032:0	Áádóó bíla' t'áá ałch'ishjí yee atsiniltł'ish anáyiiłta'go yídínóotahjį' yi'iiłnííh .
18:36:033:0	Da'di'níigo éí hoołtį́łígíí yaa halne' , áádóó béégashii éí da'di'níigo hoołtį́łígíí yaa ákódanízin .
