18:16:001:1	Job éí Diyin God ábooł'įįłígíí yaa saad hal'į́
18:16:001:0	Áádóó Job ánááhodoo'niidgo ání ,
18:16:002:0	Hane' ákódaat'éii yee' lą'í diséts'ą́ą́' . T'áá ánółtso doo t'áá yíní át'éejį' bee ha'ahóníinii bee yádaołti' .
18:16:003:0	T'áadoo biniyéhígóó saad danilíiniísh nidoot'ih ? Ha'át'íísh bee doo dasooti'góó ayóogo háádaohdzih ?
18:16:004:0	Shí ánísht'éhígi ádanoht'éego shí ałdó' t'áá nihígi át'éego yáshti' doogo át'é ; nihich'į' shitsii' néishgha'go saad nihik'ijį' yéideestsihgo át'é .
18:16:005:0	Kót'éego nihidishníigo danihidziilgo ánihideeshłííłáádóó t'áá nihich'į' yáshti'go bee hada'íínółníi doo nít'éé' .
18:16:006:0	T'áá yáshti'go níshgaígíí doo áhodiildzéeh da ; doo yáshti'góó t'ááłáhígi át'éego níshgai .
18:16:007:0	Nidi k'ad Diyin God ch'ééh shideesá ; sha'áłchíní ałtso ásíníłdįįd .
18:16:008:0	Shikáá'góó noojíigo íinilaaígíí bee shik'ijį' nílínígíí yaa halne' ; shííts'iinígo t'óó tsé'édin yishgą́ą́ł . Shííts'iinígíí shinii'jį' yaa halne' .
18:16:009:0	T'óó báhádzidgo báhóóchįįdgo yee atí'éł'ínígíí yee nishiisdláád , áádóó shik'ee deeznih ; shich'į' biwoo' ahíideeshk'ash ; shi'ana'í náshidiniilgęsh .
18:16:010:0	Diné hááhgóó shį́į́ dashidiláashgo dashi'į́įgo shinii'jį' nídeineezkaad ; shik'ijį' danilį́įgo ahínéikah .
18:16:011:0	Diyin God doo dabidósinii yaa shidiní'ą́ągodiné doo yá'ádaashóonii yílák'ee shidíí'ą́ .
18:16:012:0	Doo íits'a'ígóó sédáá nít'éé' , nidi Diyin God aháshíínizhgi áshiilaa ; shik'os yisiłgo t'áá íiyisí shíígháád , áádóó yółt'óóh dooleeł biniyé nishiníłtį́ .
18:16:013:0	Bá da'diłt'ohii shináshzhiizh . Doo áá sísįįhgóó shitsą́ áshk'azhí ałtáiniiłgizh ; shitł'izh ni'jį' náálį́įgo áyiilaa .
18:16:014:0	Tsé yítł'inii ahiih náháłdaas nahalingo ahiih náshííyiizh ; yé'iitsoh ak'ijį' dah diilwod nahalingo shik'ijį' dah nídiilwo' .
18:16:015:0	Tł'oh azis éé' áshłaago shi'éé' nít'éé' . Bee shidziilii łeezh dibahí bii' yíłchǫ' .
18:16:016:0	Yishchago bik'ee nídeishchih ; k'ad ni'iishchéehgo shinák'ee alzhíínígo sédá .
18:16:017:0	Azhą́ ákót'ée nidi , t'áadoo haa deisdzaa daáádóó ts'ídá t'áadoo binoolninígóó sodiszin .
18:16:018:0	Nahasdzáán nílíinii , shidił nídóół'įįh lágoáádóó bíni' shiinéé' diits'a' doo .
18:16:019:0	Áádóó ałdó' , shoo , k'ad shá oo'íinii yá'ąąshdi hólǫ́áádóó bee shaa hóóne'ígíí bił bééhózinii áadi hólǫ́ .
18:16:020:0	Shik'isóó danilíinii shá nidahałt'i' , nidi shinák'eeshto' náálį́įgo Diyin God bich'į' yishcha .
18:16:021:0	Diné ła' yił kééhat'íinii yá ná'ookąąhígi át'éegodooládó' ła' Diyin God há náyookąąh laanaa !
18:16:022:0	T'áá díkwíí nínáánááhaigo dah nídiisdzáago doo nídeeshdáał da .
