18:39:001:0	Tsétah tł'ízí nida'iiłchíihgoósh nił bééhózin ? Bįįhtsa'ii nida'iiłchíihgoósh hanisííd ?
18:39:002:0	Ida'niiltsąąhdóó díkwíí nídízi'go nida'iiłchíhígíísh nił bééhózin ? Doodaii' ts'ídá ákwe'é hoolzhishgo da'doołchíłígíísh nił bééhózin ?
18:39:003:0	Da'doołchííł biniyé dahinteehgo biyázhí nidahwiileeh . Áajį' bik'i dahwiildóóh .
18:39:004:0	Biyázhí bidziil nidahaleeh áádóó hootsogóó nidaakaigo nitsaaz nidahaleeh ; t'áá áádóó dah dahidiikáahgo bimá doo yaa ninádahakáah da .
18:39:005:0	Háí t'éiyá télii ałchinii doo bidahodiit'i'góó áyiilaa ? Háí t'éí yideideezhchidgo t'áá bí nízinígóó nidaakaigo áyiilaa ?
18:39:006:0	Éí honoojítahgi bikéyah dooleeł biniyé baa diní'ą́ , áádóó táháníí' hólǫ́ǫgi nidaakai dooleełgo áshłaa .
18:39:007:0	Kin haal'áajį' doo hoo'į́į da ; diné oołbąsii háádílwoshgo ts'ídá t'ah doo yidiits'į́įh da .
18:39:008:0	Dziłdi dahootsogóó na'ałchozhgo háádiidááh ; ch'il ániid hanoot'áanii t'éí haintáago na'ałchozh łeh .
18:39:009:0	Béégashii ałchiniísh íinízingo t'áá bee nidíílnish ? Doodaii' nibéégashii nída'ałchosh góne'ésh t'áá biidoołkáałgo át'é ?
18:39:010:0	Tó daneets'ee' doo biniyé bee hahodiyííłdlałgoósh bíninil'ą́ ? Doodaii' nidá'ák'ehgi nahaghazí yooshołgoósh ádíílíiłgo bíninil'ą́ ?
18:39:011:0	T'áá íiyisí bitsxe'ígíísh bee baa dzíínílíi doo ? Doodaii' ninaanishísh baa didíí'ááł ?
18:39:012:0	Da' nitł'oh naadą́ą́' habíná'íł'isíjį'tł'oh naadą́ą́' t'áá ná niidooyéełgoósh baa dzíínílíigo át'é ?
18:39:013:0	Tsídii ástrich wolyéii bit'a' baa dzólníigo yíłbal . Bits'os ayóó ánóolninígíí ayóó'ó'ó'níinii yaa halne' .
18:39:014:0	Háálá biyęęzhii t'áá ni'góó niyiiníiłgonahasdzáán éí ayęęzhiígíí deineesdogo
18:39:015:0	ła'da yik'i didooltałgo yidoołts'ił , doodaii' naaldlooshii ałchinii yik'i nidookahgi t'óó yaa náyoo'nah łeh .
18:39:016:0	Doo bíí' danilį́į da nahalingo biyázhí t'áá na'níle'dii áyooł'įįł ; azhą́ t'áadoo biniyéhígóó ałchíih nidi , doo bik'ee bił yée' da .
18:39:017:0	Biniinaa át'éhígíí éí Diyin God hódzą́ t'áadoo beidiní'ą́ą da , índa ak'idi'yiitįįh dooleełgo t'áadoo ábiilaa da .
18:39:018:0	Bit'a' de áyiił'įįhgo nídiilwo'gołį́į́' áádóó bił yilwołígíí t'óó yeidloh łeh .
18:39:019:0	Łį́į́'ísh bidziilgo ádanile' ? Bik'osísh ayóó ábóodziilgo ádanile' ?
18:39:020:0	Nahachagiitsoh yááhiichahígi át'éegoósh łį́į́' dah náníljį́įhgo ádanile' ? Í'díłtł'iidgo t'óó báhádzid łeh .
18:39:021:0	Bidziilígíí bąą biinéigo honíts'aa' góyaa bik'étł'iin diits'a' , áádóó atah nidoobah biniyé da'ahijigánígíí yidááh yilwo' .
18:39:022:0	Yéé' t'óó yeidlohgo doo náldzid da , índa diltłish nidi doo yik'ee nát'ą́ą́' hadoolwoł da .
18:39:023:0	Booshk'iizhdę́ę́' k'aayééł áádóó tsiidétáán índa tsin k'aabééshbighą́ą́h dí'áago bik'i nizdidlaadgo ahídadínídahgo dadiits'a' łeh .
18:39:024:0	T'óó báhádzidgo índa t'óó bik'e'íyée'go ni' bidinínáágóó ahildóohgo yilwoł łeh ; deenásts'aa' bidee' bee í'dílzoołí áníigo doo yaa ná'áhodílt'į́į́góó doo niiltłáad da .
18:39:025:0	Deenásts'aa' bidee' bee í'dílzoołí áńdí'niihgo , Háháa , ní nahalin łeh . Doo nádíinágháníjį' anaa' dandzinii yiłchin ! Siláo binanit'a'í dadilwoshgoáádóó siláo ałt'ááh yijahgo yidiits'į́į́h .
18:39:026:0	Nibee hódzą'ásh bee ginítsoh nahashkáa'go naat'a' , áádóó shádi'áahjigo ahet'ááh ?
18:39:027:0	Da' ni handzihgoósh atsá dah diit'ahgoníléí wódahdi bit'oh áhooł'įįh ?
18:39:028:0	Tséghą́ą'di kééhat'į́įgo áadi dah sidáa łeh ; tsénít'i'ígíí bohoníłdzilgi tsédáa'gi kééhat'į́ .
18:39:029:0	Áádę́ę́' yidoolghałii doo nádíinágháníjį' dayiiłtse' .
18:39:030:0	Biyázhí ałdó' dił hadayiits'ǫǫs łeh . Ha'át'íhída naaztseedgo atsá ákwii naagháa łeh .
