18:32:001:1	Job yich'į' haadzíi'go Iiláíhu bee bá haz'ą́
18:32:001:0	Áko Job t'áá ákogi ánísht'é nízinígíí bąą díí diné tált'éego t'áadoo hanáádaasdzíi' da .
18:32:002:0	Ákohgo Ram ba'áłchíní ahoolchíiłii Baz nahós'a'dę́ę́' diné nilíinii Bárakel biye' Iiláíhu wolyéii báhóóchįįd . Job éí Diyin God yá'át'éehgo bá hazdoodzih yę́ęgi , jó , hóda t'áá ákogi ánísht'é jiníigo hadzoodzí'ígíí yik'ee báhóóchįįd .
18:32:003:0	Job bik'isóó tált'éegoígíí ałdó' yich'į' báhóóchįįd , háálá áho'diilyaaígíí biniyéii t'áadoo bee hach'į' háádaasdzíi' da , nidi t'óó hak'ídaha'ááh .
18:32:004:0	Áko diné tált'éego Job yił ahił dahalne'ígíí éí Iiláíhu yilą́ąjį' nidaakaígíí bąą t'ah índa Job bich'į' hadeesdzih jinízingo ahoolzhiizh .
18:32:005:0	Áko díí diné tált'éego yee hadahidoodzihígíí bee ádaadingo éí Iiláíhu yaa ákoniizį́į'go yik'ee báhóóchįįd .
18:32:006:0	Áko Baz nahós'a'dę́ę́' diné nilíinii Bárakel biye' Iiláíhu haadzíi'go ání , Shí t'áá íiyisí t'ah ániid naashá , ni éí náásínílį́į'go łą́ ninááhai ; éí bąą shí ákót'éego baa nitsískeesnidideeshniiłgo bee nił hodeeshnihígibinásdzid áádóó bik'ee shił yéé' nít'éé' .
18:32:007:0	Áko łą́ biiskáanii índa łą́ binááhaii yáłti'go hódzą́ yee na'nitin doo nít'éé' , dííniid .
18:32:008:0	Nidi diné níłch'i bii' hólǫ́áádóó Aláahgo Ayóó'ábóodziilii biyol ak'izhdi'yiitįįhgo áhósin .
18:32:009:0	Diné ayóó ádaat'éii doo áłahjį' dahóyą́ą da , índa hadaastihii daats'í t'áá ákogi ádaat'éii doo yik'idadi'yiitįįh da .
18:32:010:0	Éí bąą dashíísółts'ą́ą́' ; shí ałdó' íinisinii bee nihił hodeeshnih .
18:32:011:0	Jó , saad bee hadahidoohdzihígíí nidasoołkáa'goínda bee hadahidoohdzihígíí bíká íínísts'ą́ą'go biniyé sédáá nít'éé' .
18:32:012:0	T'áá aaníí , hazhó'ó nihíísísts'ą́ą́' nít'éé' , áko jó , nihí ła' t'áadoo Job bíni' bá áhoołaa da , índa saad yee hahaasdzí'ígíí t'áadoo ła' bich'į' saad bee bighadinoht'ą́ą da .
18:32:013:0	Bee hódzáanii bik'íniikai , doo dadidoohniił da . Diyin God yee' naa'ahoyííłhan ; diné éí dooda .
18:32:014:0	Job doo shik'ijį' saad ayiiznil da , áádóó aadę́ę́' bich'į' saad bee hadahisoohdzí'ígíí doo bee bich'į' hadeesdzih da .
18:32:015:0	Áko bik'ee t'óó bił adahóóyóí áádóó t'áadoo hanáádaasdzíi' da , índa t'áadoo yánáádááłti' da .
18:32:016:0	Hanáádadoodzihígíísh biba' ánísht'ée doo ? ( Jó , t'áadoo hanáádaasdzíí'góó t'óó naazį́ áádóó t'áadoo ánáádadoo'niidí da . )
18:32:017:0	Shí ałdó' kót'éego hadeesdzih ; shí íinisinígíí ałdó' baa hodeeshnih .
18:32:018:0	Shí saad lą'í bee hahideesdzihii shee hólǫ́ ; níłch'i shii' sizíinii , Yáníłti' , shiłní .
18:32:019:0	Jó , shibid éí wáin bizis doo bii'dę́ę́' háách'i daígíí nahalin , índa wáin bizis ániidíii k'adę́ę diilchxoshígíí nahalin .
18:32:020:0	Shik'ééhodootah biniyé hadeesdzih ; hadeesdzihgo énáhodeesįįł .
18:32:021:0	Náánáła' diné bił hashne'go doo diné t'ááłá'íígíí bich'ijí nishłį́įgo hadeesdzih da , índa diné t'áadoo ádaat'éégóó dahayóí , doo dishníigo baa yáshti' da dooleeł .
18:32:022:0	Háálá t'óó áhá'níigo saad bee ąąh aldéehii bee yáti' dooleełígíí doo shił bééhózin da , doodaii' ákódíshníigo éí Áshiilaii nahjį' kóshidoolííł .
