18:13:001:1	Job ba'át'e' ádinii yich'ą́ą́h yáłti'
18:13:001:0	Jó , díí t'áá ałtso yiiłtsą́ , áádóó t'áá shí diséts'ą́ą'go bik'idiitą́ .
18:13:002:0	Nihił béédahózinígíí shí ałdó' shił bééhózin ; doo nihi'ohgo ánísht'ée da .
18:13:003:0	Aláahgo Ayóó'ábóodziilii t'áá aaníí bich'į' hadeesdzih nisin ; Diyin God díí kónísht'éhígíí bił nabik'íyádeeshtih nisin .
18:13:004:0	T'áá ánółtso wooch'ííd ádaoł'íinii danohłį́ ; t'áá ánółtso azee' ííł'íní doo ílíinii danohłį́ .
18:13:005:0	Dooládó' t'óó dadíínółyéel dooleeł nisin , áko éí bee dahonohsą́ą doo nít'éé' .
18:13:006:0	Na'ák'íyáshti'ii índa baa ná'ooshkąąhii k'ad deísółts'ą́ą́' .
18:13:007:0	Da' doo yá'ádaashóoniísh bee Diyin God bá hadahodziih doo , índa nihinda'adlo'goósh bá yádaołti' doo ?
18:13:008:0	Da' Diyin God bich'ijísh dadoohłeełgo bá yádaałti' ? Diyin Godshą' , da' éísh bá ałghada'doht'áah doo ?
18:13:009:0	Nanihiskáa'go yá'ádanoht'ééhísh dooleeł ? Diné ahi'deesdlo'ígi át'éegoósh Diyin God bi'doołohgo át'é ?
18:13:010:0	T'áá nahont'inee diné ła' bich'ijí dadoohłeełgot'áá aaníí Diyin God nihididooteh .
18:13:011:0	Da' doósh Yee Ayóó'át'éii nilínígíí nihił yéé' áhodoolíił da , índa bee báhádzidígíí naa anihidoonił da ?
18:13:012:0	Hódzą́ bee ééjílniihgo bee hahídziihii éí łeeshch'iih nahalin ; ách'ą́ąhgi hólǫ́ǫgo ádeínóhsinígíí éí hashtł'ish nidahalin .
18:13:013:0	T'áadoo íits'a'í nahísóotą́ ; t'áadoo shaa nídaaht'íní , áko nihich'į' yáshti' ; háni' t'áá áshnéehgi áshnééh .
18:13:014:0	Ha'át'íí biniyé t'óó shidaa' deestsxahgo she'iina' bąąh dah sétį́į doo ?
18:13:015:0	Azhą́ shidiyoołhéeł nidi , baa jóshłíi doo , nidi yishááłgóó t'áá bí t'éí bich'į' ách'ą́ą́h yáshti' doo .
18:13:016:0	Bí t'éiyá bee yisdádeeshááł ; t'óó áhodil'íinii éí doo Diyin God yidááhdóó nidoogáał da .
18:13:017:0	Ádíshnínígíí haleebee deísółts'ą́ą́' , áádóó bee nihił hashne'ígíí dadoohts'a' .
18:13:018:0	Jó , shá baa hwiidínóot'įįłii hasht'eishłaa , áko hazhó'ó shá hasht'éédoolníiłgo shił bééhózin .
18:13:019:0	Háí t'éí shił ałha'dit'áah doo ? Áko k'ad doo ádíshnínígóó dadeestsaał .
18:13:020:0	Naakigo haz'ą́ doo shich'į' nididíí'áał da , áko índa doo nits'ąą nídideesht'į́įł da .
18:13:021:0	Doo deeghánígóó shits'ádinílnííh , áádóó bee náhádzidígíí doo bik'ee shił yée' da doo .
18:13:022:0	Áko índa shich'į' handziihgo nich'į' hadeesdzih , éí doodaii' shí átsé haasdziih , áádóó shich'į' hadíídzih .
18:13:023:0	Doo ákwii áát'įįdii índa ádił ni'ayésíi'ii lá haa néelą́ą́' ? Bee haz'áanii heshtíhígíí índa ádił ni'ayésíi'ii shił bééhonísįįh .
18:13:024:0	Ha'át'íí lá biniyé shits'ąą nanít'á , áádóó ha'át'íí lá biniyé ni'ana'í nishłį́įgo shaa nitsíníkees ?
18:13:025:0	T'iis bit'ąą' bił naanááyołígíísh didínííyish ? Áádóó atsǫz bił yiyołígíísh bikéé' yílwoł doo ?
18:13:026:0	Jó , t'áá íiyisí doodago shaa hólne'go ak'e'íłchí , áádóó ániid naasháádą́ą́' doo ákwii áát'įįdii t'áá shii' hólǫ́ǫgo áshíínísin .
18:13:027:0	Tsin bighádínís'eezgo ałdó' anáshiinił'įįh , t'áá ninádíshtał bik'eh shiníníł'į́ , shikék'eh hashchį́į nidi bá nihoodzogo íinilaa .
18:13:028:0	T'áá ha'át'íhída diłdzidígíí nahalingoáádóó ch'osh ałchozhii éí éé' dayííyą́'ígi át'éego ááshdįįł .
