18:33:001:1	Iiláíhu éí Job yich'ahóóshkeed
18:33:001:0	Éí bąą Job yinílyéii , shíísíníłts'ą́ą'gosaad bee yádeeshtihígíí t'áá ałtso didííts'į́į́ł .
18:33:002:0	Jó k'ad , ayá'niiłti'go shitsoo' shizéé' siláhígíí yáłti' .
18:33:003:0	Shijéí bee ts'ídá t'áá ákogi át'éego nitsískeesgo saad bee yáshti' doo , índa t'áá bééhózínígo ił ééhózin bee hahaasdziih doo .
18:33:004:0	Diyin God biNíłch'i Diyinii áshiilaaáádóó Aláahgo Ayóó'ábóodziilii biyol bee hinishná .
18:33:005:0	Bíninil'ą́ą́ ládą́ą́' shich'į' ééhonísįįhahíłlááh nidiníltaałgo aadę́ę́' saad ałkéé' niníníiłgo shinááł bee handziih .
18:33:006:0	Jó , Diyin God bíí' nílínígi át'éego shí ałdó' bíí' nishłį́ ; shí ałdó' łeezh bee áshi'diilyaa .
18:33:007:0	Jó , shiniinaa doo nił yéé' hodooleeł da , áádóó ándideeshniiłii bik'ee doo níni' yidoo'aał da .
18:33:008:0	T'áá aaníí níísísts'ą́ą'go bee háínídzíí'áádóó saad bee hahínídzí'ígíí diséts'ą́ą́' ; jó , ádíní ,
18:33:009:0	Bee haz'áanii doo k'íníti'góó yá'ánísht'ééh ; shijéí bii' yá'áhoot'ééh , índa doo ákwii é'ét'éii shii' ádin .
18:33:010:0	Jó , shik'ijį' nilį́įgo bá ashja'ósingo shaa héesdá ; bi'ana'í nishłį́įgo shaa nitsíkees ;
18:33:011:0	tsin bighá hoodzánígíí yiih náshidił'isáádóó yishááłgóó t'áá ałtso haisííd , dííníniid .
18:33:012:0	Jó , kódííníniidígíí doo ákót'ée da , nich'į' hadeesdzih , Diyin God yee' diné ts'ídá yiláahgo át'é .
18:33:013:0	Ha'át'íí biniyé ákót'éego bich'į' saad honíłǫ́ . Jó , yaa naagháhígíí doo t'áá ałtso yee ádaa ch'íhwiit'aah da ?
18:33:014:0	Jó , Diyin God t'ááłáhídi haadzih , doodaii' naakidi haadzih , nidi diné doo haa ákoniizįįh da .
18:33:015:0	Tł'ée'go nideiyeełgo bił ádahat'į́įgoáádóó bił anídeidinikáahgo bitsásk'eh yikáá' da'ałhoshgo ,
18:33:016:0	ákohgo lá índa diné da'íists'ą́ą'go ádeile'áádóó yee nidabidi'neestą́ą'ii bééhózingo ádeile' .
18:33:017:0	Diné baa nijigháii bits'ázhdoogááłáádóó ádaa hoji'niihígíí doo ajít'ée da jidooleeł biniyé kódahale' .
18:33:018:0	Kót'éego diné doo yóó'ábidi'doolnííłgóóínda diltłish doo bee bi'diilyéégóó áyósin .
18:33:019:0	Diné wolyéii tsásk'eh yikáá' sitį́įgo ił hodiniihínda t'áá áłahjį' bits'in dadiniihígíí bee nábidi'niltsxis ,
18:33:020:0	áko bááh índa ch'iyáán ałtaaskąądii ts'ídá doo yinízin da .
18:33:021:0	T'áá íiyisí nizhníłgango hatsį' hąąh ásdįįd ; hats'in t'áadoo bahat'aadí daní'á .
18:33:022:0	T'áá aaníí k'adę́ę yóó'aho'dilnééhínda k'adę́ę nida'ałtseedii biyaajį' hoł ahalzhíísh .
18:33:023:0	T'ááłáhídi mííl bitahdóó diyingo naal'a'í , ata' sizíinii éí há yá'át'éehii yee hoł hodoolnihii hólǫ́ǫgo
18:33:024:0	éí diyingo naal'a'í diné yaa jooba'go ání , Doo yóó'ábidi'doolníił da biniyé yisdáníłteeh ; diné yá niná'doodléełii bik'íníyá .
18:33:025:0	Bits'íís ániid naaghá nídoodleeł ; ániid naagháádą́ą́' át'é yę́ęgi át'éego bidziil nídoodleeł .
18:33:026:0	Áko índa Diyin God bich'į' diné sodilzin nídoodleeł , áádóó bił hach'oha'né nízhdoodleełgoDiyin God baa hoł hózhǫ́ǫgo bił ahizhníl'į́į doo ; bit'áá ákogi át'éii bee yisdájííyáá nít'éé' yę́ę hach'į' kónéidoodlííł .
18:33:027:0	Diné yinááł ádidooniił , Ádił asésiih ; t'áadoo é'él'į́įgi íít'įįd , nidi t'áadoo shaa nídélí da .
18:33:028:0	Doo yóó'áshidi'doolníił da biniyé yisdáshííłtį́ , áko adinídíín yideestsééł .
18:33:029:0	Shoo , Diyin God díí t'áá ałtso kót'éego t'áá ahą́ą́h diné yinaalnish ,
18:33:030:0	áko yóó'ábi'dilnééhdę́ę́' hááhodoołtéełgoiiná bee hool'in baa hózhóonii bee hoł ch'ídidoodlał baa ákoznízin doo .
18:33:031:0	Job yinílyéii , hazhó'ó shíísíníłts'ą́ą́' ; t'óó dííníłhéél , áko yáshti' doo .
18:33:032:0	T'áá ha'át'éegoda hadeesdzih , nínízingo aadę́ę́' bee shich'į' handziih , yáníłti' , t'áá ákogi íínít'įįd nidideeshniił nisin .
18:33:033:0	Doo handziihgóó éí t'óó shííníłts'ą́ą́' ; hazhó'ó dííníłhéelgo hódzą́ bínandínéeshtįįł .
