18:22:001:1	Élifaz doo yá'áshóonii yee Job yik'íhá'ááh
18:22:001:0	Ákohgo Tííman kin haal'áádóó Élifaz wolyéii ánááhodoo'niidgo ání ,
18:22:002:0	Diné hóyáanii t'áá bí ádá ílíinii íidoolíłígi át'éegoła'daásh Diyin God bá ílíinii ázhdoolíiłgo bízhneel'ą́ ?
18:22:003:0	Diné t'áá ákogi át'éii nílį́įgoósh bee Aláahgo Ayóó'ábóodziilii bił honíshǫ́ǫ dooleeł ? Ts'ídá t'áadoo iisihí hazhó'ó yínáałgo í'diinilyaaígíísh bee bá bilááh nídoodleeł ?
18:22:004:0	Diyin God díínísinígíísh biniinaa nididooteh , áádóó hóyée'go naa nídóot'įįł ?
18:22:005:0	Ayóó át'éego doo yá'áshónígi yee' íínít'įįdáádóó doo ákwii ááníłígíí yee' t'áá náás yíłt'ih .
18:22:006:0	Jó , nik'éí bąąh háíníł'áhígíí yee' t'áadoo biniyéhígóó nich'į' niná'doodlééł . Nee áchą́'íídéeni'go t'áadoo yił hanáádadólchídígóó t'áá daalchí'ígo íinilaa .
18:22:007:0	Diné ch'ééh deeyáago t'áadoo tó ła' béíníką́ą da , índa diné dichin nilíinii t'áadoo ba'ííníłtsood da .
18:22:008:0	Diné bidziilgo dah ooléełii kéyah yótą' , índa diné bił ílíinii ákwii kééhat'į́ .
18:22:009:0	Asdzání bąąh ádahasdįįdii t'áadoo deíléhígóó níwehjį' bi'ayíníłnii' . Áłchíní bizhé'é ádaadinii bidziilę́ę bąąh ndahwííníłkaad .
18:22:010:0	Díí bąą łoh nináhaazniláádóó t'áadoo hooyání nił yéé' hazlį́į'go ádił hodínílchił ,
18:22:011:0	doodaii' nił chahóółhélígíí bąą doo ííní'į́į da ; tó yíląądgo ałtso nik'i diilkǫ' .
18:22:012:0	Diyin God yee' yá'ąąsh alááh ánízáadi hólǫ́ . Dego díní'į́į'go sǫ' doo deighánídi naaznilígíí níníł'į́ !
18:22:013:0	Áko ádíní , Diyin God hait'éegoshą' bił bééhózin ? K'os diłhił biníkáádę́ę́'ésh ánihodii'aahgo yíneel'ą́ ?
18:22:014:0	Bich'ą́ąhgi k'os diłhiłgo biniinaa doo ahoyoot'į́į da , áádóó yá'ąąsh yii'góó tádíghááh .
18:22:015:0	Diné doo yá'ádaashóonii t'áá shiidą́ą'dii honít'i'góó nidaaskai yę́ęgi át'éegoósh honít'i'góó yínáał doo ?
18:22:016:0	Éí dazhdínóonéłígíí t'áadoo baa dahwiilzhíshí t'áá bítséedi nahjį' kódaho'diilyaa . Bee dadzíłdzilii yę́ę adahaaz'éél .
18:22:017:0	Éí Diyin God ádeidííniid , Nihits'áhoníleeh . Aláahgo Ayóó'ábóodziiliishą' ha'át'íí há íidoolíiłgo yíneel'ą́ ?
18:22:018:0	Azhą́ ákódaaníi nidi , dabighan góne' Diyin God yá'át'éehii há haidééłbįįd . Nidi diné doo yá'ádaashóonii kót'éego dajinínígíí shí doo shídéét'i' da .
18:22:019:0	Diné t'áá ákogi ádaaníiłii éí dayiiłtséehgo bąą bił dahózhǫ́ǫ łeh ; diné t'áadoo bee bik'ídahót'ahí daígíí haadloh bighą́ągo há nidahałt'i'
18:22:020:0	kódaaníigo , Nihi'ana'í danilíinii t'áá aaníí nahjį' kódaalyaa ; binaalye'é daadziihígíí ałtso adahideezk'ą́ą́' .
18:22:021:0	Diyin God bił ahééhonílzįįhgo hózhǫ́ǫgo nił haz'ą́ą doo ; ákwíindzaago yá'át'éehii nee hodooleeł .
18:22:022:0	Nánooshkąąh , nich'į' yáłti'go bee haz'áanii yínaniniłtinígíí nídiilé , áádóó bizaad nijéí bii' hasht'e'nihidí'nííł .
18:22:023:0	Aláahgo Ayóó'ábóodziilii baa néínídzáago hasht'e'ninádíídááłáádóó doo ákwii é'ét'éii niníbaal sinildóó nízaadgóó ádíts'ą́ąjį' kwíinilaago ,
18:22:024:0	áádóó ni'óola łeezh nahalingo yóó'anighaasgo , áádóó Óferdę́ę́' óola éí bokooh góyaa tsé áwózí bitahjį' yanáaghaasgo ,
18:22:025:0	áko t'áá aaníí Aláahgo Ayóó'ábóodziilii éí niyódí nilį́į doo , áádóó nibéésh łigaii ayóo ílíinii nilį́į doo .
18:22:026:0	Índa Aláahgo Ayóó'ábóodziilii baa nił honeeni doo , áádóó Diyin God bich'į'go dídíí'įįł .
18:22:027:0	Náá'ákóne' bich'į' sodidíílzįįłgo nididoots'į́į́ł , áádóó ádee hadíínídzíi'ii bi'íílíił doo .
18:22:028:0	Baa nidíínaałgo nihidí'aahígíí ná bi'oolníił dooleeł , áádóó yínááłgóó ná i'díídíin doo .
18:22:029:0	Yaa jidínídahgo ádidííniił , De ánádahodi'doolnííł , áádóó a'ohgo ída'dólzinígíí Diyin God yisdábiinííł .
18:22:030:0	T'áadoo bee bik'ídahót'ahíii yisdáyiinííł ; yá'ádaat'éehii íinilaaígíí bee yisdábiinííł .
