14:11:001:1	Rehoboam Reigns over Judah and Builds Cities
14:11:001:0	Now when Rehoboam had come to Jerusalem , he assembled the house of Judah and Benjamin , 180 , 000 chosen men who were warriors , to fight against Israel to restore the kingdom to Rehoboam .
14:11:002:0	But the word of the Lord came to Shemaiah the man of God , saying ,
14:11:003:0	“ Speak to Rehoboam the son of Solomon , king of Judah , and to all Israel in Judah and Benjamin , saying ,
14:11:004:0	‘Thus says the Lord , “ You shall not go up or fight against your relatives ; return every man to his house , for this thing is from Me . ” ’ ” So they listened to the words of the Lord and returned from going against Jeroboam .
14:11:005:0	Rehoboam lived in Jerusalem and built cities for defense in Judah .
14:11:006:0	Thus he built Bethlehem , Etam , Tekoa ,
14:11:007:0	Beth-zur , Soco , Adullam ,
14:11:008:0	Gath , Mareshah , Ziph ,
14:11:009:0	Adoraim , Lachish , Azekah ,
14:11:010:0	Zorah , Aijalon and Hebron , which are fortified cities in Judah and in Benjamin .
14:11:011:0	He also strengthened the fortresses and put officers in them and stores of food , oil and wine .
14:11:012:0	He put shields and spears in every city and strengthened them greatly . So he held Judah and Benjamin .
14:11:002:1	Jeroboam Appoints False Priests
14:11:013:0	Moreover , the priests and the Levites who were in all Israel stood with him from all their districts .
14:11:014:0	For the Levites left their pasture lands and their property and came to Judah and Jerusalem , for Jeroboam and his sons had excluded them from serving as priests to the Lord .
14:11:015:0	He set up priests of his own for the high places , for the satyrs and for the calves which he had made .
14:11:016:0	Those from all the tribes of Israel who set their hearts on seeking the Lord God of Israel followed them to Jerusalem , to sacrifice to the Lord God of their fathers .
14:11:003:1	Rehoboam’s Family
14:11:017:0	They strengthened the kingdom of Judah and supported Rehoboam the son of Solomon for three years , for they walked in the way of David and Solomon for three years .
14:11:018:0	Then Rehoboam took as a wife Mahalath the daughter of Jerimoth the son of David and of Abihail the daughter of Eliab the son of Jesse ,
14:11:019:0	and she bore him sons : Jeush , Shemariah and Zaham .
14:11:020:0	After her he took Maacah the daughter of Absalom , and she bore him Abijah , Attai , Ziza and Shelomith .
14:11:021:0	Rehoboam loved Maacah the daughter of Absalom more than all his other wives and concubines . For he had taken eighteen wives and sixty concubines and fathered twenty-eight sons and sixty daughters .
14:11:022:0	Rehoboam appointed Abijah the son of Maacah as head and leader among his brothers , for he intended to make him king .
14:11:023:0	He acted wisely and distributed some of his sons through all the territories of Judah and Benjamin to all the fortified cities , and he gave them food in abundance . And he sought many wives for them .
