10:7:001:1	Diyin God éí David yił aha'deet'ą́
10:7:001:0	Ákódaadzaadóó aláahgo naat'áanii bighan góne' sidáago, áádóó Bóhólníihii éí háájílyį́į́h áhoolaago hwe'ana'í t'áá ałtso yits'ąą haa jé'ólná. 
10:7:002:0	Áko aláahgo naat'áanii éí Diyin God yá halne'ii Néíthan áyidííniid, Shoo, k'ad dilk'is bee kin ályaii bii' kééhasht'į́, nidi Diyin God bitsits'aa' dílzinii éí dáádiníbaal bine'jí si'ą́. 
10:7:003:0	Áádóó Néíthan éí aláahgo naat'áanii áyidííniid, Nílááh, baa nitsíníkeesígíí t'áá át'é ánílééh; jó, Bóhólníihii nił hólǫ́. 
10:7:004:0	Ákódzaago éí bitł'éé' Bóhólníihii t'áá bí bizaad yee Néíthan kwíidííniid, 
10:7:005:0	Nílááh, shá naal'a'í David kóbidiní, Bóhólníihii kóníłní, Kin bii' shighan dooleełígíísh t'áá shá ádíílííł? 
10:7:006:0	Jó, Ízrel dine'é Ííjip kéyahdę́ę́' háí'eezhdóó wóshdę́ę́' díí jį́įjį' doo kin bii' kééhasht'į́į da; t'áá hazhó'ó níbaal t'éiyá bii' honishłǫ́. 
10:7:007:0	T'áá ałtsogóó Ízrel dine'é t'áá ałtso bił honishłǫ́ǫgo Ízrel dine'é ła' saad bee bich'į' yáshti'go, Shidine'é bada'ołtso', t'áásh bidííniid, Hait'éegoshą' dilk'is bee kin ályaii doo ła' shá ádaohłéeh da? 
10:7:008:0	Éí bąą k'ad shá naal'a'í David kóbididííniił, T'áá ałtsoní bee Bóhólníihii kóníłní, Dibé bighandóó índa dibé bikéé' nanináádóó nándiiłtį́įgo shidine'é Ízrel binanit'a'í nílį́į doo. 
10:7:009:0	Áádóó nił honishłǫ́ǫgo t'áá ałtsogóó tádííníyá, áádóó ni'ana'í danilíinii ninááł ásíłdįįd. Índa yízhí ayóó át'éii ná ádeeshłííł; éí nahasdzáán bikáa'gi diné ayóó ádaat'éii yízhí bee dabi'dójíhígíí nahalin. 
10:7:010:0	Áádóó ałdó' shidine'é Ízrel bá náhodideesh'áałgo ákwii k'ihodideeshłééł, áko t'áá bí bikéyahgi kéédahat'į́į doo, índa doo nahjį' kónáádabidi'doolníił da, áádóó ałk'idą́ą́' doo yá'áshóonii ba'áłchíní atídahał'į́į́ nít'éé' yę́ę doo ákónáádahodoodlíił da. 
10:7:011:0	Ándahodiyii'aahii, Shidine'é bindanoht'áa doo, bidííniid yę́ędóó ákódaat'į́į́ nít'éé'. Nidi háánílyį́į́h ániishłaago ni'ana'í t'áá ałtso bits'ąą naa jé'óshnáá nít'éé'. Áádóó ałdó' Bóhólníihii áníłní, Na'áłchíní náás ahoolchíiłii ádeeshłííł. 
10:7:012:0	Áko níyoołkáłígíí bíighah azlį́į'go danizhé'é yę́ę bił da'íłhoshgo, nikéé'dóó náás oołchíił dooígíí yizhchį́įgo nant'áago ádeeshłííł, áádóó aláahgo bee bóhólníihgo bił haz'ą́ą dooleełii chánah ádeeshłííł. 
10:7:013:0	Éí kin íidoolíiłgo bii' shízhi' baa ha'niih doo áádóó bibikáá'dóó nahat'áii chánah áshłaago ahool'áa doo. 
10:7:014:0	Bizhé'é nishłį́į doo, áádóó bí shiye' nilį́į doo. Doo ákwii áát'įįdgóó diné bitsihał bee nídínéeshxał áádóó dine'é bibee atsxis bee nídínéestsxis. 
10:7:015:0	Nidi bee aa a'ááh nisinii doo t'áá k'ad bits'ą́ąjį' kwíishłaa da; Saul yę́ę éí bits'ą́ąjį' kwíishłaago ninááł nahjį' kóhooshłaa yę́ęgi át'éego bí doo ákódeeshłíił da. 
10:7:016:0	Áádóó na'áłchíní náás ahoolchíłígíí índa bee níhólníihgo bił haz'áanii ninááł chánah áshłaago ahool'áa doo, índa bikáá'dóó hóó'áałii chánah áshłaago ahool'áa doo. 
10:7:017:0	Áko díí saadígíí t'áá ałtso bik'ehgo, áádóó ił áhoodzaaígíí t'áá ałtso bik'ehgo Néíthan éí David yich'į' yee hahasdzíí'. 
10:7:018:0	Áádóó aláahgo naat'áanii David yah ííyáago Bóhólníihii hólónígi neezdáago ádííniid, Ha'át'íísh nishłį́, Bóhólníihii Diyin God nílíinii? Shighandóó danilíinii ha'át'íísh danilį́įgo bąą kónízahjį' shił nííní'áázh? 
10:7:019:0	Bóhólníihii Diyin God nílíinii, dííyee' nináałgo t'įįhdígoígíí át'é, nidi ná naal'a'í bighandóó danilíinii náás ahididoolchíłígíí náás hodeeshzhiizhgóó bá bee háínídzíí', Da' díísh diné bibee é'él'į' bik'ehgo át'é, Bóhólníihii Diyin God nílíinii? 
10:7:020:0	David ha'át'íísh ałdó' nándidoo'niił? Jó, Bóhólníihii Diyin God nílíinii, ná naal'a'í bééhonísin. 
10:7:021:0	Nizaadígíí binahjį' áádóó nijéí bee íinínízinígíí bik'ehgo díí ayóó át'éego ída'iinilaaígíí bee ná naal'a'í bił ííshją́ą́ áhwiinilaa. 
10:7:022:0	Éí bąą ayóó át'éii nílį́, Bóhólníihii Diyin God nílíinii; jó, doo ła' nigi át'ée da, doodaii' t'áá ni t'éiyá Diyin God nílį́; t'áá át'é deísíníilts'ą́'ígíí bik'ehgo ni t'éiyá ayóó át'éii nílį́. 
10:7:023:0	Nahasdzáán bikáa'gi háí dine'é nilíinii t'áá nidine'é Ízrel nilíinii nahalin? Éí Diyin God bidine'é dooleeł biniyé ádá t'ą́ą́' nááyiisnii', áko yízhí bee béého'dílzinii íidoolííł, áádóó ayóó át'éego índa t'óó báhádzidgo ída'iinilaaígíí nikéyahgi nidine'é binááł ádíílííł biniyé Ííjip dine'é áádóó ał'ąą dine'é índa bidiyin dabidi'níinii bits'ą́ąjį' t'ą́ą́' nááhíníłnii'. 
10:7:024:0	Jó, t'áá ni nidine'é Ízrel chánah ádá íinilaago t'áá ni nidine'é danilį́įgo ahóyéel'áa doo, áádóó ni Bóhólníihii nílíinii, bí biDiyin God sínílį́į́'. 
10:7:025:0	Áádóó k'ad, Bóhólníihii Diyin God nílíinii, saad bee háínídzíi'ii ná naal'a'í bídéét'i'go índa bighandóó danilíinii bídéét'i'go ádííníniid yę́ę chánah íínísingo ahóyéel'áa doo; ádííníniidígi át'éego ánílééh. 
10:7:026:0	Áko háni'dii nízhi' baa ha'niihgo ahóyéel'áa doo, daaníigo t'áá ałtsoní bee Bóhólníihii éí Ízrel dine'é biDiyin God nilį́, áádóó bíni'dii ná naal'a'í David ba'áłchíní náás ahoolchíiłii chánahgo nant'áago níníł'į́į doo. 
10:7:027:0	Jó, ni t'áá ałtsoní bee Bóhólníihii, Ízrel dine'é biDiyin God nílíinii, ná naal'a'í nishłíinii díí shich'į' yit'íní íinilaago áshidiní, Na'áłchíní náás ahoolchíiłgo ádeeshłíiłgo nant'áa doo. Éí bąą ná naal'a'í nishłíinii éí baa ákoniizį́į'go díí sodizin bee nich'į' sodeeszin. 
10:7:028:0	Áádóó k'ad, Bóhólníihii Diyin God, ni t'éí Diyin God nílį́, áádóó nizaad éí t'áá aaníí índa ná naal'a'í nish łíinii díí ts'ídá yá'át'éehii shá ádíílíiłgo shich'į' háínídzíí'. 
10:7:029:0	Éí bąą k'ad bíni'dii ná naal'a'í nił hóshǫ́ǫgo ba'áłchíní náás ahoolchíiłii bik'ijiinídliih, áko ninááł naaldeehgo ahóyéel'áa doo; jó, ni Bóhólníihii Diyin God nílíinii, díí baa yáníłti', áádóó nibee ak'ihojidlíii ná naal'a'í ba'áłchíní náás ahoolchíiłii bee bik'ihojidlíigo ahóyéel'áa doo.
