10:14:001:1	Jó'ab éí Ábsalam nídoodáałgo naha'á
10:14:001:0	Nít'éé' Zerowáíyah biyáázh Jó'ab éí baa ákoznízin dzizlį́'ígíí aláahgo naat'áanii biye' Ábsalam yídin silį́į́' lá. 
10:14:002:0	Áádóó Jó'ab éí Tekówa kin haal'áágóó i'ííł'a'go áádę́ę́' asdzání hóyánígíí shóozt'e'go nádlóóz, áádóó éí áyidííniid, Nánooshkąąh, yínííł nilíinii í'dílnééh áádóó yínííł ídlį́į́jí éé' biih díínááł; t'ááká t łah bee ádóóltłah lágo, nidi asdzání éí nízaadgóó yínííł nilį́įgo daaztsáanii yąąh bíni'ígi át'éego í'dílnééh. 
10:14:003:0	Áko aláahgo naat'áanii bich'į' díínááł, áádóó kót'éego í'díílíłígíí bich'į' bee hadíídzih. Áko Jó'ab éí saad bee hahizdoodzihígíí há hasht'eyiilaa. 
10:14:004:0	Nít'éé' Tekówadóó asdzání éí aláahgo naat'áanii yich'į' haadzíi'go ni'jį' nitsideelgo' áádóó yich'į' yaa ádzaago ání, Aláahgo naat'áanii nílíinii, shíká adíílwoł. 
10:14:005:0	Nít'éé' aláahgo naat'áanii ábidííniid, Ha'át'íí lá neinít'į́įgo ádíní? Áko ázhdííniid, Shí t'áá aaníí asdzání bąąh áhásdįįdii nishłį́; shahastiin shąąh nást'įįd. 
10:14:006:0	Áádóó asdzání ná naal'a'í nishłį́įgo shiyáázh naaki. Nít'éé' halgaidi ahigą́ągo t'áadoo ałts'ábóníłí dago ła' bik'is atíyiilaago yiyiisxį́. 
10:14:007:0	Áádóó, shoo, shik'éí t'áá ałtso asdzání ná naal'a'í nishłį́įgo shaatįįh yikaigo ádashiłní, Bik'is atíyiilaaígíí nihaa diní'aahgo dahodiyiilyééł, háálá hak'is jiisxį́įgo be'iina' nizhníłt'i', áko íí' jílínígíí ádahodiildįįł. Ákohgo shitsííd ła' t'ah diltłi'ígíí deidínóołtsis áádóó shahastiin yę́ę bízhi' nahasdzáán bikáa'gi k'éé'dei'doołchǫǫł, doodaii' biye' doo ła' naagháágóó ádeidoolííł. 
10:14:008:0	Áádóó aláahgo naat'áanii éí asdzání áyidííniid, Nílááh, nighangóó nídídááh, índa biniyé yíníyáhígíí bee hadeesdzihgo níká i'doolwoł. 
10:14:009:0	Nít'éé' Tekówa kin haal'áádóó asdzání éí aláahgo naat'áanii ííłní, Bóhonishníihii aláahgo naat'áanii nílíinii, doo ákwii áhóót'įįdígíí bá naashtłizh doo, áádóó shizhé'é ba'áłchíní náás ahoolchíiłii ałdó' yá nandeeh doo, nidi aláahgo naat'áanii áádóó yikáá'dóó naha'áii éí doo bee bihodiit'i' da dooleeł. 
10:14:010:0	Áko aláahgo naat'áanii ání, T'áá háiida ha'át'íhída náándoo'niidgo éí shaa hodíílóós, áádóó doo naa nínáázhdóot'įįł da. 
10:14:011:0	Áko asdzání ádííniid, Nánooshkąąh, aláahgo naat'áanii nílíinii, Bóhólníihii niDiyin God béénílniih le', áko diné bik'éí bidił biniinaa k'éédadi'doodlíiłii éí diné doo ła' néidiyoołhééłgóó ádíílíiłgo ákót'éego shiyáázh doo deidiyoołhéeł da. Áádóó áhodííniid, Ts'ídá t'áá aaníí Bóhólníihii hiná; ákót'éego ts'ídá t'áá aaníí niyáázh bitsii' t'ááłá'í nidi doo ni'jį' nidoodił da. 
10:14:012:0	Áko asdzání ádííniid, Bíni'dii asdzání ná naal'a'í nishłíinii, nánooshkąąh, bóhonishníihii aláahgo naat'áanii saad bee bich'į' hadeesdzih bee sha'di'ní'aah. Áádóó ádííniid, Hágoshį́į́, handziih. 
10:14:013:0	Nít'éé' asdzání ání, Ha'át'éegoshą' Diyin God bidine'é nilíinii bik'ijį' kót'éego tsídíníkééz? Kót'éego aláahgo naat'áanii díí yee haadzí'ígíí ádihodiit'i'iigi la' át'é; jó, aláahgo naat'áanii éí yóó'eelwodii doo yił nát'aash da. 
10:14:014:0	Jó, aniné t'éí nihidada'ałtł'in; tó ni'jį' yaaką́ągo łeesinootseedii doo áłah ánáolne' át'éegi ádaniit'é, índa Diyin God éí diné doo ła' a'ohgo yaa nitsíkees da, áko bits'ą́ą́' yóó'abi'dool'a'ígíí éí doo nahjį' niidó'ááł át'éégóó yaa nitsíkees. 
10:14:015:0	Éí bąą k'ad, bóhonishníihii aláahgo naat'áanii nílíinii, díí bee nich'į' hadeesdzihgo naa níyá, háálá diné shił dahóółyéé', áko asdzání ná naal'a'í nishłį́įgo ádíshní, K'ad aláahgo naat'áanii bich'į' hadeesdzih; aláahgo naat'áanii éí asdzání bá naal'a'í bíyókeedígíí t'áá daats'í yi'doolííł. 
10:14:016:0	Jó, aláahgo naat'áanii shá yididoots'į́į́ł, áko bá asdzání naal'a'í nishłíinii índa shiyáázh bił nihíí' dooleełii Diyin God nihaidiní'ánígíí bits'ąą diné ánihi'niiłdįįdígíí bits'ąą yisdánihidoonił. 
10:14:017:0	Áko asdzání ná naal'a'í nishłíinii ádíshní, Bóhonishníihii aláahgo naat'áanii saad yee haadzí'ígíí bee ha'íídéeshniił, háálá diyingo naal'a'í Diyin God bits'ą́ą́dóó nahalingo bóhonishníihii aláahgo naat'áanii nilíinii éí yá'át'éehii áádóó doo yá'át'éehii yaa ákonízin. Éí bąą Bóhólníihii niDiyin God nił hólǫ́ǫ doo. 
10:14:018:0	Nít'éé' aláahgo naat'áanii éí asdzání áyidííniid, T'áadoo shits'ąą naníł'iní; bínandídéeshkiłii bee shił hodíílnihgo, baa nánooshkąąh. Áádóó asdzání ádííniid, Bóhonishníihii aláahgo naat'áanii nílíinii, k'ad shich'į' handziih. 
10:14:019:0	Áko aláahgo naat'áanii éí asdzání áyidííniid, Da' díísh doo t'áá át'é Jó'ab ná yinahaz'ą́ą da? Áádóó asdzání ádííniid, Ts'ídá t'áá aaníí hiníná; bóhonishníihii aláahgo naat'áanii nílíinii, ákót'éego ts'ídá t'áá aaníí doo ła' nish'náajigo, doodaii' nishtł'ajigo bóhonishníihii aláahgo naat'áanii yee haadzíi'ii bits'ą́ąjį' ázhdooníił da, háálá ná naal'a'í Jó'ab díí yich'į' shííł'aad; saad t'áá át'é bee hahideesdzihii shá hasht'eyiilaa. 
10:14:020:0	Ná naal'a'í Jó'ab éí díí áhoodzaaígíí łahgo íidoolíłígíí yiniyé át'į́, áádóó bóhonishníihii éí Diyin God bidiyingo naal'a'í hóyánígíigi át'éego hóyą́ągo nihokáá'góó hólóonii t'áá ałtso bił bééhózin. 
10:14:021:0	Áádóó aláahgo naat'áanii éí Jó'ab áyidííniid, Shoo, k'ad díí baa niséyá; éí bąą nílááh, dinééh Ábsalam bił nánít'aash. 
10:14:022:0	Nít'éé' Jó'ab ni'jį' nitsideelgo'go tsé'yaa neeztį́įgo aláahgo naat'áanii yich'į' ahééh niizį́į́', áko Jó'ab ádííniid, Díí jį́ ná naal'a'í nishłíinii díí shił bééhoozin: ajooba' bee shich'oha'néego shąąh tsídíníkééz, bóhonishníihii aláahgo naat'áanii nílíinii, háálá aláahgo naat'áanii bá naal'a'í bíyókeedígíí yá t' áá ákót'éego áyiilaa. 
10:14:023:0	Áko Jó'ab dah diiyáago Gíísher kin haal'áágóó ííyá; áádę́ę́' Jerúsalem kin haal'áajį' Ábsalam yił nát'áázh. 
10:14:024:0	Áádóó aláahgo naat'áanii ádííniid, Bíni'dii t'áá bí bighangóó nídídááh, áko doo bił ahiideestséeł da. Áko Ábsalam éí t'áá bí bighangóó dah nídiidzá, índa aláahgo naat'áanii t'áadoo yił ahiiltsą́ą da. 
10:14:025:0	Áko Ízrel dine'é t'áá át'éé nít'éé' bitahdóó diné doo ła' Ábsalam baa dzólnínígi át'éego baa ha'niih da. Bikétł'ááhdóó bitsiit'áajį' t'áá íiyisí hadaałt'é. 
10:14:026:0	Áádóó bitsii' k' ínéígishgo, áko t'ááłá'í nínáhahgo bitsii' k'ínéígish, háálá bitsii' t'óó ahayóigo nidaazgo bąą k'ínéígish; aláahgo naat'áanii bibee dah adiidlohígíí bik'ehgo dah néidiyiidlohgo naakidi neeznádiin shékel bíighahgo bitsii' áníłdáás. 
10:14:027:0	Nít'éé' Ábsalam éí ashiiké táá' há niheezhchį́; bitsi' éí t'ááłá'í: Téímar wolyé; éí asdzání ayóó ánóolninii nilį́. 
10:14:028:0	Áko Ábsalam éí Jerúsalem kin haal'áagi kééhat'į́įgo naaki nááhai índa aláahgo naat'áanii doo yił ahoot'į́į da. 
10:14:029:0	Éí bąą Ábsalam éí Jó'ab bíká i'jííł'a', éí aláahgo naat'áanii bich'į' hoł doo'ash biniyé, áko Jó'ab doo haa níyáa da; naakidi aleeh góne' anáá'jííł'a', nidi t'áadoo haa náánádzáa da. 
10:14:030:0	Áádóó bá nidaal'a'í áyidííniid, Shoo, shidá'ák'eh bíighahgóó t'áá áhą́dígi Jó'ab bidá'ák'eh ákwii bitł'oh naadą́ą́' bidee'í hólǫ́; nílááh, ákǫ́ǫ́ dohkáahgo biih dah hodohnííł, áko Ábsalam bá nidaal'a'í éí dá'ák'ehgi tł'oh naadą́ą́' bidee'í yíl'áii yiih dah hodeeznil. 
10:14:031:0	Nít'éé' Jó'ab dah diiyáago Ábsalam bighandi Ábsalam yaa níyáago ííłní, Ha'át'éegoshą' ná nidaal'a'í éí shidá'ák'ehgi k'idííláhígíí yiih dah hodeeznil? 
10:14:032:0	Ábsalam éí Jó'ab ánááyidoo'niidgo ííłní, Shoo, nich'į' i'ííł'a'go ándííniid, Aláahgo naat'áanii shá bich'į' díínáałgo shá kóbididííniił nisingo hágo nidííniid nít'éé', Ha'át'éegoshą' Gíísher kin haal'áádę́ę́' nánísdzá? T'ah t'áá áadi naasháago shá yá'át'éeh doo nít'éé'. Éí bąą k'ad, bíni'dii aláahgo naat'áanii bił ahiideestsééł nisin, áko bee ádihodiisht'i'ii hólǫ́ǫgo háni'dii shijiiłhé. 
10:14:033:0	Áádóó Jó'ab éí aláahgo naat'áanii yaa níyáago yił hoolne'. Nít'éé' aláahgo naat'áanii éí Ábsalam hágo yidííniid. Áko aláahgo naat'áanii yaa níyáago yich'į' ni'jį' nitsidinígo'go yaa ádzaa. Áádóó aláahgo naat'áanii éí Ábsalam yizts'ǫs.
