10:11:001:1	David áádóó Bath-shííba
10:11:001:0	Áádóó dąąjį' ch'íhoolzhiizhgo aláahgo naat'áanii danilíinii anaa' ádeidoolííł yiniyé ch'ínááhákáahgo, David éí Jó'ab áádóó bá nidaal'a'í t'áá bił Ízrel dine'é t'áá ałtso anaa' ádeidoolíiłgo bi'jiisnii', áko Áman dine'é ádeisdįįdgo Rábah kin haal'áhígíí yizénáshzhiizh. Nidi David éí t'áá Jerúsalemdi naagháá nít'éé'.  
10:11:002:0	Áádóó ákódzaago hííłch'į'go David bitsásk'ehdóó nídii'na'go aláahgo naat'áanii bikin bighą́ą'di haayáago áadi tádíghááh nít'éé'; áádę́ę́' asdzání ła' naabéego yiyiiłtsą́. Éí asdzání ayóó ánóolningo níl'į́. 
10:11:003:0	Áádóó David dah adiił'a'go asdzání yína'ídééłkid. Nít'éé' ła' áháłní, Díí Iiláíyam bitsi' Bath-shííba át'į́. Het dine'é nilíinii Yuráíyah ye'asdzą́ą́ nilį́. 
10:11:004:0	Áádóó David bá nidaal'a'í hach'į' ayííł'a'go hoł nídaaskai áádóó bił yah ajííyáago hoł biiską́. Jó, ąądii bits'ą́ą́dóó ho'díídee', áádóó haghangóó anídzoodzá. 
10:11:005:0	Nít'éé' éí asdzání i'niiltsąądgo David yich'į' hane' áyiilaago ání, I'niistsąąd. 
10:11:006:0	Áádóó David éí Jó'ab yich'į' i'ííł'a', Het dine'é Yuráíyah shaa níł'á. Áko David yich'į' Jó'ab éí Yuráíyah ayííł'a'. 
10:11:007:0	Nít'éé' Yuráíyah éí David yaa níyáago David nahódééłkidgo ání, Jó'ab haash yit'éego naaghá áádóó Ízrel dine'é bił haa hoot'é índa anaa'di éí haa dahat'į́? 
10:11:008:0	Áádóó David éí Yuráíyah áyidííniid, Nighangóó nídídáahgo nikee' táánígis. Áko Yuráíyah éí aláahgo naat'áanii bighandóó dah nízdiidzáago, aláahgo naat'áanii ch'iyáán hainínilígíí hakéé' eejaa'. 
10:11:009:0	Nidi Yuráíyah binanit'a'í bá nidaal'a'í t'áá ałtso bił aláahgo naat'áanii bich'éédą́ą'gi da'iiłhaazhgo t'áadoo bighangóó anáádzáa da. 
10:11:010:0	Áko David yił dahoolne'go ádaaní, Yuráíyah t'áadoo bighangóó ninásdzáa da. Áko David éí Yuráíyah áyidííniid, Nízaadę́ę́' néínídzáago ha'át'éegoshą' t'áadoo nighangóó nídínídzáa da? 
10:11:011:0	Nít'éé' Yuráíyah éí David áyidííniid, Jó, níbaal biyi'di tsits'aa' dílzinii si'ą́ áádóó Ízrel dine'é índa Júdah dine'é níbaal yii' nidaháaztą́, áádóó bóhonishníihii Jó'ab índa shinanit'a'í bá nidaal'a'í éí t'áá halgaigi nidahaazná. Ákoósh shí t'óó shighangóó nídeeshdáałgo áadi t'óó ashą́ągo áádóó t'óó ashdlą́ągo she'asdzą́ą́ bił shiiłkáah doo? Ts'ídá t'áá aaníí hiníná áádóó nii' sizíinii hiná; shí ałdó' ts'ídá t'áá aaníí doo ákódeeshníił da. 
