7:9:001:1	Abimelech Rules over Shechem
7:9:001:0	One day Gideon 's son Abimelech went to Shechem to visit his uncles—his mother 's brothers . He said to them and to the rest of his mother 's family ,
7:9:002:0	“ Ask the leading citizens of Shechem whether they want to be ruled by all seventy of Gideon 's sons or by one man . And remember that I am your own flesh and blood ! ”
7:9:003:0	So Abimelech 's uncles gave his message to all the citizens of Shechem on his behalf . And after listening to this proposal , the people of Shechem decided in favor of Abimelech because he was their relative .
7:9:004:0	They gave him seventy silver coins from the temple of Baal-berith , which he used to hire some reckless troublemakers who agreed to follow him .
7:9:005:0	He went to his father 's home at Ophrah , and there , on one stone , they killed all seventy of his half brothers , the sons of Gideon . But the youngest brother , Jotham , escaped and hid .
7:9:002:1	Jotham 's Parable
7:9:006:0	Then all the leading citizens of Shechem and Beth-millo called a meeting under the oak beside the pillar at Shechem and made Abimelech their king .
7:9:007:0	When Jotham heard about this , he climbed to the top of Mount Gerizim and shouted , “ Listen to me , citizens of Shechem ! Listen to me if you want God to listen to you !
7:9:008:0	Once upon a time the trees decided to choose a king.First they said to the olive tree , ‘ Be our king ! '
7:9:009:0	But the olive tree refused , saying , ‘ Should I quit producing the olive oilthat blesses both God and people , just to wave back and forth over the trees ? '
7:9:010:0	“ Then they said to the fig tree , ‘ You be our king ! '
7:9:011:0	But the fig tree also refused , saying , ‘ Should I quit producing my sweet fruitjust to wave back and forth over the trees ? '
7:9:012:0	“ Then they said to the grapevine , ‘ You be our king ! '
7:9:013:0	But the grapevine also refused , saying , ‘ Should I quit producing the winethat cheers both God and people , just to wave back and forth over the trees ? '
7:9:014:0	“ Then all the trees finally turned to the thornbush and said , ‘ Come , you be our king ! '
7:9:015:0	And the thornbush replied to the trees , ‘ If you truly want to make me your king , come and take shelter in my shade.If not , let fire come out from meand devour the cedars of Lebanon . ' ”
7:9:016:0	Jotham continued , “ Now make sure you have acted honorably and in good faith by making Abimelech your king , and that you have done right by Gideon and all of his descendants . Have you treated him with the honor he deserves for all he accomplished ?
7:9:017:0	For he fought for you and risked his life when he rescued you from the Midianites .
7:9:018:0	But today you have revolted against my father and his descendants , killing his seventy sons on one stone . And you have chosen his slave woman 's son , Abimelech , to be your king just because he is your relative .
7:9:019:0	“ If you have acted honorably and in good faith toward Gideon and his descendants today , then may you find joy in Abimelech , and may he find joy in you .
7:9:020:0	But if you have not acted in good faith , then may fire come out from Abimelech and devour the leading citizens of Shechem and Beth-millo ; and may fire come out from the citizens of Shechem and Beth-millo and devour Abimelech ! ”
7:9:003:1	Shechem Rebels against Abimelech
7:9:021:0	Then Jotham escaped and lived in Beer because he was afraid of his brother Abimelech .
7:9:022:0	After Abimelech had ruled over Israel for three years ,
7:9:023:0	God sent a spirit that stirred up trouble between Abimelech and the leading citizens of Shechem , and they revolted .
7:9:024:0	God was punishing Abimelech for murdering Gideon 's seventy sons , and the citizens of Shechem for supporting him in this treachery of murdering his brothers .
