66:6:001:1	Bee ída'diiljeehí
66:6:001:0	Nít'éé' Dibé Yázhí nilíinii éí bee ída'diiljeehí naaltsoos bee bidáda'deeshjée'ii tsosts'idígíí ła' ąą yidinízǫ́ǫzgo yiiłtsą́, índa ha'át'íí shį́į́ dahináanii dį́'ígíí ła' biinéé' ii'ni' diits'a'ígíí nahalingo, Hágo! níigo diséts'ą́ą́'. 
66:6:002:0	Nít'éé' jó'akon, ła' łį́į́łgaii léi' yik'i dah sidáago ałtį́į́' dah yootį́įłgo yiiłtsą́, áádóó naat'á ch'ah haa yít'ą́, áko ak'eshdidlį́ índa ak'eh hididleeh doo biniyé łį́į́' bił ch'élwod. 
66:6:003:0	Bee ída'diiljeehí naaltsoos bee bidáda'deeshjée'ii naaki góne'ígíí ąą yidinízǫ́ǫzgo ha'át'íí shį́į́ dahináanii naaki góne'ígíí, Hágo! níigo diséts'ą́ą́'. 
66:6:004:0	Nít'éé' łį́į́' łichíí' léi' ch'ínáánálwod, áko nida'ahiltseed doo biniyé, yik'i dah sidáii nahasdzáán bikáa'gi diné yee k'é da'ahó'níinii yits'ą́ą́' néididooléełgo baa deet'ą́, áádóó diltłish ayóo da'át'éé léi' baa yítą́. 
66:6:005:0	Bee ída'diiljeehí naaltsoos bee bidáda'deeshjée'ii táá' góne'ígíí ąą yidinízǫ́ǫzgo ha'át'íí shį́į́ dahináanii táá' góne'ígíí, Hágo! níigo diséts'ą́ą́'. Nít'éé' jó'akon, ła' łį́į́shzhiin léi' yik'i dah sidáago bee dah ní'diidlohí dah yoo'áałgo yiiłtsą́. 
66:6:006:0	Áádóó ha'át'íí shį́į́ dahináanii dį́'ígíí bitahdę́ę́' ha'át'íí shį́į́ iinée'gi át'éego kóníigo diséts'ą́ą́', Tł'oh naadą́ą́' t'ááłáhídi haaką́ągo béeso denériyas wolyéhígíí bą́ą́h ílį́, áádóó tł'oh naadą́ą́' bidee'í táadi haaką́ągo béeso denériyas wolyéhígíí bą́ą́h ílį́, nidi ak'ah da'ílínígíí áádóó wáin haa dawóole' yíila'! 
66:6:007:0	Bee ída'diiljeehí naaltsoos bee bidáda'deeshjée'ii dį́į́' góne'ígíí ąą yidinízǫ́ǫzgo ha'át'íí shį́į́ dahináanii dį́į́' góne'ígíí, Hágo! níigo biinéé' diséts'ą́ą́'. 
66:6:008:0	Nít'éé' jó'akon, ła' łį́į́' dinilgai léi' yik'i dah sidáago, éí Aniné yoolyé, áko Hool'áágóó Ti'hoo'nííh bikéé' hooleełgo yiiłtsą́. Nihokáá' dine'é dį́į'go bił hahoodzooígíí t'ááłá'ígo hahoodzo bikáa'gi diltłish áádóó dichin áádóó naałniih índa nahasdzáán bikáá'góó naaldlooshii dahashkéii yee nahodoołtsiłgo bee bóhólníihgo baa deet'ą́.  
66:6:009:0	Bee ída'diiljeehí naaltsoos bee bidáda'deeshjée'ii ashdla' góne'ígíí ąą yidinízǫ́ǫzgo, bikáá' náá'iiniihí biyaagi Diyin God bizaad yaa dahalne'go áádóó t'áá éí yee ádaa ch'ídahwiist'ą́ągo biniinaa nidabi'diztseedii bii' naazíinii yiiłtsą́. 
66:6:010:0	Áko éí chánahgo hadadeeshghaazhgo ádaaní, Ni t'éí Bóhólníihii nílíinii, diyin índa t'áá aaníí nílíinii, kodóó hahgoshą' nahasdzáán bikáa'gi kéédahat'íinii nihidił biniinaa baa nídíít'įįł áádóó nihá k'éédidíídlííł? 
66:6:011:0	Nít'éé' éí t'ááłá'í nítínígo éé' łigaii bitaa daastsoozgo ábi'doo'niid, T'ah átsé háádaałyį́į́h, bił nidaał'a'ii índa nihik'isóó t'áá nihí nidanihi'diztseedígi át'éego nidabidi'dootsiłígíí ałtso nidaaztseedgo índa. 
66:6:012:0	Bee ída'diiljeehí naaltsoos bee bidáda'deeshjée'ii hastą́ą́h góne'ígíí ąą yidinízǫ́ǫzgo déé'į́į́', nít'éé' ayóó át'éego ni' nahaasnáá', áádóó jį́honaa'éí éí aghaashzhiin yistł'ónígíí nahalingo łizhin silį́į́', áádóó tł'éhonaa'éí dił nahalingo łichíí' silį́į́', 
66:6:013:0	áádóó fig sikaadii bineest'ą' t'ah doo nit'ánígíí ayóó át'éego bich'į' deeyolgo bąąh nááłdázígi át'éego yádiłhiłdę́ę́' sǫ' éí nahasdzáán bikáa'jį' nááłdááz. 
66:6:014:0	Yádiłhił éí naaltsoos yisdisígi át'éego ałts'ą́ąjį' kódzaa, índa dził áádóó kéyah táyi'góó naaznilii ałtso bił yóó'ahóóyá. 
66:6:015:0	Ákohgo nahasdzáán bikáá'góó aláahgo naat'áanii danilíinii áádóó diné ayóó ádaat'éii áádóó hashkééjí naat'áanii danilíinii áádóó da'at'íinii áádóó dabidziilii, índa naalte' áádóó doo naalte' danilíinii t'áá ałtso dziłdi tsédaa'áángóó índa tsédaatahgóó nídadeest'į́į́'. 
66:6:016:0	Áko dził índa tsé ádeiłní, Nihik'i daołdaasgo bikáá'dóó nahat'áii yik'i dah sidáii binii' índa Dibé Yázhí nilíinii t'óó báhádzidgo yee até'éł'íinii bits'ąą nídanihidoł'įįh! 
66:6:017:0	Háálá ts'ídá t'óó báhádzidgo yee até'éł'į́ yee atí'doolíiłii biniyé ha'íí'ą́ągo háishą' yíneel'ą́ągo yidááhdóó sizį́į doo? 
