66:7:001:1	T'ááłáhídi neeznádiindóó ba'aan dízdiindóó ba'aan dį́įdi mííl bida'diidlidígíí
66:7:001:0	Kódzaadóó bik'ijį' nahasdzáán bikáá'góó, doodaii' tónteel bikáá'góó, doodaii' tsin t'ááłá'í nidi doo bich'į' níyol da dooleeł biniyé, nahasdzáán bikáa'gi t'áá dį́į́'dę́ę́' diyingo nidaal'a'í dį́lt'éego naazį́įgo níyol dį́į'go t'ą́ą́' dayótą'go yiiłtsą́. 
66:7:002:0	Náánáła' diyingo naal'a'í háá'át'áhádę́ę́', Diyin God hináanii bibee í'diidlííd yootį́įłgo hahóóle'go yiiłtsą́, éí diyingo naal'a'í dį́lt'éego nahasdzáán índa tónteel atídeidoolíiłgo bee bóhólníihgo baa deet'áanii ayóó íits'a'go yich'į' hadoolghaazh 
66:7:003:0	kóníigo, Nahasdzáán áádóó tónteel índa tsin t'ááká atídaohłe' lágo, nihiDiyin God bá nidaal'a'í dabítáa'gi bída'diidlidgo índa. 
66:7:004:0	Ízrel dine'é éí ał'ąą dine'é t'áá ałtso dabitahdę́ę́' neeznádiindóó ba'aan dízdiindóó ba'aan dį́įdi mííl yilt'éego bída'diidlid, éí bída'diidlidgo yéélta'ígíí diséts'ą́ą́'. 
66:7:005:0	Júdah dine'é naakits'áadahdi mííl bída'diidlid,Rúben dine'é naakits'áadahdi mííl,Géed dine'é naakits'áadahdi mííl, 
66:7:006:0	Ásher dine'é naakits'áadahdi mííl,Náftalai dine'é naakits'áadahdi mííl,Manáseh dine'é naakits'áadahdi mííl, 
66:7:007:0	Símiyan dine'é naakits'áadahdi mííl,Líívai dine'é naakits'áadahdi mííl,Ísakar dine'é naakits'áadahdi mííl, 
66:7:002:1	Diné t'óó ahayóí áłah nilį́
66:7:008:0	Zébyulan dine'é naakits'áadahdi mííl,Jóseph dine'é naakits'áadahdi mííl,Bénjamin dine'é naakits'áadahdi mííl, kónéelą́ą'go bída'diidlid. 
66:7:009:0	Kódzaadóó bik'ijį' náádéshgal, nít'éé' jó'akon, ał'ąą dine'é bił dah nidahaz'ą́ą́dę́ę́' t'áá ałtso, ał'ąą dine'é áádóó nihokáá' dine'é danilíinii índa bizaad ał'ąą ádaat'éii t'áá ałtso dabitahdę́ę́', éé' łigaii yee hadadít'éego índa páam bi'iil dah dayíléego, diné ła' doo yóołta' ánéelą́ą́'góó t'óó ahayóí áłah nilį́įgo, bikáá'dóó nahat'áii índa Dibé Yázhí nilíinii bidááhdóó naazį́įgo, 
66:7:010:0	ayóó íits'a'go ádaaní,NihiDiyin God éí bikáá'dóó nahat'áii yikáá'dóó dah sidáii índa Dibé Yázhí nilíinii,éí bee yisdá'iildéehii bee bóhólnííh, daaníigo yiiłtsą́. 
66:7:011:0	Bikáá'dóó nahat'áii áádóó hastóí danilíinii índa ha'át'íí shį́į́ dahináanii dį́'ígíí binaadę́ę́' diyingo nidaal'a'í t'áá ałtso naazį́, éí bikáá'dóó nahat'áii yiyaajį' tsé'yaa daneeshjoolgo Diyin God yich'į' nidahasá 
66:7:012:0	kódaaníigo,T'áá ákót'ée doo! Aa ha'niih, ayóó é'ét'é, hódzą́, ahééh hasin, ił ídlį́, óhólnííh índa adziil, éí hool'áágóó ahóyéel'áágóó nihiDiyin God bíí' dooleeł! T'áá ákót'ée doo. 
66:7:013:0	Nít'éé' hastóí danilíinii ła' shich'į' haadzíi'go ání, Díidí éé' łigaii yee hadadít'éhígíishą' háí ádaat'į́, índa háádę́ę'shą' nidahaaskai? 
66:7:014:0	Áko ádíshní, Kwá'ásiní, jó, nił bééhózin. Nít'éé' áshidííniid, Díidí ayóó át'éego ach'į' nahwii'ná yii'dę́ę́' ch'éheeskai. Bi'éé' táádeizgizgo Dibé Yázhí nilíinii bidił yee dayiiłgaígíí ádaat'į́. 
66:7:015:0	Éí bąą Diyin God bibikáá'dóó nahat'áii bidááhdóó yíl'á, bikin bii' sohodizin biyi' góne' yá nidaal'a'go i'ii'aah áádóó niyiiłkaah. Bikáá'dóó nahat'áii yik'i dah sidáii t'áá bí biníbaal hak'íidoołtih. 
66:7:016:0	Doo dichin náádadoodleeł da, doo dibáá' náádadoodleeł da, doo bee náádahodínóogah da, índa hadoh doo náádabidoołch'ił da. 
66:7:017:0	Háálá bikáá'dóó nahat'áii ałníi'gi Dibé Yázhí nilíinii dah sidáii éí haa áhályą́ą doo, áádóó tó hináanii hadaazlį́į́góó há naagháa doo, índa Diyin God éí dahanák'eeshto' t'áá át'é há deidoot'oł. 
