66:10:001:1	Diyingo naal'a'í naaltsoos yisdisí áłts'íísí léi' dah yoo'ááł
66:10:001:0	Nít'éé' náánáła' diyingo naal'a'í ayóó ábóodziilii yá'ąąshdę́ę́' hadahooleełgo yiiłtsą́, k'os yee hadít'éego, nááts'íílid bitsiits'iin binázt'i', binii' éí jį́honaa'éí nahalin, bijáád éí kǫ' náázíinii nahalin. 
66:10:002:0	Naaltsoos yisdisí áłts'íísí léi' ąą át'éego dah yoo'ááł. Bikee' nish'náájí yee tónteel bikáa'gi nideel'eez, índa bikee' nishtł'ají yee nahasdzáán bikáa'gi nideel'eez. 
66:10:003:0	Náshdóítsoh bitsiijį' ditł'ooígíí ayóó íits'a'go ádííniid nahalingo áníigo ii'ni' tsosts'idígíí dadiists'ą́ą́'. 
66:10:004:0	Ii'ni' tsosts'idígíí dadiists'ą́ą'go shí k'adę́ę ak'e'niiłchį́į́ nít'éé' yá'ąąshdę́ę́' iinéé' kóníigo diséts'ą́ą́', Ii'ni' tsosts'id ádadííniidígíí t'áadoo bikáá' áníléhí, t'óó dadi'níłjeeh. 
66:10:005:0	Diyingo naal'a'í tónteel bikáa'gi t'áá éí nahasdzáán bikáa'gi sizį́įgo yiiłtsánígíí, nish'náájí yee yá'ąąshgóó dah didiilnii'go 
66:10:006:0	hool'áágóó ahóyéel'áágóó hináanii, yá'ąąshdi índa biyi'di dahólóonii, nahasdzáán índa biyi'di dahólóonii áádóó tónteel índa biyi'di dahólóonii áyiilaii, Náás doot'ihii doo dínóotł'ah da, níigo yee ádee hadoodzíí'. 
66:10:007:0	Nidi diyingo naal'a'í tsosts'id góne'ígíí bidilní yee ádidooniił beiníłką́ągo, Diyin God yee hoo'áałii doo bééhózin da yę́ę bá nidaal'a'go bá dahalne'ii yee yił hoolne'ígi át'éego bohodoolnííł.  
66:10:008:0	Nít'éé' yá'ąąshdę́ę́' iinéé' diséts'ą́ą'ii shich'į' hanáánáádzíi'go ání, Nílááh, diyingo naal'a'í tónteel bikáa'gi t'áá éí nahasdzáán bikáa'gi sizíinii, bílák'eegi naaltsoos ąą át'éego dah yoo'áłígíí nídii'aah. 
66:10:009:0	Áko diyingo naal'a'í baa níyáago, Naaltsoos áłts'íísíii shaa ní'aah, bidííniid. Nít'éé' áshíłní, Nídii'aahgo niyą́; nibid bił dích'íi' dooleeł, nidi nizée'di tsés'ná bitł'izh nahalingo łikan doo. 
66:10:010:0	Áko diyingo naal'a'í bílák'eedóó naaltsoos áłts'íísígíí nídii'ą́ągo yíyą́ą́', nít'éé' shizée'di tsés'ná bitł'izh nahalingo łikan, nidi ahéłna'go shibid bił dích'íí' silį́į́'. 
66:10:011:0	Áádóó ánááshidoo'niid, Nihokáá' dine'é danilíinii áádóó ał'ąą dine'é bił dah nidahaz'áanii áádóó bizaad ał'ąą ádaat'éii índa aláahgo naat'áanii danilíinii t'óó ahayóígóó bich'į' ádahodooníiłii ts'ídá baa ninááhodíílnih.
