66:14:001:1	Náádabi'diiznii'ii biyiin
66:14:001:0	Ákohgo déé'į́į́', nít'éé' Dził Záíyan bighą́ą'gi Dibé Yázhí nilíinii sizį́įgo yiiłtsą́, bízhi' índa biTaa' bízhi' t'ááłáhídi neeznádiindóó ba'aan dízdiindóó ba'aan dį́įdi mííl ánéelą́ą'go éí dabítáa'gi bee bik'ida'ashchį́įgo yił naazį́. 
66:14:002:0	Tó t'óó ahayóí danílį́įgo dadiits'a'ígíí nahalingo índa ayóó íits'a'go adi'nínígíí nahalingo yá'ąąshdę́ę́' iinéé' diséts'ą́ą́'. Iinéé' diséts'ą́'ígíí tsin bee nida'a'néii tsin tł'óół bąąh daneelzhee'ii yee nidaané nahalingo diits'a'. 
66:14:003:0	Éí bikáá'dóó nahat'áii bidááhdóó áádóó ha'át'íí shį́į́ dahináanii dį́'ígíí bidááhdóó índa hastóíígíí bidááhdóó naazį́įgo sin ániidíii yee dahataał. Ła'da díí sin doo bóhojooł'ááł át'ée da, t'áá hazhó'ó t'ááłáhídi neeznádiindóó ba'aan dízdiindóó ba'aan dį́įdi mííl yilt'éego nahasdzáán bits'ą́ą́dóó náádabi'diiznii'ígíí t'éiyá. 
66:14:004:0	Díí lą́ą asdzání doo yee ádadoolchǫ'ii; doo da'ayéehii danilį́. Díidí Dibé Yázhí nilíinii t'áá naagháágóó yikéé' nidaakai; díidí átsé aneest'ą' danilį́įgo diné bitahdóó Diyin God índa Dibé Yázhí nilíinii ádá nááyiisnii'. 
66:14:002:1	Diyingo nidaal'a'í tált'éego
66:14:005:0	Wooch'ííd t'áadoo dabizéé'dóó dadiists'ą́ą' da, índa t'áadoo bee bik'ídahót'ahí da. 
66:14:006:0	Nít'éé' náánáła' diyingo naal'a'í yá ałníi'gi yit'ahgo yiiłtsą́, nahasdzáán bikáa'gi kéédahat'íinii, ał'ąą dine'é bił nidahaz'áanii áádóó ał'ąą dine'é áádóó bizaad ał'ąą ádaat'éii índa nihokáá' dine'é danilíinii t'áá ałtso hane' yá'át'éehii doo ninít'i'ii yee yił hodoolnih biniyé. 
66:14:007:0	Yéego haadzíi'go ání, Diyin God dadíínóhsin, áádóó baa dahohniih, háálá ánihwiit'aahjį' ahoolzhiizh! Áko Diyin God éí yá'ąąshii áádóó nahasdzáán, tónteel índa tó hadaazlíinii áyiilaii bich'į' nidahohłá. 
66:14:008:0	Náánáła' diyingo naal'a'í naaki góne' kóníigo ch'ínááhoníle', Bábilan, ayóó át'éego kin haal'áhígíí, ahiih náhwiiłdaas, ahiih náhwiiłdaas, háálá hawáin bee na'ageh bee tsi'nijigháii ał'ąą dine'é t'áá ałtso dabijiyííłdlą́ą́'! 
66:14:009:0	Náánáła' diyingo naal'a'í táá' góne', ayóó íits'a'go kóníigo ch'ínááhoníle', Ła'da naaldlooshii naayéé' nilíinii áádóó be'elyaaígíí bich'į' nahojiłáii, áádóó hátáa'gi éí doodaléi' hála' bí'diidlidgo, 
66:14:010:0	t'áá hó Diyin God t'óó báhádzidgo bibee até'él'íinii biwáin jidoodlį́į́ł, doo ałtaa násdziidgóó bibee adlání biih yidziidgo yee hashké nídzinii, áko diyingo nidaal'a'í binááł índa Dibé Yázhí nilíinii binááł kǫ' áádóó tsékǫ' bii' ti'dahojooníih doo. 
66:14:011:0	Áádóó kǫ' bii' ti'dahojooníihgo hool'áágóó ahóyéel'áágóó łid hahagháah doo. Índa naaldlooshii naayéé' nilíinii áádóó be'elyaii bich'į' nidahojiłáii, áádóó t'áá háiida éí bízhi' bee hóda'diidlidii, ts'ídá t'áadoo háádajilyį́hí i'ii'aah áádóó niyiiłkaah. 
66:14:012:0	Díí biniinaa Diyin God bidiyį́į́', éí Diyin God yee has'áanii yik'eh dahół'íinii índa Jesus dayoodlą́ągo ádayósinii hada'ólníi doo. 
66:14:003:1	Nahasdzáán bikáá'góó da'neest'ą́
66:14:013:0	Áádóó yá'ąąshdę́ę́' iinéé' kóníigo diséts'ą́ą́', Díí bee ak'e'íłchí: Kodóó náásgóó Bóhólníihii dayoosdląądgo daninéhígíí bił dahózhǫ́ǫ doo. Áko Níłch'i Diyinii ádííniid, T'áá aaníí éí bił dahózhǫ́ǫ doo, bindaanish yits'ą́ą́dóó háádadoolyįh, háálá nidaas'a'go yee ła'dayiilaii t'áá bił dahólǫ́ǫ doo! 
66:14:014:0	Ákohgo déé'į́į́', nít'éé' k'os łigaigo yiiłtsą́, ła' diné nahojílingo, óola naat'á ch'ah hak'i dí'ą́ągo índa tł'oh bee higéshí deeníigo dah jootį́įłgo k'os bikáa'gi dah dzizdá. 
66:14:015:0	Áádóó kin bii' sohodizin biyi'dę́ę́' náánáła' diyingo naal'a'í k'os bikáa'gi dah sidáhígíí yich'į' dilwoshgo kóníigo ch'íníyá, Nibee iigéshí nídiitįįhgo ayígéésh, háálá nahasdzáán bikáá'góó t'áá íiyisí da'neest'ą́, áko dadi'yoogishjį' ahoolzhiizh. 
66:14:016:0	Áko k'os bikáa'gi dah sidáhígíí habee iigéshí nahasdzáán bikáá'góó bee iijíígizhgo nahasdzáán bikáá'góó neest'áanii jiizhgizh. 
66:14:017:0	Yá'ąąshdi kin bii' sohodizin biyi'dę́ę́' náánáła' diyingo naal'a'í ch'ínáánádzá, éí ałdó' bee iigéshí deeníigo dah yootį́į́ł. 
66:14:018:0	Náánáła' diyingo naal'a'í, éí kǫ' bee bóhólníihii nilį́įgo, bikáá' náá'iiniihí yits'ą́ą́dóó ch'íníyá, áko bee iigéshí deeníigo dah yootį́łígíí yich'į' dilwoshgo kóní, Nibee iigéshí nídiitįįhgo nahasdzáán bikáá'góó ch'il na'atł'o'ii bineest'ą' áłah ánílééh, háálá éí daneest'ą́. 
66:14:019:0	Áko diyingo naal'a'í bibee iigéshí nahasdzáán bikáá'góó yee ajíígizhgo nahasdzáán bikáá'góó ch'il na'atł'o'ii bineest'ą' áłah áyiilaago, Diyin God t'óó báhádzidgo bibee até'él'íinii bich'il na'atł'o'ii yiljizh ayóó át'éii yiih yiyííłkaad. 
66:14:020:0	Kin haal'áhídóó tł'óo'di ch'il na'atł'o'ii bitoo' bąąh haa'nííh biniyé bik'i na'aldeehgo yishjizh, éí biyi'dóó łį́į́' biza'íít'i' bíneel'ą́ągo naakidi neeznádiindi tsin sitą́ ánízahgóó dił íína'.
