40:13:001:1	Parable of the Farmer Scattering Seed
40:13:001:0	Later that same day Jesus left the house and sat beside the lake .
40:13:002:0	A large crowd soon gathered around him , so he got into a boat . Then he sat there and taught as the people stood on the shore .
40:13:003:0	He told many stories in the form of parables , such as this one : “ Listen ! A farmer went out to plant some seeds .
40:13:004:0	As he scattered them across his field , some seeds fell on a footpath , and the birds came and ate them .
40:13:005:0	Other seeds fell on shallow soil with underlying rock . The seeds sprouted quickly because the soil was shallow .
40:13:006:0	But the plants soon wilted under the hot sun , and since they did n't have deep roots , they died .
40:13:007:0	Other seeds fell among thorns that grew up and choked out the tender plants .
40:13:008:0	Still other seeds fell on fertile soil , and they produced a crop that was thirty , sixty , and even a hundred times as much as had been planted !
40:13:009:0	Anyone with ears to hear should listen and understand . ”
40:13:010:0	His disciples came and asked him , “ Why do you use parables when you talk to the people ? ”
40:13:011:0	He replied , “ You are permitted to understand the secrets of the Kingdom of Heaven , but others are not .
40:13:012:0	To those who listen to my teaching , more understanding will be given , and they will have an abundance of knowledge . But for those who are not listening , even what little understanding they have will be taken away from them .
40:13:013:0	That is why I use these parables , For they look , but they do n't really see.They hear , but they do n't really listen or understand .
40:13:014:0	This fulfills the prophecy of Isaiah that says , ‘ When you hear what I say , you will not understand.When you see what I do , you will not comprehend .
40:13:015:0	For the hearts of these people are hardened , and their ears can not hear , and they have closed their eyes—so their eyes can not see , and their ears can not hear , and their hearts can not understand , and they can not turn to meand let me heal them . '
40:13:016:0	“ But blessed are your eyes , because they see ; and your ears , because they hear .
40:13:017:0	I tell you the truth , many prophets and righteous people longed to see what you see , but they did n't see it . And they longed to hear what you hear , but they did n't hear it .
40:13:018:0	“ Now listen to the explanation of the parable about the farmer planting seeds :
40:13:019:0	The seed that fell on the footpath represents those who hear the message about the Kingdom and do n't understand it . Then the evil one comes and snatches away the seed that was planted in their hearts .
40:13:020:0	The seed on the rocky soil represents those who hear the message and immediately receive it with joy .
40:13:021:0	But since they do n't have deep roots , they do n't last long . They fall away as soon as they have problems or are persecuted for believing God 's word .
40:13:022:0	The seed that fell among the thorns represents those who hear God 's word , but all too quickly the message is crowded out by the worries of this life and the lure of wealth , so no fruit is produced .
40:13:002:1	Parable of the Wheat and Weeds
40:13:023:0	The seed that fell on good soil represents those who truly hear and understand God 's word and produce a harvest of thirty , sixty , or even a hundred times as much as had been planted ! ”
40:13:024:0	Here is another story Jesus told : “ The Kingdom of Heaven is like a farmer who planted good seed in his field .
