40:26:001:1	The Plot to Kill Jesus
40:26:001:0	When Jesus had finished saying all these things , he said to his disciples ,
40:26:002:0	“ As you know , Passover begins in two days , and the Son of Man will be handed over to be crucified . ”
40:26:003:0	At that same time the leading priests and elders were meeting at the residence of Caiaphas , the high priest ,
40:26:004:0	plotting how to capture Jesus secretly and kill him .
40:26:002:1	Jesus Anointed at Bethany
40:26:005:0	“ But not during the Passover celebration , ” they agreed , “ or the people may riot . ”
40:26:006:0	Meanwhile , Jesus was in Bethany at the home of Simon , a man who had previously had leprosy .
40:26:007:0	While he was eating , a woman came in with a beautiful alabaster jar of expensive perfume and poured it over his head .
40:26:008:0	The disciples were indignant when they saw this . “ What a waste ! ” they said .
40:26:009:0	“ It could have been sold for a high price and the money given to the poor . ”
40:26:010:0	But Jesus , aware of this , replied , “ Why criticize this woman for doing such a good thing to me ?
40:26:011:0	You will always have the poor among you , but you will not always have me .
40:26:012:0	She has poured this perfume on me to prepare my body for burial .
40:26:003:1	Judas Agrees to Betray Jesus
40:26:013:0	I tell you the truth , wherever the Good News is preached throughout the world , this woman 's deed will be remembered and discussed . ”
40:26:014:0	Then Judas Iscariot , one of the twelve disciples , went to the leading priests
40:26:015:0	and asked , “ How much will you pay me to betray Jesus to you ? ” And they gave him thirty pieces of silver .
40:26:004:1	The Last Supper
40:26:016:0	From that time on , Judas began looking for an opportunity to betray Jesus .
40:26:017:0	On the first day of the Festival of Unleavened Bread , the disciples came to Jesus and asked , “ Where do you want us to prepare the Passover meal for you ? ”
40:26:018:0	“ As you go into the city , ” he told them , “ you will see a certain man . Tell him , ‘ The Teacher says : My time has come , and I will eat the Passover meal with my disciples at your house . ' ”
40:26:019:0	So the disciples did as Jesus told them and prepared the Passover meal there .
40:26:020:0	When it was evening , Jesus sat down at the table with the Twelve .
40:26:021:0	While they were eating , he said , “ I tell you the truth , one of you will betray me . ”
40:26:022:0	Greatly distressed , each one asked in turn , “ Am I the one , Lord ? ”
40:26:023:0	He replied , “ One of you who has just eaten from this bowl with me will betray me .
