23:22:001:1	Honíts'aa'gi ił áhodooníłígíí át'ée dooleełii
23:22:001:0	Honíts'aa'gi ił áhodooníłígíí ch'ét'ą́.Haa lá daohdzaago kin bighą́ą'jį' hadahishoojéé'? 
23:22:002:0	Kin haal'áhídóó nihił dahóóląądii áádóó hahooł'áago ałk'i naołdeehii índa bił dahoneenii danohłíinii, haa lá daohdzaa? Nidine'é daneeznánígíí diltłish doo bee nidabi'diztseed da, áádóó doo anaa'di daneeznáa da. 
23:22:003:0	Ninanit'a'í danilíinii t'áá ałtso ahidahidíníichą́ą'go t'áá éí da'diłt'ohii t'áágééd dabi'disná; nízaadgóó nidahineezhchą́ą'ii bitahdóó nihik'ída'iiskaii t'áá ánółtso danihi'disná. 
23:22:004:0	Éí bąą ádíshní, T'áadoo dashinół'íní; shidine'é bich'é'é yíchxǫ'go biniinaa t'áá íiyisí yéego deeshcha nisingo t'ááká hadashi'iyoołnííh lágo. 
23:22:005:0	Háálá ach'į' nahwii'ná baa yiníłką́ áádóó ałk'i na'aldeeh áádóó yíní dááląąd índa kin haal'á binaa ahééda'astł'inii naa'ahiłdaas, áádóó dził bich'į' dazhdilwosh. Éí honíts'aa' góyaa ił áhodooníłígíí t'áá ałtsoní bee Bóhólníihii hak'ijį' kóyiilaa. 
23:22:006:0	Íílam dine'é k'aayééł dah deíłjiid áádóó Síriya dine'é tsindaabąąs bijáád naakiígíí áádóó łį́į́' yee dah deínééh índa Ker dine'é naagé yááda'dééłtsooz. 
23:22:007:0	Áko díí baa hoolzhiizhgo dahoníts'aa' dahózhóní yę́ę góyaa tsindaabąąs bijáád naakiígíí hadadéébįįd, índa kin haal'á bich'é'étiingi łį́į́' yee ałkéé' niníná. 
23:22:008:0	Áádóó Júdah dine'é bibee adziilii yę́ę yáádééłtsooz. Dilk'is dantsxaazii bee kin ályaii bii' naagé hólónígíí baa dadzíínóhłíí nít'éé'. 
23:22:009:0	David bikin haal'á binaa ahééda'astł'inii t'óó ahayóígóó nidahaasdáazgo danóoł'į́į́'; tó sikánígíí náánáłahdę́ę́' biih yílį́įgo ádaohłaa. 
23:22:010:0	Áádóó Jerúsalem góne' daakinígíí deínóołta', índa éí daakinígíí ła' táádeisoohnilgo bee kin haal'á ditą́ągo binaa ahéé'ítł'inii áńdaohdlaa. 
