23:43:001:1	Bóhólníihii t'áá bí t'éiyá ak'é niná'iidléii nilį́
23:43:001:0	Nidi k'ad Bóhólníihii éí ániilaii, Jéíkab dine'é nílíinii, t'áá éí hasht'eniilaii, Ízrel dine'é nílíinii ándi'ní, T'áadoo nił yé'í, háálá nik'é niná'níshdlá; nízhi' bee níízhi'; shíí' nílį́. 
23:43:002:0	Tó biyi'góó ch'íhínáahgo nił honishłǫ́ǫ doo, áádóó tooh danílíinii biyi'góó ch'íhínáahgo doo nik'i didoolkǫǫł da; kǫ' biyi'góó ch'íhínáahgo doo nididoohłił da, doo nidi kǫ' dah nídíno'ii nídínaad da doo. 
23:43:003:0	Háálá shí niBóhólníihii Diyin God, Ízrel biDiyin nilíinii, yisdánííłtíinii nishłį́; Ííjip dine'é áádóó Iithiyópiya dine'é índa Síiba dine'é éí nályééh ádaat'éego ná nináníshdlá. 
23:43:004:0	Shił anílį́įgo áádóó ił nílį́įgo índa ayóó'áníínísh'níigo bąą diné danilíinii nik'é nináníshdlá índa dadine'é ne'iina' bik'é nináníshdlá. 
23:43:005:0	T'áadoo nił yé'í, háálá nił honishłǫ́; ha'a'aahdę́ę́' na'áłchíní nihideesh'ish índa e'e'aahdę́ę́' ná áłah ádeeshłííł; 
23:43:006:0	náhookǫs ábidideeshniił, Ninádadinoh'aah, áádóó shádi'ááh ábidideeshniił, T'áadoo t'ą́ą́' deínóhtą'í; nahasdzáán nidanees'ą́ą́dę́ę́' shiye'ké áádóó shitsi'ké ninádahoh'éésh; 
23:43:007:0	t'áá éí t'ááłá'í jinítínígo shízhi' bee daho'dééji'ígíí ninádahoh'éésh, háálá bee shaa ha'niih doo biniyé áhooshłaa, hasht'e'nihó'nínii'; t'áá aaníí, áhooshłaa. 
23:43:008:0	Bináá' dahólǫ́ǫ nidi, doo da'oo'íinii áádóó bijaa' dahólǫ́ǫ nidi, bijédaahkałii nidahoh'éésh. 
23:43:009:0	Bíni'dii ał'ąą dine'é ahanehekááh, áádóó bíni'dii dadine'é áłah yileeh; bitahdóó háísh díí áádóó ałk'idą́ą́' yę́ę nihich'į' yit'íní íidoolíiłgo yaa hodoolnihgo yíneel'ą́? Bá oo'íinii danilíinii bíni'dii nidayii'éésh, áko t'áá ákogi ádaat'éego bá ha'doodzih; doodaii' da'didoots'į́įłgo áádóó ádadidooniił, Díí t'áá aaníinii át'éé lá. 
23:43:010:0	Shá oo'íinii danohłį́, ní Bóhólníihii, áádóó shá naal'a'í éí nídiiłtíinii nílį́; shééhonísin áádóó shiinídlą́ą doo índa Diyin God nishłį́įgo bik'idi'díítį́į́ł biniyé nándiiłtį́; shítséedi doo diyin ła' hólǫ́ǫgo ályaa da, doo shikéédę́ę́' ła' hólǫ́ǫ da doo. 
23:43:011:0	Shí t'áá aaníí Bóhólníihii nishłį́; doo ła' yisdánáá'ii'níił da. 
23:43:012:0	Diyin dabidi'níinii doo nihitah hólǫ́ yę́ędą́ą́' yisdá'iildééh bee nihich'į' haasdzíi'go nihich'į' yit'íní íishłaa; éí bąą Diyin God nishłį́įgo shá oo'íinii danohłį́, ní Bóhólníihii. 
23:43:013:0	T'ah doo yidiiłkaahdą́ą́' t'áá aaníí Diyin God nishłį́; doo ła' shigha nihidoo'niłgo yíneel'ą́ą da; nideeshnishgo doo ła' ni' hwíidoolíił da. 
