23:26:001:1	Bóhólníihii baa ahódlíigo aa áhályą́ą́jí sin
23:26:001:0	Éí yoo łkáałdi Júdah dine'é bikéyahdi díí sin nididoot'ááł:Bidziilgo nihikin haal'áago binaa ahééda'astł'inígíí bighą́ą́'dóó bine' na'adzi'ii bee yisdá'iildééh. 
23:26:002:0	Dine'é t'áá ákogi ádaat'éii bada'ahódlíii yah ahidookah biniyé dáń'da'ditį́į́hgóó ąą ádaohłe'. 
23:26:003:0	Doo naa yoonééhgóó nitsíkeesii t'áá ałtsojį' bił hodéezyéelgo íínísin doo,háálá neidzólí. 
23:26:004:0	Hool'áágóó Bóhólníihii baa dzíínílí,háálá Bóhólníihii Diyin God yee bidziilii hool'áágóó hólǫ́. 
23:26:005:0	Be'áshodahódli'go kéédahat'íinii ádaa dahojoolbá'ígo ádeile';kin haal'áago ayóo ch'íbidit'áhígíí nideeztąądgo ádeile';ni'góó nideeztąądgo ádeile', łeeshtahdi nideeztąądgo ádeile'. 
23:26:006:0	Hak'i nidooldah;badahojoobá'íii hojooba' nahas'áanii hak'i nidookah. 
23:26:007:0	Diné t'áá ákogi ááníiłii éí doo bina'adlo'góó k'éhézdon yigááł;t'áá ákǫ́ǫ́ ááníiłii nílíinii, diné t'áá ákogi ádaat'éii bá k'íhóółdǫǫł. 
23:26:008:0	Bóhólníihii nílíinii, á nihoyí'aahígíí bik'ehgoniba' ádaniit'éé nít'éé';nihii' sizíinii éí nízhi' bee ni'dójíigoáádóó néédeiilniih doogo yídin nilį́. 
23:26:009:0	Tł'ée'go shii' sizíinii bee nídin nishłį́;t'áá aaníí, níłch'i shii' sizíinii bił haleebee handínéeshtaał,háálá nahasdzáán bikáa'gi á nihoyí'aahígíínihokáá' dine'é éí t'áá ákogi át'éii yídahooł'aah. 
23:26:010:0	Azhą́ bee ach'oha'níinii diné doo yá'áshóonii bee bíká o'oolwodnidi, t'áá ákogi át'éii doo yíhwiidooł'áał da;kéyah na'adlo' bąąh ádingo k'éhézdon iináadi t'áadoo ákǫ́ǫ́ éí áát'įįłgo bina'adlo' doo,áádóó Bóhólníihii yee ayóó át'éii doo t'áá k'ad yaa ákoniizį́į' da. 
23:26:011:0	Bóhólníihii nílíinii, naanish ayóó át'éii biniyé k'ídíínílnii' nidi,doo deidoołtséeł da,nidi diné t'áá íiyisí bíninidlínígíí dayiiłtsą́ągo yádadínóozįįł;ni'ana'í t'áá aaníí adidook'ą́ą́ł.  
23:26:012:0	Bóhólníihii nílíinii, bee ach'į' hózhóonii nihá ats'ání'aah,háálá bindashiilnishígíí ałdó' t'áá ałtso nihá binishínílnish. 
23:26:013:0	Bóhólníihii nihiDiyin God nílíinii,náádaała' bídahólníihii nihee ádidahólnííh nít'éé',nidi ne'ajooba' t'éiyá bee danííníijíi doo. 
23:26:014:0	Éí daneezná áádóó doo dahináa da doo;ádaadin áádóó daneeznáádę́ę́' doo náádahididoojah da;éí bąą baa nanínítą́ą'go ádasíníłdįįdáádóó bee béédahaniih yę́ę t'áá ałtso baa dahoyoos'nahgo íinilaa. 
23:26:015:0	Bóhólníihii nílíinii, nidine'é k'ee'ąą díníníłt'ą́,nidine'é k'ee'ąą díníníłt'ą́;ayóó ánít'éego naa ha'niih;kéyah hoodzooígíí k'ee'ąą dadííníłdéél. 
23:26:016:0	Bich'į' nidahwii'náago nich'į' choda'oos'įįd, Bóhólníihii nílíinii;t'áá hashkée nanítingonich'į' t'áá hazhóó'ígo sodadoolzin. 
23:26:017:0	Asdzání k'adę́ę a'niiłchį́įgoawéé' bí'nahgo bił náhoniigahgo hanáchahígi át'éegonihí, Bóhólníihii nílíinii, nich'į' ákódaniit'éé nít'éé'. 
23:26:018:0	Deiiltsą́ą́ nít'éé', awéé' nihéédadii'nah nít'éé',níyol t'éiyá dashiilchį́įgi ádeidzaa;nihokáa'gi t'áadoo yisdáda'ii'nil da,doo nidi nihokáá' dine'é ła' dashiilchį́į da. 
23:26:019:0	Diné daneeznáanii dahináa doo;shidine'é daneeznánígíí náádidoojah.Łeeyi' shoojée'ii, ch'éédaohdzíidgo dahohtaał,háálá t'áá ch'il dahtoo' bąąhgo bee bits'ádi'nídínígi át'éego nee adinídíín,áádóó nahasdzáán éí daneeznáanii hinááh ánéidoodlíiłgo háidoo'nił. 
23:26:020:0	Hágo, shidine'é, náwóne'é góne' yah ahohkáahgo ádá dadi'nołkaał;t'óó báhádzidgo hashké hwiiniidzį́į'go bee atí'él'íinii ałtso ádzaajį' t'óó kónígháníjį' nídadooht'įįh. 
23:26:021:0	Háálá nihokáá' dine'é doo ákwii ádáát'įįdii biniinaa atíidoolííł biniyéBóhólníihii bił haz'ą́ą́dóó ch'íníyá, jó'akon;nihokáá' dine'é bidił bits'ádaazlį́įgo ádeile'iiyidooltsééł áádóó nidadzistseedii doo nínáádazhdidooł'į́įł da.
