23:64:001:0	Yádiłhił ąą dóółdlaad laanaa; hadaóya' laanaa; nidáahgi dził daditłid laanaa. 
23:64:002:0	Kǫ' éí chizh yidoołk'ą́ąłgo tó yiłbézhígi át'éego dził daditłid laanaa; éí bee ni'ana'í bich'į' nízhi' bééhózin doo índa nidáahgi dadine'é bitah dahoditłid doo! 
23:64:003:0	Doo nidayíníidlíi da yę́ę t'óó báhádzidígi íínít'įįd; hadéíníyáago dził nidáahgi daditłid. 
23:64:004:0	Háálá nahasdzáán t'óó bee hahoolzhiizhdóó wóshdę́ę́' t'áá nigi át'éii Diyin God nílíinii, niba' át'éii bá hasht'ehóléhígíí doo yaa dahodiits'į́įh da índa doo deidiits'į́įh da, doo nidi ła'da dayiiłtsą́ą da. 
23:64:005:0	T'áá ákogi ááníiłgo bił hóshóonii índa nik'ehgo deíkáahii yéédaalniihígíí bidááh yíníyá; jó, bąąhági ádeiidzaa biniinaa yéego náháchį'. Éí bii' nízaadgóó náás yiikahgo, ákoósh yisdánihidíínił? 
23:64:006:0	Nidi t'áá áníiltso chin nilíinii nidahoniidlin áádóó t'áá ákogi ádeiit'ínígíí anilí baa'ihii nidahalin, índa t'áá áníiltso at'ąą' dadiibéehii nidahoniidlin áádóó doo ákwii ádeiit'ínígíí níyol nahalingo yóó'adanihii'éésh. 
23:64:007:0	Áádóó niidoołtsoł biniyé doo ła' tsídíkeesgo nízhi' yózhíigo ná'ookąąh da, háálá ninii' nihits'ąą nídíníł'į́į́' áádóó doo yá'áshǫ́ǫ́góó ádeii'níiłii biniinaa ánihííłdįįł. 
23:64:008:0	Nidi k'ad, Bóhólníihii nílíinii, nihiTaa' nílį́; hashtł'ish daniidlį́; ni éí hashtł'ish ásaa' ííł'íinii nílį́, áádóó t'áá áníiltso nihinishínílnishii daniidlį́. 
23:64:009:0	T'áadoo ayóó át'éego náháchį'í, Bóhólníihii nílíinii, áádóó doo ákwii é'ét'éii t'áadoo béénílniihí; shoo, nihiníníł'į́, nídaniikąąh, t'áá áníiltso nidine'é niidlį́. 
23:64:010:0	Nikin hadaas'áii dadiyinii yę́ę éí halgai daazlį́į́'; Záíyan kin haal'áii éí halgai nilį́; Jerúsalem éí doo nidaagháhí da. 
23:64:011:0	Nihikin bii' sohodizin diyingo áádóó ayóó ánoolningo si'ą́ yę́ęgi danihizhé'é yę́ę naa dahaniih nít'éé' yę́ęgi ałtso dadíílid índa t'áadoo le'é nihił dahóshóonii ałtso t'áá ádzaaí daazlį́į́'. 
23:64:012:0	Bóhólníihii nílíinii, da' kóhóót'įįdígíísh biniinaa t'ą́ą́' kónít'ée doo? Da' t'óósh dííníłhéelgo yéego nihich'į' hodiyííłnááł?
