23:17:001:1	Damáskas át'ée dooleełii
23:17:001:0	Damáskas át'ée dooleełii ch'ét'ą́. Shoo, Damáskasgi doo kin hanáánáál'áa da dooleeł, nidi éí kin ałtso ałk'i dahiiłdáaz dooleeł. 
23:17:002:0	Aró'er kin hadaas'áhígi doo nidaagháhí da dooleeł; dibé dah danéelkaadii t'áadoo yéédaaldzidígóó ákwii naazhjée' dooleeł. 
23:17:002:1	Ízrel dine'é yaa nídóot'įįł
23:17:003:0	Íífreiyim kéyahgi kin haal'áii biná'ástł'inígíí áádóó Damáskasgi bee íhólníihgo bił haz'áanii índa Síriya dine'é daadzí'ígíí ádadoodįįł, áádóó Ízrel dine'é yee ayóó át'éii nidahalin dooleeł, ní t'áá ałtsoní bee Bóhólníihii. 
23:17:004:0	Áko éí yoołkáałdi Jéíkab yee ayóó át'éii a'ohgo ádoolnííł, áádóó neesk'ahígíí éí bits'iiní dooleeł. 
23:17:005:0	Ayizhii ayizhígi át'éego áádóó bigaan yee ahani'iiłjoołígi át'ée dooleeł áádóó Réfeiyim yíldzisgi da'oogizhgóó ła' nahozhdidáhígi át'ée dooleeł. 
23:17:006:0	Azhą́ ákódaadzaa nidi, áliv sikaadii yigáadgo bineest'ą' t'áá díkwíhí t'áadoo bąąh naníídee' daígi át'éego, éí aghádaaz'áhígíí bi'oh dahonee'ą́ądi t'áá ła' bąąh dah naaznilígi át'éego t'áá díkwíí jílt'éhí dadzoodzíi' dooleeł, ní Ízrel biDiyin God Bóhólníihii. 
23:17:007:0	Éí yoołkáałdi diné Ábiilaii yaa nitsíkees dooleeł, áádóó Ízrel biDiyin nilíinii bił nilį́įgo yiníł'į́į doo. 
23:17:008:0	Áádóó bikáá' náá'iiniihí t'áá bí áyiilaa yę́ę doo yiníł'į́į da dooleeł, índa asdzání bida'alyaii, doodaii' eda'alyaii t'áá bí áyiilaa yę́ę doo bił nilį́į da dooleeł. 
23:17:009:0	Ízrel dine'é aadę́ę́' yinéełgo biniinaa tsintah haz'ą́ áádóó bits'ádaoz'a' yóó'adoot'ánígi át'éego éí yoołkáa łdi bidziilgo bikin hadaas'áhígíí yóó'adeididoo'ááł áádóó bikéyah t'áadoo násdlį́'ígóó haz'ą́ą doo. 
23:17:010:0	Háálá niDiyin God bee yisdá'iildéehii beisínínah áádóó Tsé bine' ahiníchéehii doo béénílniih da; éí bąą k'idíléii ayóó ánóolningo k'idííníláago ch'il t'áá sahdii át'éii bił k'idíínílá; 
23:17:011:0	éí bijį́įdi hazhó'ó dínóosééł biniyé hasht'einilaa áádóó k'idííníláhígíí ła'a jį́ nizhónígo nooséełgo íinilaa, nidi t'óó báhádzidgo yínííł áde nídíníílt'į́įłgo baa yínííł nanináa doo. 
23:17:012:0	Ge', tónteel ayóó íits'a' nahalingo áádóó ayóó át'éego tó t'óó ahayóí dzoołhał nahalingo ał'ąą dine'é t'óó ahayóí ayóó íits'a'go hahóół'á. 
23:17:013:0	Tó t'óó ahayóí dzoołhał nahalingo ał'ąą dine'é hahóół'á, nidi dziłghą́ą́'dóó azhool bił náhidiiyóół nahalingo áádóó nááts'ó'oołdísii łeezh dibahí naanáyooghas nahalingo Diyin God bididootehgo doo deeghánígóó yóó'ahidoojah. 
23:17:014:0	I'íí'ą́ąjį' ahoolzhiizhgo, jó, t'óó hóóyéé' hodooleeł, áádóó biiskání abínígo doo nidaagháhí da doo. Díí yisnááh ádanihósin yę́ę áádóó nihighada'ii'nííł yę́ę bich'į' kóhodoonííł.
