23:14:001:1	Bábilan dine'é aláahgo binanit'a'í bá nahat'i'
23:14:001:0	Jó, Bóhólníihii éí Jéíkab yaa a'áhí dínóozįįł, áádóó Ízrel dine'é nínéidiyoodlah, áádóó t'áá bí bikéyahgi kééhat'į́įgo ánéidoodlííł, áko dé'éyóní danilíinii baa hakáahgo Jéíkab dine'é yił łá'í danilį́į dooleeł. 
23:14:002:0	Áádóó ał'ąą dine'é háká anídoojahgo t'áá hó hakéyahgóó anídahwii'éesh doo, áko Bóhólníihii bikéyahgi Ízrel dine'é éí diné naalte' áádóó asdzání naalte' danilíinii bee dahodooleeł; yisnááh ádahoolaa yę́ę yisnááh áńdazhdoodlííł, áádóó hade áhoot'é ádahósin nít'éé' yę́ę bininádazhnt'áa doo. 
23:14:003:0	Áko Bóhólníihii éí yínííł nílíinii áádóó nich'į' nahwii'náanii índa t'áá íiyisí naalte' nílį́įgo nanil'a' yę́ę bits'ą́ą́dóó háá'áyį́į́h neidiní'ą́ bijį́įdi 
23:14:004:0	Bábilan dine'é aláahgo binanit'a'í áłt'ąą la' díí bee haa hane' dohníigo ádadoohníi doo, Dooládó' ade íinízinii yę́ę t'áadoo násdlį́'í da, hashké nídzin yę́ę t'áadoo násdlį́'í da! 
23:14:005:0	Bóhólníihii éí doo yá'ádaashóonii bigish áádóó aláahgo naat'áanii binaat'á gish yits'ą́ą́' niyiizti'. 
23:14:006:0	Éí dine'é danilíinii yich'į' t'óó báhádzidgo bádahóóchįįdgo yik'ída'oołhaałgo atídayiilaa áádóó hashké dandzingo yik'ída'oołhaałgo atídayííł'įįd. 
23:14:007:0	Nihokáá' dine'é t'áá ałtso háádaalyį́į́h áádóó bił hasht'ehodíít'e'go sin yee adaho'niitáál. 
23:14:008:0	Ch'ó yíl'áii naa bił nidahoozhǫǫh doo índa Lébanangi gadtsoh deíl'áhígíí ádaaní, Wóyahgo áni'diilyaago biniinaa k'ad diné doo ła'da danihizhdootsił da. 
23:14:009:0	Ch'į́įdiitah kéédahat'ínígíí nidááh dookahgo hideesnáá'; daneeznáanii t' áá éí nihokáá'góó aghádahideezíinii nayiisnáá', áko ał'ąą dine'é aláahgo binanit'a'í danilíinii t'áá ałtso yikáá'dóó nidaha'áii yikáá'dóó nídahidiikai. 
23:14:010:0	T'áá ła' bizhi'ee t'áá ałtso ádandidooniił, Da' nihí ádaniit'éhígi át'éegoósh ni ałdó' doo nidziil da sínílį́į́'? Da' nihí ádaniit'éhígiísh ánít'é sínílį́į́'? 
23:14:011:0	Bee ayóó ánít'éii yę́ę áádóó tsin tł'óół naakits'áadah bąąh daneelzhee'go bee na'a'néego diits'a' yę́ę jishcháa'jį' silį́į́'; ch'osh niyaa yáádanii'áa doo índa nik'i yáádanii'áa doo. 
23:14:012:0	Sǫ'tsoh, hayoołkááł biye' nílíinii, Lúsifer, dooládó' yá'ąąshdę́ę́' hadadzííníłhaal da! Ał'ąą dine'é doo dabidziilgóó ádanile'ii nílíinii, dooládó' nihokáa'jį' andi'yoolghan da! 
23:14:013:0	Háálá t'áá ádíyi'ídi ádííníniid, K'os bilááh góde hadeeshááł, shibikáá'dóó nahat'áii éí Diyin God bisǫ' dah naaznilígíí biláahdi dah deesh'ááł; náhookǫsjí wódahgo áłah nilíinii bił dah naháshtą́ą doo; 
23:14:014:0	k'os nidaalzhoodígíí biláahdi hadeeshááł; Aláahgo Ayóó'át'éii nahonishłingo ádi'deeshnííł, nínízin. 
23:14:015:0	Ákondi ch'į́įdiitah góyaa áádóó a'áán doo nihoodzą́ąjį' ni'doolnih. 
23:14:016:0	Daniiłtsánígíí éí hazhó'ó dandínóoł'įįł áádóó naa nitsídaakeesgo ádadidooniił, Da' díí diné éí nahasdzáán nayiisná'ígíí áádóó óhólníihgo bił dah nidahaz'áanii yitah dahodiisnáa'go áyiilaii 
23:14:017:0	áádóó honoojí nahalingo nahasdzáán áyiilaii áádóó kin hadaas'áii íísdįįdígíí índa awáalyaaí doo t'áá k'ad yéé'níłnii'ígíí díísh éí át'į́? 
