23:32:001:1	Aláahgo naat'áanii t'áá ákogi át'éii
23:32:001:0	Jó, aláahgo naat'áanii t'áá ákogi át'éego nant'áa doo, áádóó naat'áanii danilíinii doo haada yit'éégóó bídahólnííh. 
23:32:002:0	Áádóó diné ła' níyol bits'ąą índa níyoltsoh bits'ąą bine' a'niichéehii nahalin doo, áádóó kéyah hóółtseigi tooh danílíinii nahalin, índa kéyah náhodínéesdzáagi tsé bee bichaha'ohígíí nahalin doo. 
23:32:003:0	Áádóó da'oo'ínígíí dabináá' doo ádaadįįł da doo áádóó dadiits'a'ígíí bijaa' yee da'íists'ą́ą' doo. 
23:32:004:0	Doo dahóyą́ą́góó tsį́į́ł áda'dil'íinii bijéí yee ił ééhózin yik'idadi'dootį́į́ł, áádóó ałt'adandzihii éí t'áá bééhózínígo hadadoodzihii yee hasht'e'ádadoolzin doo. 
23:32:005:0	Doo áhályáanii doo diné ílíiniigóó náábi'dídóojiił da índa t'óó áhodiilgisii éí bił hadlee' doo náábididoo'niił da. 
23:32:006:0	Jó, diné doo áhályánígíí éí saad doo yá'át'éehii yee yáłti' áádóó doo ákwii át'éii áyoolííł, áko doo Diyin God k'ehgo áánííłgóó yik'ijį' doo yá'áshǫ́ǫ́góó yáłti' áádóó diné bii' naazíinii dichin danilíinii doo hwiih danilį́į́góó áyósingo índa dibáá' danilíinii tó bi'oh dahiniłnéehgo áyósingo bijéí biyi'di doo yá'át'ééhgóó naha'á. 
23:32:007:0	T'óó áhodiilgisii yee ááníłígíí ałdó' doo yá'áshǫ́ǫ da; azhą́ jooba' nahas'áanii t'áá ákogi át'éego yádaałti' nidi, badahojoobá'íii wooch'ííd yee íidoołdįįłgo yinaha'á. 
23:32:002:1	Jerúsalemgi sáanii t'ahídą́ą́' bee i'ílnii'ii
23:32:008:0	Nidi diné ílíinii éí yá'ádaat'éehii yinaha'á áádóó yá'ádaat'éehii yee sizį́. 
23:32:009:0	Sáanii danohłíinii, doo hodítéehii dahinohnáanii dahidohnááh; atsi'ké doo bił ádahoot'éhí danohłíinii, shiinéé' dadoohts'į́į́h áádóó shizaad deísółts'ą́ą́'. 
23:32:010:0	Sáanii doo bił ádahoot'éhí danohłíinii, nááhaidóó t'áá díkwíí yiską́ąjį' nihich'į' nidahwii'náa doo, háálá ch'il na'atł'o'ii doo bąąh na'nt'ą' da doo, áádóó doo bąąh ná'óbeeh da doo. 
23:32:011:0	Sáanii danohłíinii, doo hodítéehii dahinohnáanii, nihitah dahoditłid le'; doo bił ádahoot'éhí danohłíinii, yínííł danohłį́į le'; nihi'éé' hadahidoohníiłgo t'áá dałinohchí'ígo tł'oh azis bił áká daołzis. 
23:32:012:0	Nihiyid nidanołts'ingo dá'ák'eh hózhóní yę́ę áádóó ch'il na'atł'o'ii bineest'ą' yę́ę bąąh danihíni'go atínídadinohdleeh. 
23:32:013:0	Shidine'é bikéyah bikáá' ch'il deeníní áádóó ch'il da'dishahii hadadínóot'į́įłii, t'áá aaníí, kin bii' ił hózhǫ́ yę́ę índa ił hózhǫ́ǫgo kin haal'á yę́ę bąąh danihíni'go atínídadinohdleeh, 
23:32:014:0	háálá aláahgo naat'áanii dabighan yóó'adidoot'ááł; kin haal'áagi kéédahat'íinii yóó'ahidoonééł; bine' na'adzi'ii bá nahaz'ánígóó áádóó kin yadaa'áhígóó hool'áágóó naaldlooshii dabighan doo; ákwii télii ałchinii bił dahózhǫ́ǫ doo índa dibé da'ałchozh doo. 
23:32:015:0	Yá'ąąshdę́ę́' Níłch'i Diyinii nihik'ijį' bi'ílnii'jį' áádóó honoojíidi aneest'ą' t'óó ahayóí silį́į'jį' índa kéyah bikáá' nida'nt'ą'ígíí éí tsin bee hodíłch'il nahalingo baa nitsáhákees silį́į'jį' éí ákóhoot'ée doo. 
23:32:016:0	Ákohgo honoojíidi doo haada yit'éii hólǫ́ǫ doo áádóó kéyah bikáá' nida'nt'ą'ígi t'áá ákogi át'éii hólǫ́ǫ doo. 
23:32:017:0	Áádóó t'áá ákogi át'éii éí bee hasht'ehodít'ée doo índa t'áá ákogi át'éii bee ił hodéezyéél áádóó hoł t'áá aaníigo át'éii iidééłní. 
23:32:018:0	Áko shidine'é hasht'ehodít'éego haz'ą́ągi áádóó hasih haz'ą́ągi índa hodéezyéelgo háá'áyį́įhgi kéédahat'į́į doo; 
23:32:019:0	tsin bee hodíłch'ilgi níló nááłtą́ągo wóyahgo haz'ánígi kin haal'áii a' ohgo dooleeł. 
23:32:020:0	T'áá ałtsogóó tábąąhgi k'ééda'doohdléhígíí áádóó béégashii áádóó télii bééda'ołnihígíí nihik'idahojidlí.
