23:13:001:1	Bábilan át'ée dooleełii
23:13:001:0	Éímaz biye' Aizéíyah Bábilangi át'ée dooleełii yiyiiłtsą́. 
23:13:002:0	Dził agháhóó'áadi dah na'at'a'go ádíílííł, diné ách'į' bídíígishgo ayóó íits'a'go hadidíílwosh, áko naat'áanii danilíinii bich'éédą́ą́' góne' yah ahidoojah. 
23:13:003:0	T'áá shí diyingo ádaashłaaígíí bich'į' bee haasdzíí'; diné dahayóii shá anada'ał'íinii t'áá bí shee ádaa deidzódlíii yaa bił dahózhǫ́ǫgo sháhóóchįįdígíí yida'doolííł biniyé bíká ádííniid. 
23:13:004:0	Ge', hahodíídláád nahalingo dził dabighą́ą́dę́ę́' diné ts'ídá t'óó ahayóí ayóó íits'a'go dideezdláád; aláahgo bee óhólníihgo bił dah nidahaz'ą́ą́dę́ę́' ayóó ádeits'a'go ał'ąą dine'é t'áá ła' bizhi'ee ałk'ída'asoł. T'áá ałtsoní bee Bóhólníihii éí anaa' biniyé siláo dah deínéehii nídahidiibáahgo áyiilaa. 
23:13:005:0	Kéyah t'áá át'é yidoołchǫǫł biniyé kéyah nidahonees'ą́ą́dę́ę́' éí nahasdzáán bił adahwiis'áádę́ę́' Bóhólníihii hashké nídzingo yee ana' ał'íinii danilíinii nidahaaskai. 
23:13:006:0	Ayóó íits'a'go daahchxa, háálá Bóhólníihii anídóot'įįł baa hoolzhíísh; Aláahgo Ayóó'ábóodziilii ánihidoołdįįłígíí baa hodoolzhish. 
23:13:007:0	Éí bąą dayílá t'áá át'é ałtso doo dahiidoonaał da, áádóó diné t'ááłá'í nítínígo dabijéí tsidadooltłił, 
23:13:008:0	áko nídadooldzííł; bił nidahonigaahgo áádóó yínííł bide ádaat'ée doo; t'áá asdzání i'niiłchíihgo bił nahonigaahígi át'éego bił nidahonigaah dooleeł; kǫ' nahalingo binii' deidoochxihgo ałch'į' t'óó bił adahayói doo. 
23:13:009:0	Shoo, Bóhólníihii atí'éł'į́įgo anídóot'įįł beidoołkááł, áko ts'ídá doo chohoo'į́į́góó t'óó báhádzidgo bá hodoolchįįłgo áádóó t'áá íiyisí báháchį'go nahasdzáán t'áá ádzaaí íidoolííł, áádóó bąąhági ádaaníiłii íidoołdįįł. 
23:13:010:0	Háálá wót'ááhdę́ę́' sǫ' áádóó sǫ' dah naazhjaa'ii doo náádadi'níłdíin da doo; jį́honaa'éí bił chahodoołhił áádóó tł'ééhonaa'éí doo adiníłdíin da dooleeł. 
23:13:011:0	Nihokáá' dine'é doo yá'áshóonii ádaat'ínígíí índa doo yá'áshónígi ádaaníiłii doo ákwii ádaat'íinii biniinaa atídeeshłííł; ádaa hodzódlí yee aghá'ádadees'áii bidideeshhił áádóó ádaa hodzódlí yee aa deizdoo'íinii a'ohgo ádadeeshłííł. 
23:13:012:0	Óola nizhóníii ch'ééh hazhntáhígi át'éego éí biláahgo diné ch'ééh habidi'ntáago ádeeshłííł; t'áá Ófergi óola chin bąąh ádinii ch'ééh hazhntáhígi át'éego, éí biláahgo diné ch'ééh bíka'ntáa doo. 
23:13:013:0	Éí bąą yádiłhił dadeeshhał áádóó nahasdzáán si'ánídóó nahjį' hadoolts'ił; éí t'áá ałtsoní bee Bóhólníihii t'óó báhádzidgo báhóóchįįd bijį́įdi ákóhodoonííł. 
23:13:014:0	Ákódzaago jádí noochéłígi át'éego, doodaii' dibé baa áhályáanii ádingo noochéłígi át'éego siláo éí t'áá bí bidine'é yich'į' anáhidookah áádóó t'ááłá'í nítínígo t'áá bí bikéyahgóó yóó'ahidoojah. 
23:13:015:0	Shódajoozt'e'ígíí t'áá ádzíłtso tsiidétáán haghádaaldzi' doo, áádóó hoł nida'diideełígíí diltłish bee naa'ahódadziilghaał doo. 
23:13:016:0	Hweda'awéé' hanááł nihídahidiiltsxisgo dahidiitáah doo, áádóó dahakin haghadahideest'ą́ą doo, índa hweda'asdzą́ą́ yił nidahidoodił. 
23:13:017:0	Míídiya dine'é éí béésh łigaii doo bił nilíinii áádóó óola doo yaa bił hózhóonii hak'ijį' bił hahodínéeshchxał. 
23:13:018:0	Bida'ałtį́į́' yee ániid nidaakaii nideidoołtsxił, áádóó hweda'awééchí'í doo yaa a'áhí dadínóozįįł da, índa áłchíní doo bił badahojoobá'í da doo. 
23:13:019:0	Diyin God éí Sádam áádóó Gomárah haz'ánígi atíyiilaa yę́ęgi át'éego Bábilan éí óhólníihgo bił nahaz'áanii biláahgo ayóó áhonóolningo bee bóhólníihgo bił haz'áanii, t'áá éí Kaldíya dine'é atisdi át'éego ádaa deidzódli'ii éí ałtso ádeidoołdįįł. 
23:13:020:0	Ts'ídá doo ła' yii' kééhat'íní da doo, doodaii' náás ahizhdeeshchíinii doo ła' ákwii kééhojit'į́į da doo; Aréíbiya dine'é ts'ídá doo ła' ákwii haníbaal nizhdoo'áał da, doodaii' na'niłkaadii ts'ídá doo ła' ákwii bidibé ninéiniłkaad da doo. 
23:13:021:0	Halgaidóó naaldlooshii da'ałchinii ákwii naazhjée' doo; daakin yę́ęgóó ná'áshjaa' hadahas'áa doo; tsídii ástrich wolyéhígíí ákwii kéédahat'į́į doo índa tsétah tł'ízí ákwii dah nidahacha' doo. 
23:13:022:0	Ayóó ádahoot'éego kin hadaas'á yę́ęgóó mą'iitsoh áádóó mą'ii chaał hadahas'áa doo; bił hoolzhishígíí k'adę́ę bił nihoogháah doo, índa as'ahgóó doo bínááyoolkáał da doo.
