23:42:001:1	Bóhólníihii yá naal'a'í
23:42:001:0	Shá naal'a'í de íínísinii, éí nídiiłtíinii shii' sizíinii yaa bił hózhóonii níníł'į́; shiNíłch'i Diyinii baa diní'ą́; t'áá ákogi át'éii ał'ąą dine'é bich'į' bééhózingo íidoolííł. 
23:42:002:0	Éí doo dilwosh da doo, áádóó biinéé' doo chánah íidoolíił da; kintah da'nítiingóó nidi biinéé' doo ła' jididoots'į́įł da. 
23:42:003:0	Lók'aa' yisk'isii nidi doo k'íidootih da, índa bee hool'iní biih yít'i'ígíí t'óó bilid nidi doo yidínóołtsis da, índa t' áá aaníinii bik'ehgo t'áá ákogi át'éii bééhózingo íidoolííł. 
23:42:004:0	Nahasdzáán bikáa'gi t'áá ákogi át'éii bohoníłdzilgo áyiilaajį' doo dínóołnah da, doo nidi bąąh nahodookał da, áádóó tónteel bibąąhgóó kéyah éí bibee haz'áanii yiba' ádaat'ée doo.  
23:42:005:0	Diyin God Bóhólníihii nilíinii éí yádiłhił áyiilaago k'íísts'ǫ́ǫdii áádóó nahasdzáán áádóó biyi' hólóonii yił k'íísts'ǫ́ǫdii áádóó bikáa'gi diné nídídzihgo índa níłch'i yee hináago áyiilaii ání, 
23:42:006:0	Shí Bóhólníihii nishłíinii t'áá ákogi ánísht'éego níízhi', áádóó níla' yíníshtą'go naa áháshyą́ą doo, índa diné bá bee aha'deet'áanii nílį́įgo ándeeshłííł, áko ał'ąą dine'é bá adinídíín nílį́į doo; 
23:42:007:0	doo da'oo'íinii bináá' ąą ádadoonííł; awáalyaadę́ę́' awáalyaaí ch'íhidíí'ish, áádóó chahałheełgóó nidaháaztáanii awáalyaadę́ę́' ch'íhidíí'ish biniyé ákóndeeshłííł. 
23:42:008:0	Shí Bóhólníihii nishłį́; t'áá éí shízhi'; bee ayóó ánísht'éii doo náánáła' baa dideesh'áał da; bee shaa ha'niihii doo eda'alyaii bich'į' kódeeshłíił da. 
23:42:002:1	Bóhólníihii bidziilgo yisdá'íínilgo baa ha'niih
23:42:009:0	Jó, ałk'idą́ą́' yę́ę baa dahwiishzhiizh áádóó t'áadoo le'é ádaaniidíii baa hashne'; t'ah doo dahaleehdą́ą́' t'áá bítséedi bee nihił hashne'. 
23:42:010:0	Tónteel góyaa ałnáádaakahii áádóó t'áá ałtso bii' dahólóonii índa táyi'dę́ę́' kéyah hadaaz'áii áádóó biyi' dahólóonii índa yikáá' kéédahat'íinii danohłíinii, nidahonees'ą́ą́dę́ę́' sin ániidíii bee Bóhólníihii baa ha'niihgo dahohtaał. 
23:42:011:0	Honoojí áádóó bikin hadaas'áii t'áá éí Kíídar dine'é atah kééhat'íinii bíni'dii biinéé' chánahgo ádeiilééh; bíni'dii tsé yikáá' kéédahat'íinii dahataał; dziłghą́ą́'dę́ę́' bíni'dii dadilwosh. 
23:42:012:0	Bíni'dii Bóhólníihii yaa dahaniih le', áádóó tónteel bibąąhgóó kéyah Bóhólníihii bee baa ha'niihii yaa dahalne' le'. 
23:42:013:0	Diné ayóó ábóodziilígi át'éego Bóhólníihii náás dahodidooleełgo diné naabaahii nahalingo ooch'į́į́d yee yíneedlį́įgo nídiildzil; chánahgo ádidooniił; t'áá aaníí, ayóó íídóots'į́į́ł; bi'ana'í danilíinii yik'eh didoodleeł. 
23:42:014:0	K'é nísdzingo nízaadgóó ahoolzhiizh; hasht'edíínísht'éego t'ą́ą́' kó'ádííníszin nít'éé'; k'ad asdzání éí awéé' bídii'na'ígi át'éego yishchago t'áá łahjį' anáshiłgo hasdah nanishgo'. 
23:42:015:0	Dził áádóó dah daask'idii ch'il bąąh dahólóonii dadeeshgą́ąłgo t'áadoo biniyéhí da dooleełgo áádóó tooh danílínígóó kéyah nídahodoodleeł nidahalingo índa tó naazkánígíí dahóółtseiigo ádeeshłííł. 
23:42:016:0	Áádóó doo da'oo'íinii honít'i' éí doo bił béédahózinii bił nídeeshkah índa atiin doo dahoo'į́į́dę́ę́' bił nídeeshkah; bidáahgi chahałheełígi adinídíingo áádóó nidahoneestł'iizhígíí k'éhézdongo ádeeshłííł. Doo yóó'adideesh'ááłgóó kót'éego bá ádeeshłííł. 
23:42:003:1	Ízrel dine'é atíbi'diilyaa nidi t'áadoo yits'ą́ą́dóó ídahooł'ą́ą' da
23:42:017:0	Eda'alyaii yaa dadzólíii áádóó, Nihidiyin danohłį́, deiłníinii éí t'ą́ą́' kónídadeeshdlíiłgo ádaa yádadínóozįįł. 
23:42:018:0	Nihijédaahkałii da'doohts'į́į́h áádóó doo da'ooh'íinii dadohhaał, áko da'iidoołtsééł. 
23:42:019:0	Háísh doo oo'į́į da? Jó, shá naal'a'í lą́ą. Háishą' shá hane' nei'áhí yíł'aadii bijééhkałígi át'é? T'áá ákogi ánísht'é nízinii éí Bóhólníihii bá naal'a'í doo oo'į́į daígíí háísh ákódaat'é? 
