23:65:001:1	Nidaalteehii atídoolnííł
23:65:001:0	Doo shínda'ídééłkidii, doo hadashineeztą́ą'ii shik'ídaaskai, dadine'é doo shízhi' bee dabi'dééji'ii ábidishní, Dashinół'į́, dashinół'į́. 
23:65:002:0	Dine'é shich'į' nidaalteehii t'áá bí nitsídaakeesii bik'ehgo doo yá'át'ééh áhoot'éégóó deíkáahii shá bíighah bich'į' dah deeshnih; 
23:65:003:0	t'áá shinii'jį' dine'é shá nídahałchįįhgo hoolzhish; éí dá'ák'ehgi nááda'iiłniih, áádóó bikáá' náá'iiniihí bis sit'éhígíí bee ályaii yikáa'gi tsin bijeeh dilidgo łikání halchinii nááhániihii deidiłid; 
23:65:004:0	éí jishcháa'di nidahaltsaad, áádóó tsé nída'astséélgóó t'áá nahont'inee danjah; éí bisóodi bitsį' deiyą́ índa bileets'aa' éí doo daaldinii bitoo' yee neiską́ 
23:65:005:0	kóníigo, T'áá aadi sínízį́, t'ááká áháníjį' shíighah noóya' lágo, háálá niláahgo dinishyin. Díí diné shá bíighah kǫ' dook'ą́ąłgo bilid shił halchinígi ádaat'é. 
23:65:006:0	Shoo, shidáahgi bee ak'e'ashchį́; doo dideeshhiłgóó k'ééhodideeshdlííł, t'áá hayidjį' nidi k'ééhodideeshdlííł; 
23:65:007:0	nihidoo ákwii ádaat'éii índa danihizhé'é yę́ę bidoo ákwii ádaat'éii ahóóltą'go bee k'éénihidideeshdlííł, ní Bóhólníihii; éí dziłghą́ą'di tsin bijeeh dilidgo łikání halchinii nááhániihii deidííłid, áádóó dah daask'idóó baa'ihgo shá hadaasdzíí'; éí bąą ałk'idą́ą́' ádáát'įįdii bik'ehgo biyidjį' bá bił ná'íídéeshtah. 
23:65:008:0	Bóhólníihii kóní, Ch'il na'atł'o'ii bineest'ą' bits'ą́ą́dóó wáin ániidíii shóot'eehígi át'éego, ła' ádííniid, Óółdįįh lágo, háálá ak'ihojidlí bii' hólǫ́, áko shinaal'a'í binahjį' doo ałtso ádeeshdįįł da biniyé doo ákódeeshníił da. 
23:65:009:0	Jéíkab bits'ą́ą́dóó oochíiłii áádóó Júdah dine'é bits'ą́ą́dóó shidził bíí' dooleełii bił ch'ídeesh'ash, índa náháláa'ii daabíí' doo áádóó shá nidaal'a'í ákwii kééhat'į́į doo. 
23:65:010:0	Shidine'é shíká ádáát'įįdígíí bá Shéran honíteelgi dibé bighango haz'ą́ą doo, índa Éíkor honíts'aa' góyaa éí dibé nídanjah doo. 
23:65:011:0	Nihí Bóhólníihii yóó'adasidoo'áanii danohłį́, éí shidził diyinii baa dasiyoonahígíí áádóó ach'ohodoo'niił bidi'níinii bá áda'soosįįd índa doodlį́įłii éí bízhánee' bidi'níinii baa dasooką́. 
