23:38:001:1	Heziikáíyah bitah doo hóóts'íid da
23:38:001:0	Éí yoołkááł yę́ędą́ą́' Heziikáíyah dadootsaałgo bitah doo hóóts'íid da. Áádóó Éímaz biye' Aizéíyah Diyin God yá halne'ii haa níyáago áhodííniid, Bóhólníihii kóní, Na'áłchíní bá t'áá ałtso hasht'edíílííł, háálá dadíítsaał, doo náádidíídáał da. 
23:38:002:0	Áko Heziikáíyah éí kin ahéé'ítł'inígíí bich'į' níjiizhjizhgo Bóhólníihii bich'į' sozdoolzin, 
23:38:003:0	áádóó ázhdííniid, Bóhólníihii, k'ad shéénílniih, t'áá shǫǫdí, ninááł t'áá aaníígóó áádóó t'áá ákogi ánísht'éego níyá, áádóó yá'ádaat'éehii ninááł baa niséyá. Áko Heziikáíyah yéego jíícha. 
23:38:004:0	Áko Aizéíyah éí Bóhólníihii hach'į' haadzíi'go ání, 
23:38:005:0	Nílááh, Heziikáíyah bich'į' dínáahgo ábidiní, Bóhólníihii éí nizhé'é yę́ę David biDiyin God ání, Nisodizin diséts'ą́ą́', ninák'eeshto' yiiłtsą́; jó, nááhiní'náa dooleełígíí ashdla'áadah nááhai nábínéideeshnił. 
23:38:006:0	Áádóó ni áádóó díí kin haal'áhígíí éí Asíriya dine'é aláahgo binanit'a'í bigháánihideeshnił, índa díí kin haal'áhígíí bich'ą́ą́h naasháa doo. 
23:38:007:0	Áko Bóhólníihii yee haadzí'ígíí ádooníiłii Bóhólníihii bits'ą́ą́dę́ę́' díí bee nich'į' ééhózin doo, 
23:38:008:0	Jó, chaha'oh yildoh bee bééhózinígíí éí Éíhaz áyiilaii neeznáá da'asdzoh bíighahgo chaha'oh t'ą́ą́' kónídeeshdlííł, áko oo'áłígíí neeznáá da'asdzohjį' t'ą́ą́' kónádzaa. 
23:38:009:0	Díí Júdah dine'é aláahgo binanit'a'í Heziikáíyah daatsaahgo áádóó yá'át'ééh násdlį́į'go naaltsoos áyiilaaígíí át'é. 
23:38:010:0	She'iina' ts'ídá ałníí'góó hoolzhishgo niit'éehgo ádííniid,Jishcháá' yah e'etiin góyaa déyá;she'iina' yit'íhígíí shits'ą́ą́' ni'kólyaa. 
23:38:011:0	Ádííniid, Bóhólníihii, Bóhólníihii lą́ą, dahináanii bikéyahdi doo yideestséeł da;nihokáá' kéédahat'ínígíí bitahgi diné doo ła' néideestséeł da. 
23:38:012:0	Na'niłkaadii biníbaal nahjį' kólyaaígi át'éegobinahjį' hinishnánígíí shits'á honíle';she'iina' éí atł'óii biistł'ǫ' yizdisígíí nahalin;adiniih bik'ee nihozhneeł'ąąhígíí yee she'iina' niidoołt'ih;jį́įgo áádóó tł'ée'go shá nihonít'i'go íílééh. 
23:38:013:0	Hoos'įįdjį' tł'éé' bíighah nitséskeesgo yiiłkááh;éí náshdóítsoh bitsiijį' ditł'ooígíí yiyiisxíinii bits'in niyiigháshígi át'éego shits'in niidiyootih;jį́įgoda, tł'ée'goda she'iina' nidííłt'ih. 
23:38:014:0	Hoz áádóó táshchozhii nahalingo yishcha;hasbídí ání nahalingo atínídinishdleeh;dego désh'į́į'go shináá' yąąh nááníłnah;Bóhólníihii nílíinii, shide áhoodzaa; nine' anishchééh. 
23:38:015:0	Ha'át'íísh dideeshniił?Shich'į' haadzíí' áádóó ałdó' shá ádzaa;shich'į' nahwiisnáá'dóó bik'ijį' hazhóó'ógo yisháał doo. 
23:38:016:0	Bóhólníihii nílíinii, díí bee diné dahinááádóó díí t'áá ałtso biyi' shii' sizíinii yee hiná,áko yá'át'ééh ánáshidíídlííłáádóó hinishnáago áshidíílííł. 
23:38:017:0	Jó, yéego dinishniihígíí biniinaa hasht'ehodít'é shee hazlį́į́';shii' sizíinii ayóó'ííní'níigoa'áán hodiłdzid bits'ą́ąjį' hááshííníłtį́;shibąąhági át'éii t'áá ałtso nine'jigo ahíníłtł'ííd. 
23:38:018:0	Jó, jishcháá' naa haniihgo doo bohónéedzą́ą da;aniné nidi doo nahaniih da;a'áán góyaa nidahaleehiinit'áá aaníinii doo bíká bił chodahoo'į́į da. 
23:38:019:0	Díí jį́ dahináanii, éí dahinánígíí ásht'ínígi át'éego naa dahaniih doo;azhé'é nilíinii éí ba'áłchíní nit'áá aaníinii yił yéédahodoosįįł. 
23:38:020:0	Bóhólníihii yisdáshidoołtéełjį' hasht'e'édiilyaa;éí bąą nihídayééłkaahgóó Bóhólníihii bikin bii' sohodizin góne'tsin tł'óół bąąh daneelzhee'ígíí bik'ehgo shiyiin bee dahwiitaał doo. 
23:38:021:0	Áko Aizéíyah ádííniid, Fig sikaadii bineest'ą' ahídadiiłjée'ii nídeidii'aahgo ch'ozhígíí yikáá' dah deidoo'ááł, áko nízdoodzih. 
23:38:022:0	Heziikáíyah íídą́ą́' ázhdííniid, Bóhólníihii bikin bii' sohodizin góde deesháłígíí ha'át'íísh bee shił bééhodoozįįł?
