23:2:001:1	T'áá náhwiist'ą́ą́ nít'éé' Bóhólníihii hózhǫ́ǫ́jí yee nant'áa doo
23:2:001:0	Éímaz biye' Aizéíyah éí Júdah kéyah índa Jerúsalem kin haal'áii át'ée doogi bee hoł hóóne'. 
23:2:002:0	Nihodoogáałjį' ayííłką́ągo áhodooníiłii éí Bóhólníihii bikin bii' sohodizin bidził éí dził aghádahaz'áii biláahdi bohoníłdzilgo ádoolnííł áádóó dah daask'idígíí biláahdi ayóó át'éii ádoolnííł índa ał'ąą dine'é t'áá át'é áajį' íílį́į doo. 
23:2:003:0	Áádóó diné t'óó ahayóí kódaaníigo deíkáahgo, Sołtį', haa'íshą' Bóhólníihii bidził bighą́ą́'góó éí Jéíkab biDiyin God bikin bii' sohodizinjį' hahidiikahgo Diyin God át'éii yínanihiniłtin doo, índa bik'ehgo da'nítiinii deíníikáah dooleeł, háálá Záíyandóó bee haz'áanii bee yáhiditéehgo Jerúsalemdóó Bóhólníihii bizaad hahwiileeh doo. 
23:2:002:1	Bóhólníihii éí ádaa deidzódlíii yaa nídóot'įįł
23:2:004:0	Bóhólníihii éí ał'ąą dine'é yita' sizį́į doo áádóó dine'é t'óó ahayóí yá nahodii'aah doo, áádóó dabidiltłish háádahidootsiłgo bee nihwiildlaadí ádadoolnííł, índa dabitsiidétáán háádahidootsiłgo bee tsin bits'áoz'a' bee higéshí ádadoolnííł; ał'ąą dine'é éí diltłish doo ahindayiilyée da doo, anaa' nidi doo yínáádahooł'aah da doo. 
23:2:005:0	Jéíkab ba'áłchíní danohłíinii, hágo, haa'íshą' Bóhólníihii bibee adinídíinii biyi' dayíníikáah dooleeł. 
23:2:006:0	Jó, nidine'é Jéíkab ba'áłchíní yóó'adííní'ą́, háálá ha'a'aahdę́ę́' doo t'áá aaníígóó nahagháii hwii' hadadeezbin áádóó Filístiya dine'é nahalingo náásgóó áhodoonííł yaa halne'ii danilį́ índa dé'éyóní ba'áłchíní yił da'ahótą'. 
23:2:007:0	Bikéyahgi t'áá íiyisí béésh łigaii áádóó óola yee da'at'į́; t'áá ałtsojį' t'áá íiyisí da'at'į́; bikéyahgóó doo chohoo'į́į́góó łį́į́' deíl'á; bitsindaabąąs bijáád naakiígíí ałdó' t'áadoo bee danéelą́'í da. 
23:2:008:0	Bikéyahgóó eda'alyaii ałdó' t'áadoo bee danéelą́'í da; t'áá bí yindaashnishii yich'į' yaa áńdaat'įįh; éí t'áá bí ádayiilaa nít'éé'. 
23:2:009:0	Éí bąą diné t'áá bita'ígi ádaat'éii índa diné ayóó ádaat'éii ałdó' a'ohgo ádabidi'doolnííł. Nidi ádił nida'iisíi'ii doo bá yóó'adidíí'áał da. 
23:2:010:0	Éí bąą Bóhólníihii bik'ee ił yée'ii áádóó yee ayóó át'éii bits'ádi'nílíidii bits'ąą tséníí' góne' adoohkahgo łeeyi' nídadidooht'į́į́ł. 
23:2:011:0	Éí yoołkáałdi diné bibee ádaa dahodzódli' noolninii wóyahgo ádoolnííł áádóó ayóó át'éego ádaa deidzódli'ii a'ohgo ádoolnííł índa Bóhólníihii t'éiyá ayóó át'ée dooleeł. 
23:2:012:0	Áko t'áá ałtsoní bee Bóhólníihii beiníłką́ągo diné ádaa dahoji'niihii áádóó hwee ádaa dahodzódli'ii índa ayóó ádajít'é ídazhdólzinii t'áá ádzíłtso hak'ijį' nilį́įgo da'jí'ohgo áhodoolííł: 
23:2:013:0	Lébanangi gad jíl'áii alááh ádajít'éii áádóó ayóó ádajít'éii t'áá ájít'é áádóó Béíshangi chéch'il jíl'áii t'áá ájít'é, 
23:2:014:0	áádóó dził aghádadziz'áhígíí t'áá ájít'é áádóó ayóó át'é yáádaalk'idígíí t'áá át'é, 
23:2:015:0	áádóó ya'ii'áago bikáá'dóó hada'alzídígíí t'áá át'é áádóó ditą́ągo binaa ahéé'ítł'inígíí t'áá át'é, 
23:2:016:0	áádóó Társhish kin haal'áii bitsinaa'eeł t'áá át'é áádóó nidaashch'ąą'go da'ílíinii t'áá át'é hak'idiyaa dooleeł. 
23:2:017:0	Éí yoołkáałdi diné bee ádaa dahodzódli'ii a'ohgo ábidi'doolnííł áádóó ayóó át'éego ádaa deidzódli'ii wóyahgo ádahodi'doolnííł índa Bóhólníihii t'éiyá ayóó át'éego baa ha'niih dooleeł. 
23:2:018:0	Áádóó eda'alyaii yę́ę ts'ídá ałtso bił yóó'ahodoogááł. 
23:2:019:0	Áádóó Bóhólníihii éí nahasdzáán yidooghał biniyé yich'į' nídiidzáago Bóhólníihii bik'ee ił yée'ii áádóó yee ayóó át'éii bits'ádi'nílíidii bits'ąą tsénídahasdzą́ą́góó áádóó a'ą́dahasdzą́ą́góó diné yóó'ahizhdoojah. 
23:2:020:0	Éí yoołkáałdi diné éí habéésh łigaii eda'alyaii áádóó óola eda'alyaii bich'į' nidahojiłáa doo biniyé ádá ádajiilyaa yę́ę éí na'azísí yázhí áádóó jaa'abaní bich'į' adajiiłkaad doo, 
23:2:021:0	áko Bóhólníihii éí nahasdzáán yidooghał biniyé yich'į' nídii'na'go Bóhólníihii bik'ee ił yée'ii áádóó yee ayóó át'éii bits'ádi'nílíidii bits'ąą tsénídahasdzą́ą́góó áádóó tséní'da'deezbaalgóó yóó'adajiijeeh doo. 
23:2:022:0	Diné biyol hadoolwołii t'áadoo bich'į' cho'iinił'íní, háálá ha'át'éegoshą' ha'ahódlíigo haa nitsáhákees?
