23:56:001:1	Diyin God bibee aha'deet'áanii bik'eh hól'į́įgo bąą a'ídeeł hólǫ́
23:56:001:0	Bóhólníihii kóní, Doo haada yit'éii baa áhólyą́ áádóó t'áá ákogi át'éii baa naniná, háálá shibee yisdá'iildéehii k'adę́ę baa hoolzhíísh, índa shit'áá ákogi át'éii yit'íní ádoolnííł. 
23:56:002:0	Diné díí yik'eh hół'į́įgo hinánígíí índa diné biye' éí díí yik'eh hół'į́įgo yee hinánígíí éí háá'áyį́į́h jį́į́ góne' hodoołchǫǫłígíí yits'ąą ádaa áhályą́ áádóó bíla' yee doo yá'áshóonii íidoolíiłii yits'ąą ádaa áhályáanii bik'ihojidlí. 
23:56:003:0	Áádóó índa dé'éyóní biye' nilíinii éí Bóhólníihii yich'į' dah diiyáii doo kóníigo hadoodzih da, Bóhólníihii bidine'é t'áá íiyisí yits'á shiníłt'e' áádóó yúnak nilíinii doo kódidooniił da, Shoo, t'iis siganii nishłį́. 
23:56:004:0	Háálá Bóhólníihii yúnak danilíinii yich'į' haadzíi'go ání, Shiháá'áyį́į́h jį́ deidísinígíí áádóó t'áadoo le'é shił hóshóonii nideidii'aahígíí índa shibee aha'deet'áanii dayótą'ígíí 
23:56:005:0	éí shikin bii' sohodizin biyi' áádóó bá ahééda'astł'inii biyi' bee bééhániihii bá hwiideesh'aałgo aye' áádóó atsi' bízhi' biláahgo yízhí doo ninít'i'ii baa dideesh'áałgo doo nahjį' kódoolníił da. 
23:56:006:0	Dé'éyóní ahoolchíłígíí ałdó' éí Bóhólníihii yá nidaal'a' doo áádóó Bóhólníihii bízhi' ayóó'ádayó'níi doo índa binaal'a'í danilį́į doo biniyé yihidiikáhígíí, éí t'ááłá'í nítínígo háá'áyį́į́h jį́ doo doochǫǫłgóó yaa ádahalyáanii áádóó shibee aha'deet'áanii dayiiłtsoodii, 
23:56:007:0	éí shidził diyiniijį' nihodeesh'ish áádóó shikin bii' sohodizin góne' bił dahózhǫ́ǫgo ádeeshłííł; shibikáá' náá'iiniihí bikáa'jį' didlidgo náádayiiłniihii áádóó náádayiiłniihígíí bá nidzin doo, háálá shikin éí diné t'áá ałtso bá kin bii' sohodizin wolyée doo. 
23:56:002:1	Ízrel dine'é éí eda'alyaii yich'į' nidahałáii baa hwiinít'į́
23:56:008:0	Áko Bóhólníihii Diyin God éí Ízrel dine'é doo dabidi'niidzį́į'ii áłah ánáyoodlíiłii ání, Haa áłah danilínígíí náábinaadę́ę́' diné náánáła' áłah ádeeshłííł. 
23:56:009:0	Halgaidę́ę́' naaldlooshii t'áá ánółtso, hágo, tsintahdę́ę́' naaldlooshii t'áá ánółtso, da'ołghał. 
23:56:010:0	Bá hada'asíidii doo da'oo'į́į da; t'áá ałtso t'áadoo bił béédahóziní da; łééchąą'í doo nidahał'inii nidahalingo doo nidaha ł'in da; t'óó naazhjée'go da'ałhosh, awosh t'éí bił ayóó ádahoot'é. 
23:56:011:0	T'áá aaníí, łééchąą'í nidadimaałii danilį́įgo doo hwiih daaleeh da, áádóó na'niłkaadii doo ak'idiitįįhii danilį́; t'áá ałtso t'áá bí dayíkáhígíí t'éiyá deiníł'į́ índa t'áá bí bada'doodiłígíí t'éiyá yíchą́deídéelni'. 
23:56:012:0	Áko kódaaníi doo, Hágo, wáin shóideesht'eeł áádóó tó bidziilgo tsi'na'iiłáii lą'ígo diidlį́į́ł; yiską́ągo t'áá díí jį́ át'éhígi át'ée doo, áádóó t'ah náábíláahgo dooleeł.
