23:63:001:1	Bóhólníihii k'éédidoo'nííł beidoołkááł
23:63:001:0	Íídam kéyahdę́ę́' Bázra kin shijaa'dóó bi'éé' yiilchii'go naagháhígíí háísh át'į́? Éí bi'éé' t'áá íiyisí nizhónígo, ayóó át'éego bidziil yee tádígháhígíí háísh át'į́? Shí t'áá ákogi át'éego yáshti'go áádóó shidziilgo yisdá'deeshniłígíí éí ásht'į́. 
23:63:002:0	Ha'át'íísh biniinaa ch'il na'atł'o'ii hayé'éł'éesii nahalingo ni'éé' łichíi'go naniná? 
23:63:003:0	Dadine'é bitahdóó diné doo ła' shił naa'aashgóó t'áá sáhí ch'il na'atł'o'ii habí'ííł'eez, háálá sháháchį'go bik' i nideeshaał áádóó t'óó báhádzidgo sháháchį'go łeeh bí'dees'is; dabidił shi'éé' bik'ídadooltah índa shi'éé' t'áá át'é bee łichíi'go ádeeshłííł. 
23:63:004:0	Áko k'éédideeshnííł baa hodoolzhishígíí shijéí biyi'di baa nitséskees áádóó bik'é niná'níshdláhígíí baa hoolzhiizh. 
23:63:005:0	Áádóó déé'į́į'go doo ła' áká oolyeedí da índa ha'át'éego lá de kó'ósin dooleełígíí ádin lá nisin; éí bąą yisdá'íínilgo t'áá shí shigaan shíká eelwod áádóó t'óó báhádzidgo sháhóóchįįdígíí de áshósin nít'éé'. 
23:63:002:1	Bóhólníihii éí Ízrel dine'é yaa joozba'
23:63:006:0	Áádóó sháháchį'go dadine'é bik'i nideeshaał índa t'óó báhádzidgo sháháchį'ígíí nídeineesdlą́ą'go ádeeshłííł áádóó dabidił yee dabidziilii ni'jį' yaanil. 
23:63:007:0	Bóhólníihii aa a'ááh nízinii áádóó Bóhólníihii nihaidiní'ánígíí t'áá ałtso bik'ehgo éí bee baa ha'niihígíí áádóó yee joozba'ii índa ayóó át'éego yee jooba'ii éí bik'ehgo Ízrel dine'é ayóó át'éego bá yá'át'ééh biniyé yá áát'įįdígíí baa ch'íhodeesh'ááł. 
23:63:008:0	Háálá bí ádííniid, T'áá aaníí, shidine'é éí áłchíní doo dabiyooch'íid da dooleełígíí ádaat'į́, áko Yisdábíínilii silį́į́'. 
23:63:009:0	T'áá ałtso yik'ee ti'dahooznii'ígíí bik'ee ti'hodzooznii' áádóó t'áá hó hojílónígi hadiyingo naal'a'í yisdábíínil; hwe'ayóó'ó'ó'ni' áádóó baa a'ááh jinízingo bee bik'é niná'jídlá; ałk'idą́ą́' hoolzhishii bik'ehgo bił ha'jólníigo náás jiníjaa'. 
23:63:010:0	Nidi hach'į' nidaastee' áádóó haNíłch'i Diyinii yíni' nídayiił'aah nít'éé'; éí bąą bi'ana'í dzizlį́į'go bich'į' nidzizbaa'. 
23:63:011:0	Ákohgo bidine'é éí ałk'idą́ą́' Mózes bíiníłkáanii yéédaalnii'go kódaaní, Dibé yaa áhályáanii áádóó tónteel biyi'góó bidibé ch'íiní'eezhii háadi naaghá? Hatahgi Níłch'i Diyinii hólǫ́ǫgo áyiilaii háájí silį́į́'? 
23:63:012:0	Hool'áágóó bízhi' bee ch'íbidit'áah doo biniyé bidziil ayóó át'éii Mózes bíla' nish'náájí bik'ehgo halą́ąjį' tónteel aháyííłk'olgo yii'góó ch'íhoní'eezh? 
23:63:013:0	Honoojítahdi łį́į́' doo digeehígi át'éego háísh éí tónteel aháálk'olí góne' t'áadoo dazhdigeehí ch'íhoní'eezh? 
23:63:003:1	Aa a'ááh hasin áádóó áká i'doolwoł bíká sohodizin
23:63:014:0	Halgaigóó béégashii hadah yikahígi át'éego Bóhólníihii biNíłch'i háádajilyį́įhgo áhoolaa, áko nízhi' ayóó ánóolningo ch'ídeidit'áah doo biniyé nidine'é ch'íiní'eezh. 
23:63:015:0	Yá'ąąshdę́ę́' hodiyingo índa ni'oh hodidilyéehgo nił haz'ą́ą́dę́ę́' hadah díní'į́į́'; níhoneedlį́ áádóó ayóó át'éego ááníłígíí ayóó'áshíí'ní'níinii áádóó shaa a'ááh nínízinii háájí silį́į́'? Éísh t'ą́ą́' kwíínísin? 
23:63:016:0	Azhą́ Éíbraham doo nihééhósin da áádóó Ízrel wolyéii doo nihaa ákonízin da nidi, Bóhólníihii nílíinii, ni nihiTaa' nílį́; nihik'é niná'ídláii nílį́; nízhi' hool'áádę́ę́' hólǫ́. 
23:63:017:0	Bóhólníihii nílíinii, ha'át'íísh biniyé ááníiłii bits'ánihiyííníłkai áádóó nits'ąą dasiiti' doo yę́ęgi nihijéí déíníłtł'is? Ádóone'é níí' dooleełii biniyé ná nidaal'a'í bich'į' náníyis. 
23:63:018:0	Nidine'é dadiyinii éí nihodiyingo haz'ánígíí t'óó kónígháníjį' daabí nít'éé' nidi, nihi'ana'í danilíinii yik'i naaskai. 
23:63:019:0	T'áadoo binanínít'ą́ą daígíí áádóó t'áadoo nízhi' bee dayééji'ígíí nidahoniidlin dasiidlį́į́'.
