23:37:001:1	Júdah dine'é éí Senákerib bits'ą́ąjį' yisdáá'nil
23:37:001:0	Áko aláahgo naat'áanii Heziikáíyah éí yidiizts'ą́ą'go, bi'éé' ák'inayooldláadgo tł'oh yishbizh ák'íísti'go Bóhólníihii bikin bii' sohodizin góne' yah ííyá. 
23:37:002:0	Áádóó Iiláíyakim éí aláahgo naat'áanii bighan bee bóhólníhígíí áádóó Shébna éí naaltsoos ííł'íní índa hastóí nááda'iiłniihii éí tł'oh yishbizh bik'ídaasti'go Éímaz biye' Aizéíyah Diyin God yá halne'ii nilíinii bich'į' ajiis'a'. 
23:37:003:0	Áko ádahałní, Heziikáíyah kóní, Díí jį́ éí ach'į' nahwii'náajį' ayííłką́; aditeh áádóó baa'ihgo ha'oodzíí' bainíłką́, háálá áłchíní bida'niichį́įgo bi'niiłchíinii bee adziilii bee ádaadįįh. 
23:37:004:0	Bóhólníihii niDiyin God daats'í Rábshakeh bizaad t'áá át'é yididoots'į́į́ł; éí binanit'a'í Asíriya dine'é aláahgo binant'á bííł'aadgo Diyin God hináanii yá nahast'i', áko Bóhólníihii niDiyin God éí saad yidiizts'ą́ą'ii biniinaa yididooteh; éí bąą Ízrel dine'é daadziihígíí bá sodílzin. 
23:37:005:0	Kót'éego aláahgo naat'áanii Heziikáíyah bá nidaal'a'í Aizéíyah yaa yíkai. 
23:37:006:0	Áádóó Aizéíyah áhodííniid, Nihinanit'a'í kódabididoohniił, Bóhólníihii kóní, Asíriya dine'é aláahgo binanit'a'í bá nidaal'a'í baa'ihgo shá hadaasdzíi'go disínísts'ą́'ígíí t'áadoo bik'ee nił yé'í. 
23:37:007:0	Jó, níłch'i hwiih deesh'aałgo aseezį́ yididoots'į́įłgo t'áá bí bikéyahgóó dah nídidoodááł, áádóó t'áá bí bikéyahdi diltłish bee bidi'yoolyééł. 
23:37:008:0	Áko Rábshakeh t'ą́ą́' nádzáago Asíriya dine'é aláahgo binanit'a'í éí Líbnah kin haal'áii yił anaa' da'ahil'į́į́ lá; jó, aláahgo naat'áanii éí Léíkish kin haal'áádóó dah nídiidzáago jíínii'. 
23:37:009:0	Iithiyópiya dine'é aláahgo binanit'a'í Térhakah éí nik'ijį' nidoobah biniyé yigááł, ha'níigo baa hojíínii'go Heziikáíyah yich'į' anáá'ííł'a' 
23:37:010:0	kóníigo Júdah dine' é aláahgo binanit'a'í Heziikáíyah bich'į' hadíídzih kóbidiníigo, NiDiyin God baa dzíínílíhígíí t'ááká ni'dóleeh lágo, kóníigo Asíriya dine'é aláahgo binanit'a'í éí Jerúsalem kin haal'áii doo baa didoot'áał da. 
23:37:011:0	Jó'akon, Asíriya dine'é aláahgo binanit'a'í kéyah t'áá át'é áyííł'įįdígíí baa dahodisíníts'ą́ą́', ákoósh yisdáshidi'dooltééł nínízin? 
23:37:012:0	Da' dashizhé'é yę́ę ał'ąą dine'é bidiyin danilíinii ádeisdįįdii, éí Gózan áádóó Héíran índa Ríízef kin hadaas'áhígíí áádóó Ííden dine'é éí Tiilásergi kéédahat'į́į́ nít'éé' yę́ę dabidiyin danilíiniísh yisdádabiiznil? 
23:37:013:0	Héímath kin haal'áádóó aláahgo naat'áaniishą', Árpad kin haal'áádóó aláahgo naat'áaniishą', Séfarvéíyim kin haal'áádóó aláahgo naat'áanii áádóó Híína kin haal'áádóó índa Áívah kin haal'áádóó aláahgo naat'áaniishą', éísh daaháájí? 
23:37:014:0	Áko Heziikáíyah éí hane' nidei'áhí naaltsoos haa deistsoozgo jííłta', áádóó Heziikáíyah éí Bóhólníihii bikin bii' sohodizin góde hajiyáago Bóhólníihii bidááhdóó nizhníłtsooz. 
23:37:015:0	Áádóó Heziikáíyah éí Bóhólníihii yich'į' kóníigo sodoolzin, 
23:37:016:0	T'áá ałtsoní bee Bóhólníihii nílíinii, Ízrel biDiyin God nílíinii, diyingo naal'a'í chérabim wolyéii bita'gi honílóonii, t'áá ni t'éiyá nihokáá'góó bee ídahólníihii t'áá ałtso biDiyin God nílį́; yádiłhił índa nahasdzáán íinilaa. 
23:37:017:0	Bóhólníihii nílíinii, shich'į' dah díníit'aahgo shíísíníłts'ą́ą́'; Bóhólníihii nílíinii, díghaałgo díní'į́į́'; Senákerib saad t'áá ałtso yee hahaasdzíi'ii diits'į́į́h; éí ííł'aadgo Diyin God hináanii yá nahast'i'. 
23:37:018:0	Bóhólníihii nílíinii, Asíriya dine'é aláahgo binanit'a'í danilíinii t'áá aaníí ał'ąą dine'é íísdįįd áádóó bikéyah dayííłchxǫ', 
23:37:019:0	áádóó bidiyin dabidi'níinii adeideesk'ą́ą́'; jó, éí doo dadiyin da nít'éé', nidi éí tsin índa tsé ádaat'éego diné ádabiilaa; éí bąą ádeisdįįd. 
23:37:020:0	Éí bąą k'ad, Bóhólníihii nihiDiyin God nílíinii, nihokáá'góó bee ídahólníihii éí t'áá ni t'éiyá Bóhólníihii nílį́įgo bił béédahodoozįįł biniyé éí bits'ą́ąjį' yisdánihínííł. 
23:37:021:0	Áko Éímaz biye' Aizéíyah éí Heziikáíyah yich'į' i'ííł'a' kóníigo, Ízrel dine'é biDiyin God Bóhólníihii nilíinii ání, Asíriya dine'é aláahgo binanit'a'í Senákerib bik'ijį' shich'į' sodíínílzingo, 
23:37:022:0	díí saad éí hódéét'i'go Bóhólníihii yee haadzíí', Ch'ikę́ę́h, Záíyan bich'é'é nilíinii niz'įįdgo áádóó neidlohgo ná nahast'i'; Jerúsalem bich'é'é nilíinii nich' į' bitsiits'iin yiyíígháád. 
23:37:023:0	Háísh baa'ihgo bá nahółt'i'go yínídzíí'? Háíyee' bich'į' t'áá na'níle'dii háínídzíí'? Háíyee' bich'į' ádaa dzíínídlíigo háíníghal? Ízrel dine'é biDiyin nilíinii bich'į' lą́ą. 
23:37:024:0	Ná nidaal'a'í bee Bóhólníihii bá nahosíníłt'i'go ádííníniid, Shitsindaabąąs bijáád naakiígíí t'óó ahayóígíí bee dził aghádaaz'áá góde áádóó Dził Lébanan bíniinahjį' hadeesháałgo gad naazkaadii ayóó ádaníłnézígíí áádóó ch'ó ayóó ádanoolninii deestsił, áádóó bikéyah nineel'áníjį' índa Dził Kármelgi tsin yíl'áhígíí bitahgi nideeshááł. 
23:37:025:0	Tó hadahánil áádóó yishdlą́ą́'; Ííjip kéyahgi tooh danílínígóó tádííyáago ałtso néíłtsei. 
23:37:026:0	Da' doósh ałk'idą́ą́' baa niséyáhígíí baa dahosidíníts'ą́ą' da? Ałk'idą́ą́' binahosí'áanii éí bohoolyaago áshłaa. Kót'éego kin hadaas'áii ditą́ągo bínída'astł'inígóó ałtso dááchxǫ'go ałk'i yáádaa'áago ádíílííł. 
23:37:027:0	Éí bąą ákwii kéédahat'į́į́ nít'é'ígíí bibee adziilii ádaadin nít'éé', áko nitseekaigo t'óó bił dahóóląąd; halgaidóó ch'ilígíí áádóó ch'il dit'ódí áádóó kin bighą́ą́'dóó ch'il hadaneesánígíí índa tł'oh naadą́ą́' t'ah doo díníséégóó t'áá áajį' ásdįįdígíí nidahalin nít'éé'. 
