50:2:001:1	Christ a'ohgo ízh'diilyaa áádóó aghánáhóó'áadi dah hodi'neesdá
50:2:001:0	Christ bee chánah danohłį́įgo, éí ayóó'ánihó'níigo bee nihik'i dahata'go, Níłch'i Diyinii bił ahił danohdlį́įgo, ahaa a'ááh danohsingo ayóó'áda'ahíínóh'níigo, 
50:2:002:0	haa'íshą' yíní áádóó ayóó'ó'ó'ní t'ááłá'í bee índa t'ááłá'í nitsáhákeesgo nahat'á bee shíni' bíighahgo shił hózhǫ́ǫgo ádashíínóhsin le'. 
50:2:003:0	Ałch'ą́ą́h na'a'na' áádóó ádaa hodzódli' bee t'áadoo ha'át'íhída baa nidaahkaaí, nidi a'ohgo nitsáhákees bee náánáła' nihiláahdi ádaat'éego baa nitsídaahkees. 
50:2:004:0	T'áá ádíighahígo t'áadoo le'é t'áadoo ádá baa nitsídaahkeesí, nidi t'ááłá'í nootínígo náánáła' yídaneedlíinii ałdó' bá baa nitsídaahkees. 
50:2:005:0	T'áá Christ Jesus aa nitsíkees yę́ęgi át'éego nihí ałdó' ákót'éego ahaa nitsídaahkees. 
50:2:006:0	Azhą́ Christ éí Diyin God jílį́į nidi, Diyin God ts'ídá bił ahijíłt'ée nidi doo t'áá bąąh dah dziztį́į da nít'éé', 
50:2:007:0	nidi éí t'óó átsééd nahjį' nizhdiní'ą́, áádóó á naal'a'í ízh'diilyaago nihokáá' dine'é ahoolchíłígi át'éego ho'dizhchį́. 
50:2:008:0	Áádóó nihokáá' diné dzizlį́į'go a'ohgo ádaa nitsídzíkeesgo ízh'diilyaa, áádóó dazdootsaałjį' nidi ak'eh hodzis'įįd, azhą́ tsin ałnáoszid bąąhjį' dazdootsaałjį' nidi ts'ídá ak'eh hodzis'įįd. 
50:2:009:0	Éí bąą Diyin God aghánáhóó'áadi dah honeesdá, áádóó yízhí danilíinii t'áá ałtso biláahgo yízhí ts'ídá aláahdi át'éii haidiní'ą́. 
50:2:010:0	Áko yá'ąąshdi dahojílóonii áádóó nahasdzáán bikáa'gi dahojílóonii índa nahasdzáán biyi'di dahojílóonii ts'ídá t'áá ádzíłtso Jesus bízhi' bee ha'oodzíi'go bich'į' nitsidahizhdidoogoh. 
50:2:002:1	Nahasdzáán bikáa'gi adiníłdíinii nidahonohłingo da'díínółdíín
50:2:011:0	Áádóó Diyin God aTaa' baa ha'niih doo biniyé diné t'ááłá'í jinítínígo Jesus Christ éí Bóhólníihii nilį́ dajiníigo bee hadahizdoodzih.  
50:2:012:0	Áko ayóó'ánihósh'níinii, nihił honishłǫ́ yę́ędą́ą́' t'áá áłahjį' shik'eh dahonoł'į́ yę́ęgi át'éego, k'ad aadi doo nihił honishłǫ́ǫ da nidi éí biláahgo shik'eh dahonoł'į́. Yisdánihi'doo'nilígíí ła'dooníiłgi dadíínóhsingo índa bąą ádaa dasoohti'go bindaałnish, 
50:2:013:0	háálá ádeinohsinígíí índa ádaaht'ínígíí bee Diyin God bił dahonohshǫ́ǫ doo biniyé nihinaalnish. 
50:2:014:0	T'áá ałtsoní baa nidaahkaigo t'áadoo ałch'į' saad dahonoł'íní áádóó t'áadoo ałgha'dadoht'áhí, 
50:2:015:0	áko t'áadoo bee nihik'ídahót'ahígóó índa niha'át'e' ádaadingo Diyin God ba'áłchíní doo ádąąh dahat'aahii dadoohłeeł, áko díí binda'adlo'go doo ts'ííd át'éégóó ahoolchíłígíí bitahdi nahasdzáán bikáa'jį' adiníłdíinii nahalingo da'díínółdíín, 
50:2:016:0	dziilí bee nisoozį́įgo saad bee iináanii bee bił dahołne'. Ákódaaht'į́įgo Christ nádzá bijį́įdi naanish baa ádinisht'ánígíí t'áá ákónéehee ásht'į́į́ lá, áádóó doo na'níle'dii nihinishishnish da lá nisingo bee nihaa shił hózhǫ́ǫ doo. 
50:2:017:0	Azhą́ nááhániihii nahalingo nihe'oodlą' t'áá bił nááshi'diiznii' nidi, shił hózhǫ́ áádóó t'áá ánółtso t'áá íiyisí nihił nihitah shił hózhǫ́. 
50:2:003:1	Timothy áádóó Iipafrodáítas
50:2:018:0	T'áá ákót'éego nihí ałdó' nihił dahózhǫ́ǫ le', áádóó t'áá íiyisí shił nihił dahózhǫ́ǫ le'. 
50:2:019:0	Bóhólníihii Jesus bee shił chohoo'į́įgo t'óó hodíína'go Timothy nihich'į' deesh'aał nisin, áádóó aadę́ę́' nádzáago ádanoht'éegi shił bénáhoosdzingo shił náhodooshǫǫł. 
50:2:020:0	Bí t'éiyá shígi át'éego nihá yá'ádaat'éehii nihá yíneedlį́. 
50:2:021:0	Háálá t'áá ałtso t'áá bí yídaneedlíinii t'éí agháago yaa nitsídaakees, Jesus Christ bídadéét'i'ii éí doo yaa nitsídaakees da. 
50:2:022:0	Nidi Timothy ba'ahódlíii aye' nilíinii bizhé'é yił naalnishígi át'éego hane' yá'át'éehii yee nizhónígo shił tádoolnishgo nihił béédahózin. 
50:2:023:0	Éí bąą shich'į' áhoot'é dooleełígíí shił bééhoozingo akǫ́ǫ́ hodeesh'aałgo shił chohoo'į́, 
50:2:024:0	áádóó shí ałdó' t'óó hodíína'go aadi deesháłígíí Bóhólníihii bee baa dzííníshłí. 
50:2:025:0	Shik'is, Iipafrodáítas, bił naashnishii áádóó shígi át'éego Christ yá siláo nilíinii, índa shíká adoolwoł biniyé shaa dasooł'a'ígíí, éí t'áá ákónéehee nihich'į' náhodéł'a' nisin. 
50:2:026:0	Háálá t'áá ánółtso nihídin dzizlį́į́', áádóó dadzitsaahgo dasidoots'ą́'ígíí éí t'áá íiyisí ho'diił'á. 
50:2:027:0	T'áá aaníí dadzitsaah nít'éé', áádóó k'asdą́ą́' dadziztsą́, nidi Diyin God haa joozba', nidi doo t'áá hó t'éiyá da, shí ałdó' doo yínííł shide ádooníił da biniyé shaa joozba'. 
50:2:028:0	Áko nídahoołtsą́ągo nihił dahózhǫ́ǫ doo biniyé, áádóó shí ałdó' doo hózhǫ́ yínííł nishłį́į da doo biniyé nihich'į' nihééhodeesh'aałígíí t'áá íiyisí laanaa nisin. 
50:2:029:0	Áko nihaa nídzídzáago Bóhólníihii bee nihik'is jílį́įgo haa nihił dahózhǫ́ǫgo k'é dahodidoohniił. Diné ákódaat'éhígíí nihił danilį́į le', 
50:2:030:0	háálá Christ bá nijilnishgo k'asdą́ą́' dadziztsą́. Nihí doo kǫ́ǫ́ nidaahkaigóó t'áadoo shíká oojée' da nidi Iipafrodáítas be'iina' doo yaa hą́ą́h niizį́į́'góó shíká adoolwołígíí yaa ádeet'ą́ągo shá naas'a'.
