2:16:001:1	Diyin God éí mána haidiní'ą́
2:16:001:0	Íílim kéyahdóó dah náádii'náago Ízrel dine'é yinéłígíí t'áá ałtso honoojí Sin nahós'a'gi éí Íílim kéyah áádóó Dził Sáínai bita'gi ákwii niníná; Ííjip kéyahdę́ę́' hajíínáádóó bik'ijį' naaki nídízííd binih ashdla'áadah jį́į́ góne' dashdiiná. 
2:16:002:0	Áko honoojíidi Ízrel dine'é yinéłígíí t'áá ałtso Mózes índa Éran yich'į' saad dahasłį́į́'. 
2:16:003:0	Áko Ízrel dine'é ádahodííniid, Bíni' lá, Ííjip kéyahdi Bóhólníihii bíla' yee nanihidoołtsił nít'éé'; áadi atsį' hadanigáahgo binaháaltą́ą łeh nít'éé' áádóó bááh deidą́ągo bee hwiih daniidlį́į łeh nít'éé'; jó, t'áá dah yii'nééł nít'éé' dichin bee nihidííghą́ą́ł biniyé díí honoojíijį' anihííní'eezh. 
2:16:004:0	Ákohgo Bóhólníihii éí Mózes áyidííniid, Jó, yá'ąąshdę́ę́' bááh nináłtį́įhgo nihá ádeeshłííł, áko diné ch'éédajikahgo t'áá hwíighahígo t'áá ákwíí jį́ nínádajiidlah doo, áádóó hahasíid doo, áko shibee haz'áanii daats'í bik'ehgo jookah doo, doo daats'í bik'ehgo jookah da doo. 
2:16:005:0	Áko kót'ée doo, hastą́ą́h jį́į́ góne' yah anídajiikáhígíí hasht'éédajiil'įįh doo, áko t'áá ákwíí jį́ nínádajiidlahígíí naakidi ákónánéelt'e'go nínádajiidlah doo. 
2:16:006:0	Mózes índa Éran éí Ízrel dine'é kwíidííniid, I'íí'ą́ągo ííshją́ą́ díí nihił béédahodoozįįł; jó, Bóhólníihii éí Ííjip kéyahdę́ę́' ch'éénihiní'eezhgo át'é, 
2:16:007:0	áko abínígo índa Bóhólníihii yee ayóó át'éii deidoołtsééł, háálá éí bich'į' saad dahonohłónígíí yidiits'a'. Nihíshą' ha'át'íí niidlį́įgo nihich'į' saad dahonohłǫ́? 
2:16:008:0	Áko Mózes ádííniid, Kót'ée dooleeł: Bóhólníihii éí e'e'áahgo atsį' nihaná'áltso' doo, índa abínígo éí bááh bee hwiih nídaahdleeh doo, háálá Bóhólníihii t'áá bí bich'į' saad dahonohłónígíí yidiits'a'; nihíshą' ha'át'íí niidlį́? Doo nihí nihich'į' saad dahonohłǫ́ǫ da, nidi Bóhólníihii bich'į' saad dahonohłǫ́. 
2:16:009:0	Mózes éí Éran áyidííniid, Ízrel dine'é yinéłígíí t'áá ałtso kóbidiní, Bóhólníihii bit'áhájį' dohkááh, háálá saad dahonohłónígíí yidiizts'ą́ą́'. 
2:16:010:0	Ákódzaago Éran éí Ízrel dine'é yinéłígíí t'áá ałtso yich'į' yáłti'go honoojíijigo dadéé'į́į́' nít'éé', shoo, Bóhólníihii yee ayóó át'éii k'os biyi'jį' yit'íní silį́į́'. 
2:16:011:0	Áko Bóhólníihii éí Mózes yich'į' haadzíi'go kóní, 
2:16:012:0	Ízrel dine'é saad dahółónígíí diséts'ą́ą́', áko bich'į' handziihgo kóbidiní, E'e'áahgo atsį' nídaahdį́įh doo, índa abínígo éí bááh bee hwiih nídaahdleeh doo, áko shí, Bóhólníihii nihiDiyin God nishłį́įgo nihił béédahodoozįįł. 
2:16:013:0	Ákódzaago i'íí'ą́ągo dahwiiłkaahígi dééłdánii nánísą́, índa abínígo dah oonéłígíí binaagi dahtoo' hazlį́į́'. 
2:16:014:0	Áko dahtoo'ígíí dah diildogo, shoo, honoojíhígi ha'át'íí shį́į́ áłts'íísígo danímazgo shoh łibáhígi áníłtsogo ni'góó niheel'á. 
2:16:015:0	Áko Ízrel dine'é éí dayiiłtsą́ągo áda'ahidi'ní, Ha'át'íísh át'é? Háálá át'éii doo hoł béédahózin da. Mózes áhodííniid, Eii lá bááh dadoohsį́įłgo Bóhólníihii nihaidiní'ánígíí át'é ni. 
2:16:016:0	Díí Bóhólníihii yee haadzíí', Diné t'ááłá'í nítínígo haa néelt'e'go nídajidį́hígíí bik'ehgo áłah áńdaał'įįh; éí ómer bee í'neel'ąąhí bik'ehgo ádanéelt'e'go łá'í jinítínígo haníbaal yii' kéédahat'íinii bá ninádajiidlah doo. 
2:16:017:0	Áko Ízrel dine'é t'áá ákóda'iilaa: ła' t'áá atisígo, ła' éí t'áá a'ohígo áłah ádajiilaa. 
2:16:018:0	Áko ómer bee bí'néél'ąądgo lą'ígo nídajiizlá'ígíí doo ła' há ch'ínííłna' da, índa t'áá áłch'į́į́dígo nídajiizlá'ígíí doo hats'ą́ą́' bi'oh da; diné t'ááłá'í jinítínígo ajiyánígíí bik'ehgo nínádajiidlah. 
2:16:019:0	Áko Mózes áhodííniid, T'ááká diné ła' abíníjį' ádá áádzósįįh lágo. 
2:16:020:0	Ákondi ła' Mózes doo dayíists'ą́ą́'góó ła' abíníjį' ádá áádeisįįd, áádóó ch'osh bitah dahazlį́į'go daniłchxon daazlį́į́', áko Mózes hach'į' báhóóchįįd. 
2:16:021:0	Áádóó t'áá abíní bik'eh diné t'ááłá'í jinítínígo t'áá da'jiyánígíí bik'ehgo nínádajiidlah, áko náhoniigahgo bi'oh nínáda'jiidlahígíí éí nídadiłhįh. 
2:16:022:0	Nít'éé' ákódzaago hastą́ą́h jį́ aleeh góne' bááh naakidi ákódanéelt'e'go nídayiizláá': ómer bee í'neel'ąąhí naakidi ookááł bíighah hódáághah, áko dah oonéłígíí bitahdóó bídahólníihii t'áá ałtso Mózes yaa yíkaigo yił dahoolne'. 
2:16:023:0	Áko áyidííniid, Díí Bóhólníihii yee haadzí'ígíí át'é; yiską́ągo Bóhólníihii bich'į' há'áyį́į́h jį́ át'éego dílzin; ła' daałt'eesígíí éí daałt'ees, índa daałbéézhígíí éí daałbéézh, áádóó yidziihígíí yiską́ągo biniyé ádá áádadoosįįł. 
2:16:024:0	Áko Mózes ádííniidígi át'éego abíníjį' ła' áádadzisįįd, áko doo niłchxon silį́į' da; doo nidi ła' ch'osh bitah da. 
2:16:025:0	Áko Mózes ádííniid, Eii díí jį́ daahsą́, háálá díí jį́ Bóhólníihii bich'į' háá'áyį́į́h jį́ át'é; díí jį́ éí daníláhgóó doo ła' bik'ídadoohkah da. 
2:16:026:0	Hastą́ą́h jį́įjį' nínádahohdlah doo, nidi tsosts'id jínígíí éiyá háá'áyį́į́h jį́ át'é; ákóne'é éí ádin doo. 
2:16:027:0	Nít'éé' ákódzaago tsosts'id jį́ azlį́į́' góne' diné ła' mána nídahizhdoolah biniyé ch'íjíkai, nidi t'áadoo ła' bik'íjíkai da. 
2:16:028:0	Áko Bóhólníihii éí Mózes áyidííniid, Haa nízáágóoshą' shibik'eh ó'oo'níiłii índa shibee nahaz'áanii doo bik'eh dahonoł'į́į da doo? 
2:16:029:0	Shoo, Bóhólníihii háá'áyį́į́h jį́ nihaidiní'ą́; éí bąą hastą́ą́h jį́ ná'ádleeh bik'eh bááh naaki jį́ bíighahgo nihaa néidi'ááh; nihá haz'ánígi hazhó'ó hasht'edínóht'é; bíni'dii tsosts'id jį́į́ góne' diné doo ła' nahgóó ch'ídoogáał da. 
2:16:030:0	Áko tsosts'id jį́į́ góne' diné háádaasyį́į́'. 
2:16:031:0	Áko Ízrel dine'é éí mána yee dayíízhi'; ch'il kóriyander bináá' nahalingo łigai, áádóó tsés'ná bitł'izh bááh dá'áka'í nímazí bił ályaaígíí halniih. 
2:16:032:0	Áko Mózes ádííniid, Díí Bóhólníihii yee haadzí'ígíí át'é; ómer bee í'neel'ąąhí hadeezbingo niha'áłchíní náás ahoolchíiłii bá nisoołką́ą doo; éí Ííjip kéyahdę́ę́' ch'ínihiní'eezhgo honoojíidi bááh nihaná'ástso' nít'éé' yę́ę deidoołtsééł. 
2:16:033:0	Áádóó Mózes éí Éran áyidííniid, Ómer bee í'neel'ąąhí bee mána ásaa' biih nikaah; éí Bóhólníihii binááł niha'áłchíní náás ahoolchíiłii bá siką́ą doo. 
2:16:034:0	Áko Bóhólníihii éí Mózes yich'į' yee haadzí'ígíí bik'ehgo neeznáago bik'eh ó'oo'níiłii bee bééhániihii bidáahgi siką́ą dooleełgo Éran hasht'e'niiníką́. 
2:16:035:0	Áko Ízrel dine'é éí mána deiyą́ągo dízdiin nááhai; kéyah biyi' diné kéédahat'ínígíí yaa nínáajį' Kéínan kéyah hoodzo yitis yínáajį' mána deiyą́ągo nihoolzhiizh. 
2:16:036:0	Ómer bee neeznáadi ha'ooką́ągo íífa bii' hadilbį́į́h.
