2:10:001:1	Nahachagiitsoh bee atí'ályaaígíí
2:10:001:0	Áko Bóhólníihii éí Mózes áyidííniid, Féro bił yah anáánídááh, háálá bijéí yíłtł'is, áádóó bá nidaal'a'í ałdó' dabijéí dááłtł'is, áko shibee éédahózinii binááł ádeeshłíí ł. 
2:10:002:0	Áádóó niye' nilíinii índa biye' náánídlíinii díí bee bił hólne' doo: Ííjip kéyahgi baa niséyáhígíí índa bee éédahózinii hatahgóó ádaashłaaígíí, áko éí bee shí Bóhólníihii nishłį́įgo nił bééhózin doo. 
2:10:003:0	Áko Mózes áádóó Éran éí Féro bił yah anáájoot'áazhgo ábizhdííniid, Bóhólníihii Hííbrew dine'é biDiyin God kóní, Haa nízáagishą' shich'į' síníltee'go doo shich'į' ayáhígo í'dílnéeh da doo? Shidine'é béé'níłnííh, áko shich'į' nidahałáa doo. 
2:10:004:0	Éí doodaii', shidine'é doo béé'níłnííhgóó, jó, yiską́ągo nihił hahoodzojį' nihik'ijį' nahachagiitsoh bi'deesh'nih. 
2:10:005:0	Áko kéyahgi t'áá át'éé nít'éé' nídooséełgo ni'ígíí doo yit'į́į da doo, áádóó ha'át'íhída t'áá daadzí'ígíí deidooyį́į́ł; éí nílótsoh yi'oh ni'nítseedígíí áádóó dahootsogóó tsin naazkaadígíí deidooyį́į́ł. 
2:10:006:0	Áko danihighan áádóó ná nidaal'a'í t'áá ałtso dabighan índa Ííjip dine'é t'áá ałtso dabighan góne' hadadidoobį́į́ł; hádą́ą'da ákót'éii doo ánéeh da nít'éé'. Danihizhé'é áádóó dabizhé'é dahiná yę́ędóó díí jį́įjį' t'áadoo dayiiłtsą́ą da. Áko Féro bits'ą́ąjį' nídzízyizgo ch'éédzídzá. 
2:10:007:0	Áko Féro bá nidaal'a'í ádabidííniid, Haa nízáagishą' díí diné łoh yee nihidoolohgo bizahiikaah doo? Diné béé'níłnííh, áko biDiyin God Bóhólníihii yich'į' nidahałáa doo. Da' Ííjip kéyahgi hóóchxǫ'ígíísh t'ahdoo nił bééhoozįįh da? 
2:10:008:0	Féro bidááhdę́ę́' Mózes índa Éran nináádeizh'eezhgo ábidííniid, Nihílááh, Bóhólníihii nihiDiyin God bich'į' nidahohłá, nidi háidíígíishą' ákǫ́ǫ́ dah didoonééł? 
2:10:009:0	Áko Mózes ádííniid, Ániid nidaakaígíí áádóó hadaastihii áádóó danihiye'ké áádóó danihitsi'ké áádóó danihidibé dah danéelkaadii índa danihibéégashii t'áá bił nihidii'nééł, háálá hodílzingo áłah nídeiidleehgo Bóhólníihii bich'į' nidahwiidláa doo. 
2:10:010:0	Áko ánááhodoo'niid, Bóhólníihii nihił hólǫ́ǫgo áádóó nihí índa niha'áłchíní ádaałts'íísígíí bił nihi'nishníihgo doo bohonéedzą́ą́góó át'é. Ádaa ádahołyą́, háálá doo yá'át'éehii nihíni' danilį́. 
