2:28:001:1	Nááda'iiłniihii dabi'éé'
2:28:001:0	Éran nínaaí hágo bidiní, biye'ké yił dookah; éí Ízrel dine'é bitahdóó náá'iiłniihii danilį́įgo shá nidaal'a' doo: Néídab áádóó Abáíhu áádóó Eliyéízer índa Íthamar éí Éran biye'ké danilį́įgo yił dookah. 
2:28:002:0	Éé' dadílzinii éí nínaaí Éran bá ádeidoolíiłgo íínísin; yee ił nilį́į doo índa yee ayóó ánoolnin doo. 
2:28:003:0	Da'iichįįhii, hódzą́ baa sísįįdii t'áá ałtso bich'į' hadíídzih; éí Éran bi'éé' ádeidoolííł, áko diyingo bits'ąą hasti'ii nilį́į doo; éí shá naal'a'go náá'iiłniihii nilį́į doo. 
2:28:004:0	Éé' ádadoolníłígíí éí díí: ayidgi dah siłtsooz dooígíí áádóó íífad wolyéii áádóó éé' agod ta'jį' nineel'ánígíí áádóó ayaadi éé' nineezígíí éí nidaashch'ąą' dooígíí áádóó ch'ah dijoolígíí índa sis bee áká ná'álzis dooígíí nínaaí Éran índa biye'ké bá éé' dadílzinii ádeidoolííł; éí shá nidaal'a' doo biniyé nááda'iiłniihii danilį́į doo. 
2:28:005:0	Óola áłts'óózígo neheeshgizhígíí áádóó yisdizii yá nahalingo dootł'izhígíí áádóó tsídídééh nahalingo łichí'ígíí áádóó łichxí'ígíí índa áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii baa dahidoo'nił. 
2:28:006:0	Óola áłts'óózígo neheeshgizhígíí áádóó yisdizii yá nahalingo dootł'izhígíí áádóó tsídídééh nahalingo łichí'ígíí índa łichxí'ígíí éí áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii da'iichįįhgo bee íífad wolyéii ádeidoolííł. 
2:28:007:0	Íífad wolyéii awostisgi t'áá ałch'ijí bee ahídahidoolchahígíí ádoolnííł. 
2:28:008:0	Íífad aníí' gónaa ahééhiníłtsooz dooígíí sis baa nahodeesgį'go yistł'ónígíí éí bee áká dzíszaaz doo biniyé bił ahídahidoolchah; óola áłts'óózígo neheeshgizhígíí áádóó yisdizii yá nahalingo dootł'izhígíí áádóó tsídídééh nahalingo łichí'ígíí índa łichxí'ígíí éí yisdizii áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii bee t'áá íífad naashch'ąą'go ádoolníłígi át' éego sis naashch'ąą'go ádoolnííł. 
2:28:009:0	Tsé ílíinii naakigo ániks wolyéhígíí nídidííniłgo hasht'e'nibí'dook'ashgo bikáa'gi Ízrel biye'ké dabízhi' bik'i sinilgo ádeidoolíiłgo íínísin; 
2:28:010:0	tsé t'ááłá'í bikáa'gi hastą́lt'éego bízhi' t'áá ałkéé' nidabi'diizhchínígíí bik'ehgo bik'i sinilgo índa náánáłahjí tséhígíí bikáa'gi hastánáánált'éhígíí bízhi' t'áá ałkéé' nidabi'diizhchínígíí bik'ehgo bik'i náánásnilgo ádeidoolíiłgo íínísin. 
2:28:011:0	Tsé hasht'e'niyída'ak'aashii tsé yinída'ak'aashgo yízhí bik'i naaznilgo ádeile'ígi át'éego ni ałdó' t'áá éigi át'éego tsé ílíinii naakigo Ízrel biye'ké dabízhi' bik'i nidíínił áádóó bibąąhgóó óola bee ahéédeelghas dooígíí ádeidoolíiłgo íínísin. 
2:28:012:0	Índa éí tsé naakiígíí Ízrel biye'ké bee bééhániih doo biniyé íífad wolyéii bikáa'gi awostisgi t'áá ałch'ijí sinilgo ádíílííł; Éran éí Ízrel biye'ké dabízhi' hawostisgi bik'i sinilgo bee Bóhólníihii yee hwénálniih doo biniyé binááł yah aníjídáah doo. 
2:28:013:0	Áádóó óola ahéédeelghas dooígíí naakigo ádeidoolíiłgo íínísin, 
2:28:014:0	índa tł'óół ałk'ésgizígi át'éego óola t'áá bízhání da'ahólzha'í naakigo ałk'ésgizgo ádeidoolíiłgo íínísin; éí ahéédeelghasígíí t'áá ałch'ijí bíhidííłchah. 
2:28:015:0	Áko íífad wolyéii baa nahodeesgį'go ályaaígi át'éego bee nihodiit'aahjí ayidgi dah siłtsooz dooígíí ajiichįįhgo ájíléehgo íínísin; éí óola áłts'óózígo neheeshgizhígíí áádóó yisdizii yá nahalingo dootł'izhígíí áádóó tsídídééh nahalingo łichí'ígíí índa łichxí'ígíí éí áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii biyi'jį' yistł'ǫ́ǫgo ádeidoolíiłgo íínísin. 
2:28:016:0	Éí ahą́ą́h nániilyáago dik'ą́ą doo; yílá deests'ǫ́ǫ́d áníłnéezgo áádóó yílá deests'ǫ́ǫ́d áníłtéelgo ályaa. 
2:28:017:0	Índa bikáa'gi tsé da'ílíinii biih hidííniłgo dį́į'go hahidiit'i'go ádeidoolíiłgo íínísin; áłtsé hadiit'i' dooígíí éí sárdiyas áádóó tópaz índa kárbankal; 
2:28:018:0	naaki góne' hanáádiit'i' dooígíí éí émerald áádóó sáfair índa dáíman; 
2:28:019:0	táá' góne' hanáádiit'i' dooígíí éí jéísinth áádóó égat índa ámethist; 
2:28:020:0	dį́į́' góne' hanáádiit'i' dooígíí éí béril áádóó ániks índa jásper; t'ááłá'í ní'ánígo óola bił ahéédadeesghas dooígíí áda'doolííł. 
2:28:021:0	Ízrel biye'ké dabízhi' éí tsé naakits'áadahgo bii' nida'ashk'aazhgo bee ak'eda'ashchį́į doo; tsé bii' na'ashk'aazhgo bee yízhí bik'i sinilígíí nahalingo Ízrel dine'é dabízhi' bik'i sinil doo. 
2:28:022:0	Ayidgi dah siłtsooz dooígíí bá tł'óół ałk'ésgizígi át'éego óola t'áá bízhání da'ahólzha'ígíí ałk'ésgizgo ádeidoolíiłgo íínísin; 
2:28:023:0	ayidgi dah siłtsooz dooígíí bá óola názbąs naaki bąąh sinil dooígíí ałdó' ádeidoolíiłgo íínísin, áko ayidgi dah siłtsooz dooígíí t'áá ałch'ijí bąąh dah sinilgo ádeidoolíiłgo íínísin. 
2:28:024:0	Índa óola naaki ałk'ésgizgo ádoolníłígíí éí ayidgi dah siłtsooz dooígíí t'áá ałch'ijí óola názbąs naaki bąąh dah sinilígíí bíhidííłchah. 
2:28:025:0	T'áá ałch'ijí nineel'ánídóó óola ałk'ésgizígíí ninít'i'gi t'áá ałch'ijí óola naakigo ahéédeelghasígíí bíhidííłchah, áko éí bee ayidgi dah siłtsooz dooígíí íífad wolyéii bikáa'gi awostisjį' t'áá ałch'ijí bíhidoolchah. 
2:28:026:0	Índa óola názbąsgo naakigo ánáádeidoodlíiłgo íínísingo ayidgi dah siłtsooz dooígíí yaago nineel'ání biyi'dóó íífad bich'į'go bąąh sinilgo ádíílííł. 
2:28:027:0	Áádóó óola názbąsgo naakigo ałdó' ánáádeidoodlíiłgo íínísin, áko éí íífad bikáa'gi awostisdóó t'áá ałch'ijí háát'i'ígíí yaago ninít'i'gi bąąh sinilgo ádíílííł; sis éí íífad bąąh nít'i'ígíí da'iichįįhgo nídeiskadígíí bidáahjigo béheeshcha'gi bąąh sinilgo ádíílííł. 
2:28:028:0	Áádóó ayidgi dah siłtsoozígíí óola názbąsgo bąąh sinilii áádóó óola názbąsgo íífad bąąh sinilii yisdizii yá nahalingo dootł'izhígíí yee yídeidiyoołtł'óół, áko ayidgi dah siłtsooz dooígíí éí íífad bąąh sis nít'i'ígíí yiyiichįįhgo yiztł'ónígíí bikáa'gi siłtsooz doo biniyé, áádóó ałdó' ayidgi dah siłtsooz dooígíí éí íífad doo bits'ą́ą́' dínóotłóoł da biniyé yídeidiyoołtł'óół. 
2:28:029:0	Éran éí bee nihodiit'aahjí ayidgi dah siłtsoozígíí bikáa'gi Ízrel biye'ké dabízhi' bikáa'go hajéíkáa'gi siłtsooz doo, áko hodiyingo haz'ą́ąjį' t'áá yah aníjídááh bik'eh Bóhólníihii t'áá áłahjį' hwéénálniih. 
2:28:030:0	Áko bee nihodiit'aahjí ayidgi dah siłtsooz dooígíí biyi' Yúrim wolyéii áádóó Thámmim wolyéii nidííniłgo Éran hajéíkáa'gi sinilgo éí Bóhólníihii binááł yah aníjídáah doo, ákójít'ínígíí bee Éran éí Ízrel dine'é bibee nihodiit'aahii t'áá áłahjį' Bóhólníihii binááł hajéíkáá' hólǫ́ǫ doo. 
2:28:031:0	Íífad wolyéii biyaadi éé' agod ta'jį' nineel'ánígíí ałdó' t'áá át'é yá nahalingo dootł'izhgo ádeidoolíiłgo íínísin. 
2:28:032:0	Bizénághą́ą́ gónaa yistł'ǫ́ǫgo éí é'ígíí t'óó biih ná'nít'áahgo biih ná'ádáahgo béésh éé' bee na'abaahii ál'ínígi át'éego náskad doo. 
2:28:033:0	Éé' agod ta'jį' nineel'ánígíí t'ą́ą́' ánát'éego ahénálkadígi tsin pámgrenit aneest'ą' dijoolígi át'éego éí yisdizii yá nahalingo dootł'izhígíí áádóó tsídídééh nahalingo łichí'ígíí índa łichxí'ígíí bee ádeidoolíiłgo íínísin; óola yoo' achaaí éí pámgrenit bił ałta'yí'nilgo íínísin. 
2:28:034:0	Éé' agod ta'jį' nineel'ánígíí bijánil bibąąhgi óola yoo' achaaí índa tsin pámgrenit aneest'ą' bił ałta'yí'nilgo ádíílííł. 
2:28:035:0	Áko Éran ninájíl'aah bik'eh éé' bijánil bąąh yoo' achaaí bąąh sinilígíí diits'a' doo biniyé biih níjídáahgo hodiyingo haz'ání góne' Bóhólníihii binááł yah aníjídááh áádóó ch'ééjiidááh, ákótéego doo dazdootsaał da. 
2:28:036:0	Óola t'áá bízhání átáa'gi dah sitą́ą dooígíí ádeidoolíiłgo íínísin índa kóníigo tsé bii' na'ashk'aazhgo yízhí bik'i sinilígi át'éego Bóhólníihii Bá Ats'ádeet'ą́, níigo bikáá' ádeidoolíiłgo íínísin. 
2:28:037:0	Éí tł'óółts'ósí yá nahalingo dootł'izhígíí bee ch'ah dijoolí bíhidííłchah; ch'ah dijoolí bidááhjígo bíheestł'ǫ́ǫ doo. 
2:28:038:0	Éí Éran bítáa'gi dah sitą́ą doo, áko dílzingo náádahaniihii doo ákwii ádaat'éhígíí Ízrel dine'é t'áá deidísingo dílzingo náádayiiłniihgo éí Éran yá naatłizh doo; t'áá áłahjį' bítáa'gi dah sitą́ą doo, áko Ízrel dine'é éí Bóhólníihii yił dahóshǫ́ǫ doo. 
2:28:039:0	Áádóó éé' nineezígíí éí áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii naashch'ąą'go bik'i yí'nilgo deidootł'óołgo íínísin; ch'ah dijoolí ałdó' áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii bee ádeidoolíiłgo índa sis bee áká ná'álzis dooígíí naashch'ąą'go yistł'ǫ́ǫgo ádeidoolíiłgo íínísin. 
2:28:040:0	Áádóó Éran biye'ké bá éé' nineezígíí áádóó sis bee áká ná'álzis dooígíí índa ch'ah dijoolí ádeidoolíiłgo íínísin; éí yee ił nilį́į doo índa yee ayóó ánoolnin doo. 
2:28:041:0	Índa nínaaí Éran áádóó biye'ké t'áá bił éí éé' bee hadahodidíílííł, áádóó ak'ah hak'i yadeidííziłgo dahodíísįh índa diyingo hats'ąą hasti'ii ats'ádahodííniłgo dazhdiyin doo. 
2:28:042:0	Náá'áłdó' doo t'áá łichí'ígo nidajikai da doo biniyé na'at'ą́hí łigaii dits'idígíí bee tł'aaji'éé' há ádeidoolíiłgo íínísin; haníí'dóó ach'ozhjį' daneel'ą́ą doo; 
2:28:043:0	Éran áádóó biye'ké éí tł'aaji'éé' yiih nídaat'isgo níbaal bii' dahozdísinii góne' yee yah anídaakah doo, doodaii' shá nidaal'a' doo biniyé bikáá' náá'iiniihí si'áníjį' hodiyingo haz'ánígi yee yah anídaakah doo, áko doo ákwii ádáát'įįdígíí doo yee ádidahodidoolt'ih da áádóó doo dadínóonéeł da. Díí yee nihoní'áanii ahoyéel'áágóó Éran índa bits'ą́ą́dóó náás da'ahidoolchíłígíí bá át'ée doo.
