2:6:001:1	Mózes bíká ánááhodoo'niid
2:6:001:0	Ákohgo Bóhólníihii éí Mózes áyidííniid, K'ad Féro áhodeeshłíłígíí dínííł'įįł, háálá yílá bidziilii bee béé'doolnih, índa ts'ídá yílá bidziilii bee bikéyahídóó ch'íhodínóołkał. 
2:6:002:0	Áko Diyin God éí Mózes áyidííniid, Shí Bóhólníihii nishłį́. 
2:6:003:0	Éíbraham áádóó Áízak índa Jéíkab shízhi' Diyin God Aláahgo Ayóó'ábóodziilii bee bich'į' ííshjání í'diishyaa, nidi Bóhólníihii shízhi' nilį́įgo t'áadoo bee bich'į' ííshjání í'diishyaa da. 
2:6:004:0	Áádóó ałdó' chánahgo bił ahadadi'nisht'ą́ągo Kéínan kéyah nihaa dideesh'ááł, bidííniid ni'; t'áá éí kéyah t'óó átsééd yikáá' naasdee'go dé'éyóní danilį́į́ nít'éé' yę́ę baa dideesh'áałgo bee haasdzíí'. 
2:6:005:0	Áádóó Ízrel dine'é éí Ííjip dine'é binaalte' dajílį́įgo nidazhdi'ni'go diséts'ą́ą́', nidi bił ahadadi'nisht'áanii bénáshniih. 
2:6:006:0	Éí bąągo Ízrel dine'é kóbididííniił, Shí Bóhólníihii nishłį́, áko Ííjip dine'é naanish yídanihiniłkadgo atídanihił'į́į́dóó ch'ínihideesh'ish, áádóó binaalte' danohłínídóó dah nihidideesh'ishgo ts'ídá bidziilgo índa ayóó át'éego baa nídéesht'įįłii bee nihik'é niná'deeshdlééł. 
2:6:007:0	Áko shidine'é danohłį́į doo áádóó shí nihiDiyin God nishłį́į doo índa shí Bóhólníihii nihiDiyin God éí Ííjip dine'é naanish yídanihiniłkadgo atídanihił'į́ yę́ędóó ch'ínihiní'eezhii nishłį́įgo nihił béédahodoozįįł. 
2:6:008:0	Áko kéyah biih nihideesh'ishígíí éí Éíbraham áádóó Áízak índa Jéíkab ts'ídá baa dideesh'áałgo bich'į' bee ádee hahidísdzíi'ii nihaa dideesh'áałgo nihíí' dooleeł. Shí Bóhólníihii nishłį́. 
2:6:009:0	Mózes éí kónááhá'ní níigo Ízrel dine'é yich'į' yáłti', nidi Mózes doo dayíists'ą́ą' da, háálá t'áá íiyisí bąąh nidahwiizkaadgo naalte' danilį́įgo naanish yąąh niikááh. 
2:6:010:0	Áko Bóhólníihii éí Mózes ánéidoo'niidgo ání, 
2:6:011:0	Nihílááh, Ííjip dine'é aláahgo binanit'a'í Féro bił yah ooh'aashgo kóbidohní, Nikéyahdóó Ízrel dine'é béé'níłnííh. 
2:6:012:0	Mózes éí Bóhólníihii áyidííniid, Jó, Ízrel dine'é doo dashíists'ą́ą' dago haash yit'éego Féro shíists'ą́ą' doo, háálá saad doo sheiszįįd da? 
2:6:002:1	Mózes áádóó Éran náás ahoolchíiłii
2:6:013:0	Nidi Bóhólníihii éí Mózes áádóó Éran áyidííniid, Ízrel dine'é índa Ííjip dine'é aláahgo binanit'a'í Féro bich'į' hadoohdzih, Ííjip kéyahdóó Ízrel dine'é ch'ídiit'ish, bididoohniił. 
2:6:014:0	Díí dabizhé'é yę́ę dabighandóó alą́ąjį' nidaakaii: Ízrel bá alą́ąjį' yizhchínígíí Rúben wolyéii biye'ké éí Héínak áádóó Pállu áádóó Hézran índa Kármai daolyé. Díí Rúben ba'áłchíní ádaat'į́. 
2:6:015:0	Símiyan biye'ké éí Jíímuwel áádóó Jéímin áádóó Óhad áádóó Jéíkin áádóó Zóhar índa Shéíyal daolyé. (Shéíyal bimá éí Kéínan dine'é asdzání nilį́.) Díí Símiyan ba'áłchíní ádaat'į́. 
2:6:016:0	Díí Líívai biye'ké náás ahoolchíłígíí kódaolyé: Gérshan áádóó Kóhath índa Miirárai, áko Líívai bíídíiską́ą́dóó neeznádiindóó ba'aan tádiindóó ba'aan tsosts'id binááhai. 
2:6:017:0	Gérshan biye'ké éí Líbnai índa Shímiyai wolyé. 
2:6:018:0	Kóhath biye'ké éí Ámram áádóó Ízxar áádóó Hííbran índa Azáíyel daolyé. Kóhath bíídíiską́ą́dóó neeznádiindóó ba'aan táá' binááhai. 
2:6:019:0	Miirárai biye'ké éí Málai áádóó Múshai wolyé. Díí Líívai ba'áłchíní náás ahoolchíłígíí ádaat'į́. 
