2:40:001:1	Níbaal bii' hodílzinii dílzingo niit'ą́
2:40:001:0	Áádóó Bóhólníihii éí Mózes yich'į' haadzíi'go ání, 
2:40:002:0	Áłtsé nídízídígíí binih ła'a jį́į́ góne' níbaal bii' dahozdísinii nidíí'ááł. 
2:40:003:0	Índa éí bii' tsits'aa' dílzinii éí neeznáago bik'eh ó'oo'níiłii bee bééhániihii bii' sinilii nidíí'ááł, áádóó tsits'aa' dílzinii bich'ą́ą́h aníbaalgo ádíílííł. 
2:40:004:0	Índa bikáá' adání ałdó' yah adíí'ááł, áádóó bikáá' naaznil dooleełígíí bikáá' nidadíínił, índa bee hool'iní bá yadaa'áii yah adíítį́į́ł áádóó bee dahool'inígíí bikáá' nínilgo ádíílííł. 
2:40:005:0	Bikáá' náá'iiniihí óola bee ályaii éí tsin bijeeh dilidgo łikání halchinii nááhániihii bá ályaii, áádóó tsits'aa' dílzinii neeznáago bik'eh ó'oo'níiłii bee bééhániihii bii' sinilii bidááhjí nidíí'ááł, índa níbaal bii' hodílzinii bich'é'étiingi aníbaalgo ádíílííł. 
2:40:006:0	Didlidgo nááhániihii biniyé bikáá' náá'iiniihí éí níbaal bii' dahozdísinii bich'é'étiindóó bidááhjí nidíí'ááł, 
2:40:007:0	índa níbaal bii' dahozdísinii si'ánídóó bikáá' náá'iiniihí si'ání bita'gi bii' tá'ádígisí nidíí'áałgo tó bee nidííkááł. 
2:40:008:0	Níbaal bii' hodílzinii binaa haz'ánígi biná'ázbaalgo ádíílííł, índa bich'é'étiingi aníbaalgo ádíílííł. 
2:40:009:0	Ákohgo ak'ah ak'i yahiidzíidgo bee alzį́įhii ła' nídidííkáałgo níbaal bii' hodílzinii índa biyi' góne' naaznilígíí t'áá ałtso bik'i yadeidiyííził, áko níbaal bii' hodílzinii áádóó biyi' góne' chodao'íinii t'áá ałtso ats'ádííniłgo dadíísįh, áádóó dadílzin dooleeł. 
2:40:010:0	Áádóó didlidgo nááhániihii bá bikáá' náá'iiniihí índa bił chodao'íinii t'áá ałtso bik'i yadeidiyííził, áko bikáá' náá'iiniihí ts'ídá dílzingo ádíílííł, áádóó bikáá' náá'iiniihí ts'ídá aláahgo dílzin dooleeł. 
2:40:011:0	Bii' tá'ádígisí índa bá si'ánígíí ałdó' bik'i yeidííziłgo ts'ídá dílzingo ádíílííł. 
2:40:012:0	Ákohgo índa Éran áádóó biye'ké éí níbaal bii' dahozdísinii bich'é'étiinjį' nihodíí'ishgo tó bee táádahodíígis, 
2:40:013:0	índa Éran éí éé' dadílzinii biih hodííłtééł, índa ak'ah hak'i yeidííził, áádóó diyingo áhodíílííł, áko shá nidajil'a'go náá'iiłniihii dajílį́į doo. 
2:40:014:0	Áádóó Éran biye'ké díí'ishgo t'ááłá'í nítínígo éé' biih dahodiyííłtééł, 
2:40:015:0	áádóó ak'ah hak'i yadeidiyííziłgo bee dahodíísįhgo bizhé'é ak'ah bik'i yeiniziidígi át'éego ádíílííł. Áko shá nidaal'a'go náá'iiłniihii danilį́į doo; jó, dazhdiyingo ádaho'diilyaaígíí hool'áágóó nááda'iiłniihii dajílį́įgo náás da'ahijílchíih doo. 
2:40:016:0	Áko Mózes t'áá ákódziidzaa; Bóhólníihii áhodííniidígíí t'áá ałtso bik'ehgo í'jiilaa. 
2:40:017:0	Naaki náhááh góne' áłtsé nídízídígíí binih ła'a jį́į́ góne' níbaal bii' hodílzinii niit'ą́. 
2:40:018:0	Mózes éí níbaal bii' hodílzinii niiní'ą́; atł'ááh naaznilii t'ááłáhíjí biih dahasdzánígíí niinínil, áádóó tsin neheeshjíí' neelkáalgo áyiilaa, áádóó tsin níyizii naaniigo bąąh daní'áii deideeztsih, índa ííyah danii'áii adeiztsih. 
2:40:019:0	Níbaal bii' hodílzinii atis ahííkaad dooígíí bitis ahííkaadgo áyiilaa, índa éí bikáa'gi atis adahaazkaad dooígíí bitis adahaazkaadgo áyiilaa; Bóhólníihii éí Mózes yich'į' yee haadzí'ígíí yi'iilaa. 
2:40:020:0	Ákohgo neeznáago bik'eh ó'oo'níiłii bee bééhániihii éí tsits'aa' dílzinii yiih yiyíínil, áádóó éí tsits'aa' tsin níyizii bee na'at'áhígíí t'áá ałch'ijí ní'áago áyiilaa, áádóó aa a'ááh hasinii bił haz'áanii bidadinítą́ągo áyiilaa, 
2:40:021:0	índa tsits'aa' dílzinii éí níbaal bii' hodílzinii yiih deiz'ą́ągo ata'naníbaal dooígíí níbaalgo ádayiilaa, áko tsits'aa' dílzinii neeznáago bik'eh ó'oo'níiłii bee bééhániihii bii' sinilii yich'ą́ą́h da'deesbaal; Bóhólníihii éí Mózes yich'į' yee haadzí'ígíí yida'iilaa. 
2:40:022:0	Áádóó bikáá' adání néidii'ą́ągo níbaal bii' dahozdísinii si'ání góne' t'áá éí níbaal bii' hodílzinii ata'naníbaalídóó tł'óó' bich'į'go haz'ánígi náhookǫs bich'ijí niiní'ą́. 
2:40:023:0	Bááh éí bikáá' adání yikáá' Bóhólníihii binááł niinínil; Bóhólníihii éí Mózes yich'į' yee haadzí'ígíí yi'iilaa. 
2:40:024:0	Índa níbaal bii' dahozdísinii biyi' bee hool'iní bá yadaa'áii niiní'ą́; níbaal bii' hodílzinii biyi' bikáá' adání si'ání binaashiijí shádi'ááhjígo niiní'ą́. 
2:40:025:0	Bee dahool' inígíí bikáá' yí'nilgo Bóhólníihii binááł deidiiłtłah; Bóhólníihii éí Mózes yich'į' yee haadzí'ígíí yi'iilaa. 
2:40:026:0	Áádóó bikáá' náá'iiniihí óola bee ályaii éí níbaal bii' dahozdísinii biyi' ata'naníbaalígíí bitsį́įjį' niiní'ą́ągo 
2:40:027:0	bikáa'gi Mózes éí tsin bijeeh dilidgo łikání halchinii nááyiisnii'; Bóhólníihii éí Mózes yich'į' yee haadzí'ígíí yi'iilaa. 
2:40:028:0	Índa níbaal bii' hodílzinii bich'é'étiingi dáádiníbaalígíí yideesbaalgo 
2:40:029:0	didlidgo nááhániihii biniyé bikáá' náá'iiniihí néidii'ą́ągo níbaal bii' dahozdísinii bich'éédą́ą'gi niiní'ą́ągo bikáa'gi didlidgo nááhániihii índa ak'áán nááhániihii nááyiisnii'; Bóhólníihii éí Mózes áyidííniidígíí yi'iilaa. 
2:40:030:0	Áádóó níbaal bii' dahozdísinii índa bikáá' náá'iiniihí bita'gi bii' tá'ádígisí niiní'ą́ągo tó bee tá'ádazdigis dooleełígíí niiníką́. 
2:40:031:0	Áko ákwii Mózes áádóó Éran índa biye'ké dabíla' áádóó dabikee' tánínádeigis doo, 
2:40:032:0	áádóó níbaal bii' dahozdísinii si'ánígóó nídazhdikahgo áádóó bikáá' náá'iiniihí bich'į' ninádajikahgo átsé tá'ánídazdigis doo; Bóhólníihii éí Mózes yich'į' yee haadzíi'ii yida'ósin. 
2:40:002:1	K'os éí níbaal bii' hodílzinii bik'iildo
2:40:033:0	Índída níbaal bii' hodílzinii áádóó bikáá' náá'iiniihí binaa haz'ánígíí biná'ázbaalgo ájiilaa, áádóó bich'é'étiingi dáádiníbaal níbaalgo ájiilaa. Ákohgo Mózes naanish ałtso ła' yiyiilaa. 
2:40:034:0	Áko índa níbaal bii' dahozdísinii éí k'os bik'iildo áádóó Bóhólníihii bits'ádi'nílíidii yee níbaal bii' hodílzinii t'áá át'é yii' hólǫ́ silį́į́'. 
2:40:035:0	Áko Mózes éí níbaal bii' dahozdísinii góne' doo yah ajóya' át'ée da silį́į́', háálá níbaal bii' hodílzinii éí k'os bik'iildogo bik'i dah yilzhoł, áádóó Bóhólníihii bits'ádi'nílíidii yee níbaal bii' hodílzinii t'áá át'é yii' hólǫ́. 
2:40:036:0	Níbaal bii' hodílzinii bits'ą́ą́dóó k'os dego dah nídiildohgo bik'ehgo Ízrel dine'é dah nídiikah, ákót'éego tádínééh nít'éé', 
2:40:037:0	nidi k'os doo dah diildóóhgóó Ízrel dine'é doo dah diikáah da; k'os dah nídiildohgo índa. 
2:40:038:0	Jó, Bóhólníihii bits'ą́ą́dóó k'osígíí éí jį́įgo níbaal bii' hodílzinii yik'i dah yilzhoł, áádóó tł'ée'go kǫ' níyizgo bik'i dah yilzhołgo Ízrel dine'é t'áá ałtso éí deiníł'į́įh łeh; éí bik'ehgo t'áá át'é tádííná. 
