2:20:001:1	Neeznáago bik'eh ó'oo'níiłii
2:20:001:0	Áko Diyin God díí saad t'áá ałtso yee hahaasdzíi'go kóní, 
2:20:002:0	Shí, Bóhólníihii nihiDiyin God éí Ííjip kéyahdi naalte' danohłį́ yę́ędóó háánihíí'eezhii ásht'į́. 
2:20:003:0	T'ááká diyin náánáła' dahólǫ́ǫgo íínísin yíila'. 
2:20:004:0	Ha'át'íhígíida bida'alyaii doo ádá ádíílíił da; ha'át'íhígíida yádiłhił biyi'di dahólóonii, doodaii' nahasdzáán bikáa'gi dahólóonii, doodaii' táyi' naaldeehii doo béé'díídlíił da, 
2:20:005:0	áko éí doo bich'į' tsé'yaa náníljoł da doo, doodaii' doo bee nahółáa da doo, háálá shí éí Bóhólníihii niDiyin God łe'nízinii nishłį́; da'azhé'é yę́ę doo ákwii ádajíít'įįdígíí éí doo dashidzisdįįdgóó hada'áłchíní náás ahoolchíiłii táadi índa dį́įdi ałk'i ná'ázhchį́įjį' bik'i hwiileehgo bá nináhwiish'nííł, 
2:20:006:0	nidi shí baa a'ááh nisinígíí haa shį́į́ néelą́ą'di mííl ádanéelą́ą'go ayóó'ádashó'nínígíí áádóó shibik'eh ó'oo'níiłii yik'eh dahół'íinii bik'idajishdlí.  
2:20:007:0	Bóhólníihii niDiyin God bízhi' doo dílzingóó doo ádíílíił da; jó, t'áá háiida Bóhólníihii bízhi' doo dílzingóó ájiilaaígíí bee ádihozhdiilt'i'go Bóhólníihii hak'ijį' yis'ą́ą doo. 
2:20:008:0	Háá'áyį́į́h jį́ éí hodílzingo aná'át'áah dooígíí ts'ídá béénílniih. 
2:20:009:0	Hastą́ą́h jį́ t'éí nanilnish doo, áádóó t'áá ákódígo nanilnish doo, 
2:20:010:0	nidi tsosts'id jínígíí éí Bóhólníihii niDiyin God biháá'áyį́į́h jį́ át'é, áko éí bijį́ doo nanilnish da doo; ni lá, doodaii' niye', doodaii' nitsi', doodaii' diné ná naalte', doodaii' asdzání ná naalte', doodaii' nilį́į́' ał'ąą ádaat'éii, doodaii' dé'éyóní nił hólónígíí éí doo nidoolnish da, 
2:20:011:0	háálá hastą́ą́h jį́įjį' Bóhólníihii éí yádiłhił áádóó nahasdzáán áádóó tónteel índa biyi'di dahólóonii t'áá ałtso áyiilaa, áádóó tsosts'id jį́ azlį́į́' góne' hanáályį́į́'; éí bąą Bóhólníihii háá'áyį́į́h jį́ yik'ijisdli' áádóó dílzingo ats'éidiní'ą́.  
2:20:012:0	Nizhé'é índa nimá nił nilį́įgo íínísin; Bóhólníihii niDiyin God éí kéyah nihaiidee'aahígíí bikáa'gi as'ahgóó hinínáa doo.  
2:20:013:0	Diné ts'ídá doo diyííłhéeł da.  
2:20:014:0	Ts'ídá doo adidííléeł da.  
2:20:015:0	Ts'ídá doo adíníí'į́įł da.  
2:20:016:0	Bił kééhót'íinii ts'ídá t'áadoo t'áá ádzaagóó baa hólne'í.  
2:20:002:1	Ízrel dine'é bił daayéé'
2:20:017:0	Bił kééhót'íinii bighan ts'ídá t'áadoo bidáninilníní; bił kééhót'íinii be'asdzą́ą́ ts'ídá t'áadoo bidáninilníní; diné bá naalte', doodaii' asdzání bá naalte', doodaii' bibéégashii, doodaii' bitélii ts'ídá t'áadoo bidáninilníní, áádóó bił kééhót'íinii bíhígíí ts'ídá t'áadoo bidáninilníní.  
2:20:018:0	Áko diné t'áá ałtso éí da'di'nínígíí, áádóó nída'iilgęshígíí, áádóó deenásts'aa' bidee' bee í'dílzoołí ánínígíí, índa dził bąąh łid hazlį́'ígíí yaa ákodaniizį́į'go bik'ee bitah dahoditłidgo t'áá nízaadi naazį́. 
2:20:019:0	Áko Mózes ádayidííniid, T'áá ni nihich'į' yáníłti', áko daníísíilts'ą́ą' doo, nidi háni'dii Diyin God t'áadoo nihich'į' yáłti'í dooleeł, áko doo dadíníi'néeł da. 
2:20:020:0	Mózes éí diné áyidííniid, T'áadoo nihił daayé'í, háálá Diyin God éí hanihisíid doo, áádóó dadíínóhsin doo yiniyé nihaa honíle', áko doo ádił nida'íiyohsíih da doo. 
2:20:003:1	Bikáá' nááda'iiniihí bibee nahaz'áanii
2:20:021:0	Áko diné t'áá nízaadi naazį́įgo Mózes éí ayóogo chahałheełígi áháníjį' Diyin God yich'į'go náás hideeyá. 
2:20:022:0	Áko Bóhólníihii éí Mózes áyidííniid, Ízrel dine'é kóbididííniił, Yá'ąąshdę́ę́' nihich'į' yéíłti'ígíí t'áá nihí nihił béédahoozin. 
2:20:023:0	T'ááká diyin dabidi'níinii béésh łigaii bee eda'alyaii, doodaii' óola bee eda'alyaii shí daóltą'go doo ádá ádadoohłíił da. 
2:20:024:0	Shich'į' náádadi'yoołnih biniyé łeezh bee bikáá' náá'iiniihí ádadoohłííł, áko éí bikáá' didlidgo nihinááhániihii, áádóó hózhǫ́ǫ́jí nihinááhániihii, áádóó nihidibé, índa nihibéégashii éí náádahołniih doo; t'áá ałtso shízhi' bééhániihgo áshłaaígi nihaa deesháałgo nihik'ijiideeshdliił. 
2:20:025:0	Áko shich'į' náádadi'yoołnih biniyé bikáá' náá'iiniihí tsé bee ádaahłéehgo, tsé ahihidoolkaalii doo bee ádadoohł íił da, háálá nihibee na'anishí bee bindashoołnishgo éí t'óó daołchxǫ' doo. 
2:20:026:0	Shibikáá' náá'iiniihí bich'į' ałk'i hoo'nil góde doo háánídáa da doo; t'áadoo ałk'i hoo'nilí ádíílííł, ákót'éego íinilaago éí bikáa'jį' t'áá łich'í'ígo naa da'iidoołtsééł.
