2:18:001:1	Jéthro éí Mózes yaa níyá
2:18:001:0	Áko Mídiyan kéyahdóó náá'iiłniihii Jéthro nilíinii Mózes yaadaaní nilíní éí Mózes índa Diyin God bidine'é Ízrel bił Diyin God há yaa naayáhígíí t'áá ałtso índa Ííjip kéyahdę́ę́' Bóhólníihii ch'íbiní'eezhgo yaa hodiizts'ą́ą́'. 
2:18:002:0	Mózes éí Jéthro baadaaní jílį́įgo hwe'asdzą́ą́ Zipórah t'ą́ą́' béézh'níłnii' yę́ędą́ą́' áádę́ę́' bizhé'é bił nát'áázh, 
2:18:003:0	índa biyáázhké nidilt'éego ałdó' yił dah diikai; éí ła' Gérsham wolyé, háálá łah ájíní, Dé'éyóní nishłį́įgo kéyah doo ééhonisindi naashá; 
2:18:004:0	ła'ígíí éí Eliyíízer wolyé, háálá ájíní, Shizhé'é biDiyin God shíká análwo'go Féro bidiltłish yits'ą́ą́dóó yisdáshííłtį́. 
2:18:005:0	Jéthro éí Mózes haadaaní nilį́įgo biye'ké áádóó be'asdzą́ą́ bił honoojíigi Diyin God bidziłdi dah oonéełgo áadi Mózes baa jíkai. 
2:18:006:0	Áko Mózes ábi'doo'niid, Shí, baadaaní nílíní áádóó ne'asdzą́ą́ índa biyáázhké bił naa nishkai. 
2:18:007:0	Áko Mózes yaadaaní nilíní yidáahjį' ch'íníyáago yich'į' yaa ádzaa áádóó yizts'ǫs, áádóó haash yit'éego kééhojit'ínígíí bína'ahízhdéélkid, índa níbaal góne' yah ajookai. 
2:18:008:0	Áko Mózes éí baadaaní jílíní bił ahozhniilne'go Ízrel dine'é biniinaa Bóhólníihii éí Féro índa Ííjip dine'é áyííł'įįdígíí áádóó joonééłdę́ę́' hach'į' nidahwiisnáa'gi índa Bóhólníihii ch'ééhoní'eezhgi t'áá ałtso bee bił nahodzisne'. 
2:18:009:0	Áko Bóhólníihii éí yá'ádaat'éehii t'áá ałtso Ízrel dine'é yá yaa naayáhígíí, jó, éí Ííjip dine'é yits'ą́ąjį' yisdáyíínilígíí éí Jéthro baa bił hóózhǫǫd. 
2:18:010:0	Áko Jéthro ádííniid, Bóhólníihii baa ha'niih le'; éí Ííjip dine'é índa Féro bits'ą́ąjį' yisdánihíínilígíí índa bidine'é éí Ííjip dine'é yiyaa sinildę́ę́' yisdábíínil lá. 
2:18:011:0	K'ad díí shił bééhoozin: Bóhólníihii éí diyin dabidi'níinii t'áá ałtso yiláahgo át'éé lá; jó, ha'át'íhída bee ádaa dahoji'niihii yiláahgo át'é. 
2:18:002:1	Ándahwii'aahii nidahaas'nil
2:18:012:0	Áko Mózes baadaaní jílíní Jéthro éí Diyin God bich'į' didlidgo nááhániihii índa náádahaniihii náájiisnii', áádóó Éran éí Ízrel dine'é aląąjį' naazíinii t'áá ałtso yił yíkai, áko Diyin God binááł Mózes yaadaaní nilíní bił bááh bidazh'niiyą́ą́'. 
2:18:013:0	Ákódzaago biiskání Mózes éí diné yaa nídóot'įįł biniyé dah neezdá, áko abínídóó i'íí'ą́ąjį' Mózes éí diné haa áłah nilį́į́ nít'éé'. 
2:18:014:0	Áko Mózes yaadaaní nilíní diné baa hwiinít'ínígíí t'áá ałtso yiyiiłtsą́ągo ádííniid, Díishą' ha'át'íí diné bá baa naniná? Ha'át'éegoshą' t'áá ni t'éí sínídáago abínídóó i'íí'ą́ąjį' diné naazį́įgo ninás'á. 
2:18:015:0	Áko Mózes éí yaadaaní nilíní áyidííniid, Jó, diné éí Diyin God yíndashídíłkid yiniyé shaa dahakááh. 
2:18:016:0	Áádóó bita'gi baaní dahólǫ́ǫgo shaa nídaakahgo bá beinísht'į́; Diyin God yee nihwiiz'áanii índa bibee nahaz'áanii bił nibééhoyeesįįł. 
2:18:017:0	Áko Mózes yaadaaní nilíní ábidííniid, T'áá ni t'éí ákónít'į́įgo doo ná yá'át'éeh da. 
2:18:018:0	Jó, t'áá aaníí t'óó ádił ninohkááh, háálá díí t'áá íiyisí ná niłdzil; t'áá sáhí baa nánít'į́įgo doo bíninil'ą́ą da. 
2:18:019:0	Shizaad yísíníłts'ą́ą́'; shí ná hodish'aah; Diyin God nił hólǫ́ǫ le'; Diyin God bich'į' diné bá sínízį́į doo, áko bida'diił'áii Diyin God bich'į' nabik'íyáníłti' doo. 
2:18:020:0	Índa bik'eh hoogáałii áádóó bee nahaz'áanii bínabiníłtin doo; deíkáah dooleeł góó índa hazhó'ó nidaalnish dooleełgóó bił ííshjání ádahodííliił. 
2:18:021:0	T'ah náábíláahgo diné t'áá ałtso bitahdóó diné t'áá nitsídaakeesii áádóó Diyin God deidísinii áádóó bada'ahódlíii índa adááh hání yijoołxáii náhidííla; éí miilgo, neeznádiingo, ashdladiingo índa neeznáago diné yindant'áa doogo nídiinííł. 
2:18:022:0	Áko éí t'áá áłahjį' diné yá nidahwii'aah doo, áko kót'ée doo: baaní nitsaaígíí éí t'áá ałtso t'óó nich'į' kódaalne' doo, nidi baaní áłts'íísígíí éí t'áá bí yaa nídaat'į́į doo, ákót'éego doo ná niłdzil da doo, áádóó ade ádaat'éii ná ásdzólígo ádayósin doo. 
2:18:023:0	Díí ákwíindzaago áádóó Diyin God ałdó' ákóníłníigo, ákót'éego t'éiyá náásgóó bíninil'ą́ą doo, áádóó díí diné t'áá ałtso ałdó' dabighangóó anáhidookahgo bił dahodéezyéel doo. 
2:18:024:0	T'áá áko Mózes yaadaaní nilíní ádííniidígíí yidiizts'ą́ą'go t'áá ałtso yik'eh hóół'įįd. 
2:18:025:0	Mózes éí Ízrel dine'é bitahdóó diné t'áá nitsídaakeesii ła' néidiinil; éí miilgo, neeznádiingo, ashdladiingo índa neeznáago diné yindant'áa doo biniyé niinínil. 
2:18:026:0	Áko t'áá áłahjį' diné yá nidahwii'aah: baa nídahwíídóot'įįłii nantł'aígíí éí Mózes baa dahizhdi'aah, nidi baaní áłts'íísígo éí t'áá hó baa nídajit'į́. 
2:18:027:0	Áko Mózes baadaaní jílíní bił ałts'áníjísht'áazhgo t'áá bí bikéyahgóó béézhníłnii'.
