2:23:001:1	T'áá ákogi át'éii áádóó aheełt'éego ahaa nitsáhákees
2:23:001:0	T'áadoo t'áá áhoodzaagóó ch'íhoyí'aahí. T'áá ádzaagóó hane' ííł'íní doo dííleeł da biniyé doo yá'áshóonii nilíinii t'áadoo bił ałch'oní'níní. 
2:23:002:0	Doo yá'át'éehii doo baa nanináa da doo biniyé dahasłą́ą́góó t'áadoo nanináhí; doo ákǫ́ǫ́ ádaat'į́į́góó índa t'áadoo haa deit'éii łahgo át'éego ádeile'go yee ádaa nidahalne'go aghá'ánéelą́'ígíí t'áadoo bikéé' ninánílwo'í. 
2:23:003:0	Diné bahojoobá'ígo ádihodiilt'i'go doo bich'oha'níigo ádíílíił da.  
2:23:004:0	Ni'ana'í bibéégashii, doodaii' bitélii yóó'iigháahgo bidááh yíníyáago ts'ídá t'áá baa nídíídlósí. 
2:23:005:0	Índa nijoołáii bitélii biyéél yiyaa sitį́įgo yiniłtsą́ągo t'óó bíighah ch'óoya'ígi át'ée nidi ts'ídá t'áá bíká adíílwołí.  
2:23:006:0	Nihidiné badahojoobá'ígíí bide áhoot'éego baa hwiinít'íinii t'áadoo nanigizgo baa yáníłti'í. 
2:23:007:0	T'áá ádzaagóó áhooníiłii ts'ídá bits'ąą ádaa áhólyą́, áádóó t'áadoo bee bik'ídahót'ahíii índa t'áá ákogi ádaat'éii doo diyííłhéeł da, háálá doo yá'áshónígi ááníiłii éí doo t'áá ákogi át'éego bá hadeesdzih da. 
2:23:008:0	Bee nani'diiniihii doo nídidííléeł da, háálá éí dahóyáanii bíni' ádeiłdįįh, áádóó t'áá ákogi ádaat'éii bizaad łahgo ádeile'.  
2:23:002:1	Nináháháahjį' háá'áyį́hígíí áádóó háá'áyį́į́h jį́
2:23:009:0	Náá'áłdó' dé'éyóní doo bide áhwíínísin da doo, háálá Ííjip kéyahdi nihí ałdó' dé'éyóní danohłį́į́ nít'é'ígíí bąą dé'éyóní bijéí át'éegi nihił béédahózin.  
2:23:010:0	Hastą́ą́h nínáhahjį' k'éédídléeh doo, áádóó nídant'į́įhii áłah ánéinil'įįh doo. 
2:23:011:0	Nidi tsosts'id nínáhah góne' doo ná'ígish da doo, áko nidine'é badahojoobá'ígíí ch'iyáán bee hólǫ́ǫ doo áádóó nihihiniidee'ígíí naaldlooshii bich'iyą' doo. T'áá ákót'éego nich'il na'atł'o'ii yíl'áii bineest'ą' índa áliv naazkaadii bineest'ą' doo áłah ánéinil'įįh da doo.  
2:23:012:0	Hastą́ą́h jį́ t'éí ninánílnish doo, nidi tsosts'id jį́į́ góne' éí hááhílyį́įh doo, índa nibéégashii áádóó nitélii ałdó' háádaalyį́įh doo, áko asdzání ná naalte' biyáázh áádóó dé'éyóní nilíinii bik'éé dahwiitáah doo. 
2:23:003:1	Táadi hodílzingo áłah ná'ádleeh bee nihoot'ą́
2:23:013:0	Áko bee nihich'į' haasdzí'ígíí t'áá ałtso baa dahonohsą́, áádóó diyin dabidi'níinii dabízhi' t'áadoo bee hahídziihí; doo nidi baa yáníłti' da doo. 
2:23:014:0	Táadi shich'į'go dahodíínóhsingo áłah náhdleehgo nínáhah doo. 
2:23:015:0	Díík'ǫsh t'áágééd bááh ályaii binahjį' dahodíínóhsingo áłah náhdleeh doo; díík'ǫsh t'áágééd bááh ályaii tsosts'id néíłkáahjį' daohsą́ą doogo nihich'į' haasdzíi' ni'; Éíbib yiziłígíí binih ła'a jį́ bee nihoot'áníjį' ánáhwiilzhíishgo ákódaaht'į́į doo, háálá éí biyi' Ííjip kéyahdę́ę́' ch'ínoohkai ni', áádóó ła'da nááhániihii doo t'áágéedgo shich'į' nizhdoogáał da. 
2:23:016:0	Nihidá'ák'ehgi k'ééda'dohdléehgo bindashoołnishígíí bits'ą́ą́dóó aneest'ą' áłtsé nídant'į́įhii binahjį' dahodíínóhsingo áłah náhdleeh doo. Ałtso náhshį́įhgo nihidá'ák'ehdóó nídaohishígíí áłah áńdaoł'įįhgo dahodíínóhsingo áłah náhdleeh doo. 
2:23:017:0	Nínáhahjį' táadi nidiné t'áá ałtso Bóhólníihii Diyin God yich'į' ninákah doo. 
2:23:018:0	Shich'į' nááhániihii bidił éí t'ááká díík'ǫsh bił bááh ályaii bił náádahołniih lágo; shich'į' nááhániihígíí bik'ah abíníjį' doo ła' t'áá sinil da doo. 
2:23:004:1	Bóhólníihii bidiyingo naal'a'í Ízrel dine'é yoo'ish doogo biniyé yíl'a'
2:23:019:0	Nihikéyahdóó ts'ídá átsé aneest'ą' nídant'į́įhii Bóhólníihii nihiDiyin God bikin góne' yah adahohjáah doo. Tł'ízí yázhí bitsį' t'áadoo bimá bibe' bee daałbézhí.  
2:23:020:0	Jó, diyingo naal'a'í nihilą́ąjį' deesh'aałgo éí wohnééłgóó nihaa áhályą́ą doo, áádóó índa kéyah nihá hasht'ehooshłaaí góne' yah anihidoo'ish. 
2:23:021:0	Binááł ádaa ádahołyą́, áádóó bizaad bik'eh dahonoł'į́įgo t'áadoo bá nídahołchįįhí, háálá bee haz'áanii nidahisooti'ígíí doo nihá yóó'anéididoo'áał da, háálá shízhi' yee át'é. 
2:23:022:0	Nidi t'áá aaníí bizaad bik'eh dahonoł'į́įgo áádóó bee hahasdziihígíí t'áá ałtso bik'eh ádaahníiłgo nihida'ana'í bi'ana'í nishłį́į doo, índa nihik'ijį' danilíinii bik'ijį' nishłį́į doo. 
2:23:023:0	Jó, shidiyingo naal'a'í nihilą́ąjį' yigáałgo Ámor dine'é áádóó Hét dine'é áádóó Píírez dine'é áádóó Kéínan dine'é áádóó Háíva dine'é índa Jííbas dine'é yich'į' nihidoo'ish, áko éí ádahodeeshdįįł. 
2:23:024:0	Bidiyin dabidi'níinii t'ááká bich'į' yaa áńdaaht'įįh lágo, doodaii' doo bich'į' nidahohłáa da doo, doodaii' áyoolíiłii t'áadoo bééda'ohdle'í, nidi bi'eda'alyaii t'áá át'é bits'ą́ą́' naa'adahidoołtł'iłgo ahiih nídahidoohtih. 
2:23:025:0	Bóhólníihii nihiDiyin God bich'į' nidahohłáa doo, áko nihich'iyą' índa nihito' łą́ągo yee nihik'ijidlíi doo, áádóó naałniih nihiníí'dóó nahgóó kódeeshłííł. 
2:23:026:0	Nihikéyahgi doo ła' bitsą́ ha'a'eeł da doo, nidi nida'iiłchíih doo, índa as'ahgóó dahinohnáago nihá ádeeshłííł. 
2:23:027:0	Nihidáahdi kéédahat'ínígíí shik'ee bił dayée'go ádeeshłííł, áádóó diné t'áá baa dahohnéhígíí t'áá ałtso ádeeshdįįł, áádóó nihida'ana'í t'áá ałtso nihits'ą́ąjį' yóó'adahinichéeh doo. 
2:23:028:0	Áko tsésnáłtsoí nihilą́ąjį' bi'deeshnih; éí Háíva dine'é áádóó Kéínan dine'é índa Hét dine'é nihilą́ąjį' hadeidínóołkał. 
