60:1:001:1	K'é ha'níinii
60:1:001:0	Shí Peter, Jesus Christ yá yil'aadii nishłíinii.Pántas, Galéíshiya, Kapadóshiya, Éízha, índa Bithíniyagóoda tabidi'nooskaadgo áadi dé'éyóní danilį́įgo kéédahat'íinii bich'į' naaltsoos áshłééh. 
60:1:002:1	Ił chohoo'į́ doo ninít'i'ii
60:1:002:0	T'áá átséedi Diyin God aTaa' nilíinii nihá yinahaz'ą́ągo, Níłch'i Diyinii bee diyingo ádanihi'diilyaago Jesus Christ bik'eh dahonoł'į́į doo, áádóó bidił nihik'ídadooltahgo nihibąąhági át'éii nihąąh ádingo íidoolííł biniyé atah nihiizláá'.Bibee ajooba' índa bibee ach'į' hózhǫ́ náhásdlį́į'ii k'ee'ąą yileełgo yee nihik'ijidlíi doo. 
60:1:003:0	NihiBóhólníihii Jesus Christ biDiyin God, t'áá éí biTaa' nilíinii baa dahwii'niih le'! Éí ayóó át'éego nihaa a'ááh niizį́į'go ił chohoo'į́ doo ninít'i'ii nihee hodooleeł biniyé Jesus Christ daaztsą́ą́dę́ę́' néidiisáhígíí bee náádanihi'dizhchį́. 
60:1:004:0	Áko nihíí' dadooleełii doo diłdzidii, doo yichxǫǫhii, índa doo łahgo ánáo'ne' át'éii yá'ąąshdi nihá hasht'e'niilyáhígíí nihaa doolyéełgo bíká nihił chodahoo'į́, 
60:1:005:0	nihí nihe'oodlą' binahjį' Diyin God bibee adziilii bee nihaa ádahayą́ągo yisdánihidoo'nilgo niiníłką́ądi yit'íní ánihidi'doolníiłgo hasht'enihi'dólzin. 
60:1:006:0	Azhą́ k'ad t'óó kónígháníjį' ał'ąą át'éego bee nanihídahonitaahígíí bik'ee yínííł ádanoht'ée nidi, éí nihił chodahoo'ínígíí t'áá íiyisí baa nihił dahózhǫ́ǫ le'. 
60:1:007:0	Nihe'oodlą' daats'í bee nihidahoníłdzilgo bééhodoozįįł biniyé nanihídahonitaah. Óola éí doo hool'áágóó hólǫ́ǫ da, nidi nihe'oodlą' hool'áágóó hólǫ́. Jó, kǫ' bee óola bąąh hadoolyį́'ígíí biláhídi át'éego nihe'oodlą' nabóhonitaahgo ílį́įgo bééhodoozįįł. Áko Jesus Christ yá'ąąshdę́ę́' yit'íní í'diilyaago nihe'oodlą' baa hodoo'nih áádóó ił nilį́į doo, índa ayóó át'éii bidi'níi doo. 
60:1:008:0	T'ah doo dahoołtséeh da nidi ayóó'ádahwíínóh'ní; azhą́ k'ad doo dahooh'į́į da nidi dahwiinohdlą́ągo haa dadzíínóhłíigo nihił dahózhǫ́. T'áá íiyisí ił hózhóonii doo baa yájóołti' át'éii bee nihił nidahoozhǫǫh! 
60:1:009:0	Háálá nihe'oodlą' ła'yiyiilaaígíí binahjį' nihii' sizíinii yisdá'iildééh shódayoost'e'. 
