60:3:001:1	Diné índa hwe'asdzą́ą́ hazhó'ó ahił dajii'náa dooleełgi bee na'nitin
60:3:001:0	T'áá ákót'éego, e'asdzą́ą́ danohłíinii, nihadahastiin bídahwíínółnííh. Ła' Diyin God bizaad doo yik'eh dahół'į́į da nidi be'asdzą́ą́ yá'át'éehgo dahinánígíí binahjį' da'iidoodląął. Azhą́ ts'ídá doo ha'át'íhída dabidohníi da nidi, 
60:3:002:0	t'áadoo bee nihik'ídahót'ahígóó áádóó dahodíínóhsingo dahinohnánígíí dayoo'į́įgo bí ałdó' da'iidoodląął. 
60:3:003:0	T'áadoo nihikáá'dóó át'éii dadíínóhshóní. Nihitsii' t'áadoo ayóogo nidaahch'ąąhí, áádóó óola bee na'ádích'ąąhii, índa éé' nidaashch'ąą'ii bee ádadíínółzhóní biniyé t'áadoo bee háádadooht'įįhí. 
60:3:004:0	Nidi t'áá aaníí nihiyi'di át'éii dadíínóhshóní. A'ohgo áda'díínółzin, áádóó t'áadoo ádił nídahodołchiłí. Ákódanoht'éego Diyin God t'áá íiyisí bił nilį́. 
60:3:005:0	Ałk'idą́ą́' sáanii dahodísinii Diyin God yaa dadzólíhígíí ákót'éego ádadílzhóní nít'éé', badahastiin yídahółnííh nít'éé', 
60:3:006:0	Sarah éí Éíbraham bóhonishníihii yiłníigo yik'eh hół'į́ yę́ęgi át'éego. Áko nihí ałdó', yá'át'éehgo ádaahníiłgo, áádóó t'áadoo nihił yéé' ádahóle'ígóó Sarah bik'ehgo ádaaht'į́į doo. 
60:3:002:1	Yá'át'éehgo ájooníłígíí bąą ti'hodi'yoolnííh
60:3:007:0	T'áá ákót'éego, ahastiin danohłíinii, nihida'asdzą́ą́ hazhó'ó baa nitsídaahkeesígíí bik'ehgo bił dahinohná, háálá asdzání wolyéii nihi'ohgo bidziilígíí bąą nihił danilį́, háálá t'áá aheełt'éego iiná bee nihaa hojoosba'ígíí bee dahinohná. Kót'éego dahinohnáago sodołzingo nihisodizin doo dínóotł'ah da. 
60:3:008:0	Áko ánihidishní, Aheełt'éego nitsídaahkees, ahaa a'ááh danohsin, ałk'isóó danohłį́įgo ayóó'áda'ahíínóh'ní, nihá ádahwiinít'į́'ígo, índa a'ohgo ádaa nitsídaahkees. 
60:3:009:0	Nihich'į' doo yá'át'ééhgóó ádaat'íinii t'áadoo bich'į' doo yá'át'ééhgóó ánídaaht'íní, áádóó danihódziihgo t'áadoo nídeínóhdziihí, nidi bidiníná t'óó bá sodadołzin, háálá bee ak'ihojidlíii Diyin God yee nihik'izhdoodliił biniyé nihíká ádííniid. 
60:3:010:0	Háálá iiná bee ní'deeshdįįłínda yá'át'éehgo shíyoołkáał dooleeł jinízinígíí,saad doo adaaníinii t'áadoo bee yájíłti'í,índa t'áadoo na'adlo'go yájíłti'í doo. 
60:3:011:0	Doo yá'ádaat'éehii bits'ázhdoogáałgo yá'át'éehii baa nijigháa doo;bee ach'į' hózhǫ́ náhásdlį́į'ii hájít'į́įgo, dziilí bee bíká ájít'į́į doo. 
60:3:012:0	Háálá ts'ídá t'áá ákogi ádajít'éii Bóhólníihii hak'idéez'į́į́',áádóó bich'į' sodazdilzingo hwíists'ą́ą́'.Nidi doo yá'át'ééhgóó ádajooníiłii éí Bóhólníihii honíł'į́įgo hak'ijį' nilį́.  
60:3:013:0	Ts'ídá yá'ádaat'éehii t'éiyá baa naasháa dooleeł danohsinígíí, háishą' yiniinaa atínihidoolííł? 
60:3:014:0	Azhą́ ts'ídá t'áá ákogi ádaaht'ínígíí biniinaa ti'dahoohníih nidi, nihik'idahojidlíigo át'é. Áádóó yee ił dahółhée'ii t'áadoo bik'ee nihił daayé'í, índa t'áadoo ádił dahonohdlání. 
