20:24:001:0	Diné doo yá'ádaashóonii t'áadoo yiníłch'į́dí ; bił nijildeeh laanaa t'áadoo níníziní .
20:24:002:0	Háálá doo ats'ííd bijéí bii' dahólǫ́ǫgo yindaha'á , áádóó ádílááh yaa yádaałti' .
20:24:003:0	Hódzą́ bee kin niit'ááh , áádóó bee ak'idi'yiitįįhii bee niłdzilgo niit'ááh .
20:24:004:0	Éí bii' ahą́ą́h dahodí'nilgóó ił ééhózin bee jit'íinii da'ílíinii índa ts'ídá danizhóníii hadadilbį́į́h .
20:24:005:0	Diné hóyáanii bidziil ; t'áá aaníí , diné bił ééhózinii bidziil bá náás áániił .
20:24:006:0	Háálá hódzą́ bee nandi'neestą́ą'go bíninil'ą́ągo dííbah , áádóó t'óó ahayóí kót'éego daaníinii hólǫ́ǫgi hasih haz'ą́ .
20:24:007:0	Doo áhályáanii éí hódzą́ yi'oh nitsíkos ; dáń'dítį́įhgi doo yáłti' da doo .
20:24:008:0	Doo yá'áshǫ' ádeeshnííł nízingo naha'áii éí bee ádíláhí bidi'níi doo .
20:24:009:0	Doo áháyą́ bee nitsáhákees bąąhági át'éii át'é , áádóó diné ánahałt'i'ii éí diné doo bił nida'íłdįįh da .
20:24:010:0	Bik'ee ti'hoo'níihii nik'iildogo nąąh nááháka'go ts'ídá doo nidziil da .
20:24:011:0	Dadínóonééłgóó dabi'déet'éeshii yisdáhínííł áádóó k'adę́ę nidabidi'tseedii t'ą́ą́' ádeínísin .
20:24:012:0	Shoo , díí doo nihił bééhózin da lá , diníigo , Da' Diyin God éí diné bijéí haisíidiísh doo yaa nitsíkees da ? Áádóó Diyin God éí nii' sizíinii yaa áhályáaniísh doo bił bééhózin da ? Éí diné t'ááłá'í jinítínígo baa nidadziskaii bik'ehgo hach'į' ninádi'yoodlééł .
20:24:013:0	Shiye' , tsés'ná bitł'izh niyą́ , háálá éí yá'át'ééh , áádóó tsés'ná bitł'izh bits'a' bąąhdę́ę́' tsés'ná bitł'izh nidahidilch'ą́łígíí éí niyą́ ; jó , éí nił łikan .
20:24:014:0	Éigi át'éego nii' sizíinii bá hódzą́ nił bééhózin doo , hódzą́ bik'ííníyáago náás ná honít'i' doo , áádóó nił chohoo'íinii doo nahjį' kódoolníił da .
20:24:015:0	Diné doo yá'áshóonii nílíinii , diné t'áá ákogi ádaaníiłgo kéédahat'ínígíí t'áadoo baa hínítíní ; bighan t'áadoo bits'ą́ą́' nihíłchǫǫhí .
