20:9:001:1	Hódzą́ áádóó doo áháyą' , Hágo , ní
20:9:001:0	Hódzą́ kin niiní'ą́ ; tsosts'idgo bíyah da'nii'áago áyiilaa ;
20:9:002:0	binaaldlooshii dabidookįįł biniyé neistsxeed ; biwáin hasht'eyiilaa ; bibikáá' adání bikáá' ni'iizką́ągo
20:9:003:0	ch'ikéí bá nidaal'a'í éí da'dooyį́įłii yíká ayiis'a' ; kintah aghádahaz'áádóó dilwosh .
20:9:004:0	Hódzą́ ání , Doo dahonohsáanii wóshdę́ę'go ahohkááh . Bee ak'i'diitįįh bee ádinii kwííłní ,
20:9:005:0	Hágo shibááh daahsą́ , áádóó shiwáin hasht'eishłaaígíí daahdlą́ .
20:9:006:0	Doo ádahalyáanii t'áadoo baa nídaoht'íní , áádóó hazhó'ó dahinohná áádóó bee ak'idi'yiitįįh bik'ehgo deínóhkááh .
20:9:007:0	Diné ánahałt'i'ii bich'ahojishkéii t'óó haa yáhodoosįįł ; diné doo yá'áshóonii jideeztehii t'óó hwíidoodzih .
20:9:008:0	Diné ánahałt'i'ii doo shik'ee diniih da dooleeł nínízingo t'áadoo bich'ahoshíníkéhí ; diné hóyáanii dínítehgo ayóó'ánó'níi doo .
20:9:009:0	Diné hóyáanii nidíníítįįł , áko t'ah yówehgo hóyą́ą doo ; diné t'áá ákogi ááníiłii nidíníítįįł , áko t'ah biláhígo íhwiidooł'ááł .
20:9:010:0	Bóhólníihii jidósin jileehdóó ahozh'niiyąąh áádóó Diyin nilíinii bééhodzoosįįhgo ak'izh'diitį́į́h .
20:9:011:0	Jó , shí shinahjį' níyoołkáłígíí ná bíidoo'nił , áádóó nináháhígíí ná bíidoo'nił .
20:9:012:0	Honíyą́ągo t'áá ádá honíyą́ą doo ; ánáhółt'i'go t'áá ni bá nantłizh doo .
20:9:013:0	Asdzání doo áhályáanii éí t'áadoo yaa yánízinígóó ayóo yádíłtih łeh ; doo hóyą́ą́góó t'áadoo bił bééhóziní da łeh .
20:9:014:0	Áko bighangi ch'é'étiindóó sidáa łeh ; kin haal'áagi wódahgo nahaz'ą́ągi dah sidáa łeh .
20:9:015:0	T'óó bíighah dahidikáhígíí , éí t'áá ákóne' deíkáahii yich'į' áníi łeh ,
20:9:016:0	Doo honíyáanii wóshdę́ę'go dah diinááh . Bee ak'i'diitįįh bee ádinii kwííłní ,
20:9:017:0	Tó neest'į́į'ii łikan łeh , áádóó t'áá nahont'inee bááh nídiit'áanii łikan łeh .
20:9:018:0	Nidi ákwii daneeznáanii hólǫ́ǫgo áádóó asdzání yaa nídaakah nít'ée'ii hool'áágóó ti'hoo'níihdi naaldeehgo doo hoł bééhózin da .
