20:28:001:1	Diné doo yá'ádaashóonii áádóó diné t'áá ákogi át'éii
20:28:001:0	Diné doo yá'ádaashóonii doo ła' binoołchéeł da nidi dadíníchééh , nidi diné t'áá ákogi át'éii éí náshdóítsoh bitsiijį' ditł'ooígíí doo yist'i'ii át'é .
20:28:002:0	Kéyahgi dine'é éí bee haz'áanii nidayiitíihgo binanit'a'í t'óó ahayóí yileeh łeh , nidi naat'áanii bee ak'i'diitįįhii áádóó ił ééhózin bee hólóonii bik'ehgo diné t'áá kééhat'ínígi át'éego yá'át'éehgo náás yildah doo .
20:28:003:0	Diné bahojoobá'íii éí diné doo dabidziilii yide áhósinii éí t'óó báhádzidígi át'éego nahóółtą́ągo dá'ák'ehgóó ch'iyáán íísdįįdígíí nahalin .
20:28:004:0	Diyin God bibee haz'áanii yóó'adeidii'aahii éí diné doo yá'ádaashóonii yaa dahaniih , nidi Diyin God bibee haz'áanii yik'eh dahół'íinii hoł ahaa naakai .
20:28:005:0	Diné doo yá'ádaashóonii éí doo haada yit'éii doo yik'ida'diitįįh da , nidi Bóhólníihii há daat'íinii éí t'áá ałtsoní yik'idadi'yiitįįh .
20:28:006:0	Azhą́ diné ajit'į́į nidi , bąąhági át'éii bii' joogáałgo éí ní'jíí'oh ; diné bahojoobá'ígo t'áá ákogi át'éego yigááłjí éí agháago yá'át'ééh .
20:28:007:0	T'áá háiida Diyin God bibee haz'áanii bik'eh hojíł'íinii éí aye' hóyáanii jílį́ , nidi diné ła' diné dadibidii béézhdiilwo'go bił nijikaii éí hazhé'é haa yánízin .
20:28:008:0	Diné ła' naalye'é bik'é nahalyéii t'áá biláahgo hach'į' nahalyéego há bilááh silį́į́' , nidi áłah ájiilaii náánáła' diné éí badahojoobá'íii yitaidoonihii bá át'é .
20:28:009:0	Diné ła' Diyin God yee has'áanii doo dzididoots'į́į́łgóó bits'ą́ąjį' ájít'éego hasodizinígíí nidi doo yildin da doo .
20:28:010:0	Diné ła' t'áá ákogi át'éii bąąhági ááníił doo biniyé yóó'azhníí'aa'go éí t'áá hó hwe'a'áán góyaa azhdootłish , nidi diné t'áá ałtsojį' t'áá ákogi ááníiłii éí yá'át'éehii shóidoołt'eeł .
20:28:011:0	Diné at'íinii honisą́ nízingo nitsíkees , nidi diné bahojoobá'íii ak'idi'yiitįįhgo diné at'íinii neiłkaahgo ájít'éhígíí bił bééhózin .
20:28:012:0	Diné t'áá ákogi ádaaníiłii bídahólníihgo ayóó át'éego baa hózhǫ́ǫ łeh , nidi diné doo yá'ádaashóonii bídahólnííh yileehgo diné nida'ádinil'in haleeh .
20:28:013:0	T'áá háiida bee haz'áanii k'íiníti'ii yik'i hooziidii doo náás doogáał da , nidi t'áá háiida bee haz'áanii k'ízhníti'ii bee ádaa hojoolne'ii áádóó yóó'azhdíí'áanii Diyin God bibee aa a'ááh hasinii shóizhdoołt'eeł .
20:28:014:0	Diné adoosih t'áá áłahjį' yaa yisti'ii éí bił hózhǫ́ , nidi diné bijéí yiłtł'isii éí ach'į' nahwii'ná yiih yitłish .
20:28:015:0	Náshdóítsoh bitsiijį' ditł'ooígíí ánínígi át'éego áádóó shash anoołchéłígi át'éego naat'áanii doo yá'áshóonii éí t'áadoo yee ák'idadóldziłígíí yinant'áa łeh .
20:28:016:0	Naat'áanii ak'i'diitįįh bee ádinii ayóó át'éego ałdó' ade áhósin , nidi adáhonooní yik'ee diniihii éí as'ahgóó naat'áanii nilį́į doo .
20:28:017:0	Diné ła' diné dziisxį́įgo bidił bee ádihozhdiilt'i'ii hojishcháá' dooleełjį' azhdínóochééł ; t'ááká diné ła' t'ą́ą́' kónáhódle' lágo .
20:28:018:0	T'áá háiida t'áá ákóne' ájít'į́įgo joogáałii yisdáhodi'dooltééł , nidi diné t'óó áhodil'į́įgo yigáałii t'áá hooshch'į' azhdootłish .
20:28:019:0	Hadá'ák'ehgóó nináhojiiłdla'ii éí ch'iyáán t'óó ahayóí hwee hólǫ́ǫ doo , nidi t'áadoo yaa nidaokaaígóó dahináanii béézhdiilwo'ii éí té'é'į́ hade ádoonííł .
20:28:020:0	Diné ba'ahódlíii éí bee bik'ihojidlíii t'óó ahayói doo , nidi diné adoot'įįłígíí yaa tsxį́į́ł niizį́į'ii éí t'áá atíbidi'doolníłí .
20:28:021:0	Diné ał'oh át'éego baa nitsídzíkeesgo éí doo yá'át'éeh da , háálá diné éí bááh bizéí shóidoołt'eełígíí yiniinaa bee haz'áanii k'íidootih .
20:28:022:0	Diné doo ákwáálnáa'ii éí tsxį́įłgo adeesht'įįł nízin , nidi té'é'į́ bik'i hwiidooleełígíí doo bił bééhózin da .
20:28:023:0	Diné ła' diné jideeztehdóó bik'ijį' diné náánáła' t'óó áníigo aa haniihii biláahgo bił ałch'ozhdoo'neeł .
20:28:024:0	T'áá háiida bizhé'é , doodaii' bimáda yee ani'įįhgo , Díí éí bee haz'áanii doo hitíihii át'ée da , jiníigo ni'iiłchǫǫhii bik'is jílį́ .
20:28:025:0	Diné ádaa dzódlíii éí diné ahinéidiiłtłi' , nidi diné éí Bóhólníihii yaa dzólíii éí baa dzólníigo ábidi'doolnííł .
20:28:026:0	Diné t'áá hó hajéí baijólíii éí doo áhojilyą́ą da , nidi t'áá háiida hóyą́ągo hináanii éí yisdádooltééł .
20:28:027:0	Diné badahojoobá'íii baa jijooba'ii doo hwee áhádin da doo , nidi diné badahojoobá'íii doo t'áá k'ad dazhnééł'į́į'ii éí t'óó ahayóí bee hóyée'go há hadi'yoodzih .
20:28:028:0	Diné doo yá'ádaashóonii bídahólnííh yileehgo diné nídadit'į́į́h , nidi daninéehgo diné t'áá ákogi ádaat'éii náás dikah .
